# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_55f8a0fdd16af31c46db"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "914c6f22585431581db8bed96ae3aff8c33a2b72c26ef2087fbf61a68b9ee730"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.852045860755e+21
2.000000000000e-01,3.852045860755e+21
8.200000000000e-01,3.852045860755e+21
1.430000000000e+00,3.852045860755e+21
2.500000000000e+00,3.852045860755e+21
4.900000000000e+00,3.851780696174e+21
5.880000000000e+00,3.851515531594e+21
7.060000000000e+00,3.851250367013e+21
8.120000000000e+00,3.850985202433e+21
1.235000000000e+01,3.849394214950e+21
1.359000000000e+01,3.848863885789e+21
1.495000000000e+01,3.848333556628e+21
1.731000000000e+01,3.847272898306e+21
1.909000000000e+01,3.846477404564e+21
2.005000000000e+01,3.845947075403e+21
2.105000000000e+01,3.845416746242e+21
2.211000000000e+01,3.844886417081e+21
2.322000000000e+01,3.844356087920e+21
2.438000000000e+01,3.843825758759e+21
2.561000000000e+01,3.843295429598e+21
2.612000000000e+01,3.843030265018e+21
2.664000000000e+01,3.842765100438e+21
2.718000000000e+01,3.842499935857e+21
2.772000000000e+01,3.842234771277e+21
2.828000000000e+01,3.841969606696e+21
2.885000000000e+01,3.841704442116e+21
2.943000000000e+01,3.841439277535e+21
3.002000000000e+01,3.841174112955e+21
3.062000000000e+01,3.840908948374e+21
3.124000000000e+01,3.840643783794e+21
3.382000000000e+01,3.839848290052e+21
3.662000000000e+01,3.839052796311e+21
3.736000000000e+01,3.838787631730e+21
3.888000000000e+01,3.838522467150e+21
3.966000000000e+01,3.838522467150e+21
4.045000000000e+01,3.838522467150e+21
4.127000000000e+01,3.838522467150e+21
4.209000000000e+01,3.838522467150e+21
4.294000000000e+01,3.838522467150e+21
4.935000000000e+01,3.838522467150e+21
5.237000000000e+01,3.839317960891e+21
5.341000000000e+01,3.839583125472e+21
5.448000000000e+01,3.839848290052e+21
