# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_da7738e68af8496a2af4"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "13a7ffeaa03cfc4554349c78dfa6cd0339243d64cec6763384163e40a47f5c0c"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.400000000000e+19
1.400000000000e-01,3.400000000000e+19
5.700000000000e-01,3.400000000000e+19
1.000000000000e+00,3.400000000000e+19
1.750000000000e+00,3.410000000000e+19
2.450000000000e+00,3.420000000000e+19
4.110000000000e+00,3.450000000000e+19
4.940000000000e+00,3.470000000000e+19
7.510000000000e+00,3.550000000000e+19
8.640000000000e+00,3.600000000000e+19
9.500000000000e+00,3.640000000000e+19
1.045000000000e+01,3.680000000000e+19
1.334000000000e+01,3.860000000000e+19
1.401000000000e+01,3.910000000000e+19
1.704000000000e+01,4.150000000000e+19
1.862000000000e+01,4.290000000000e+19
1.938000000000e+01,4.360000000000e+19
2.057000000000e+01,4.480000000000e+19
2.098000000000e+01,4.520000000000e+19
2.141000000000e+01,4.570000000000e+19
2.184000000000e+01,4.610000000000e+19
2.228000000000e+01,4.660000000000e+19
2.273000000000e+01,4.710000000000e+19
2.318000000000e+01,4.760000000000e+19
2.365000000000e+01,4.820000000000e+19
2.413000000000e+01,4.870000000000e+19
2.561000000000e+01,5.060000000000e+19
2.666000000000e+01,5.190000000000e+19
2.946000000000e+01,5.580000000000e+19
3.005000000000e+01,5.660000000000e+19
3.066000000000e+01,5.760000000000e+19
3.256000000000e+01,6.050000000000e+19
3.322000000000e+01,6.150000000000e+19
3.389000000000e+01,6.260000000000e+19
3.458000000000e+01,6.380000000000e+19
3.672000000000e+01,6.750000000000e+19
3.823000000000e+01,7.030000000000e+19
3.901000000000e+01,7.180000000000e+19
4.227000000000e+01,7.850000000000e+19
4.401000000000e+01,8.230000000000e+19
4.582000000000e+01,8.640000000000e+19
4.867000000000e+01,9.350000000000e+19
5.066000000000e+01,9.860000000000e+19
5.274000000000e+01,1.042000000000e+20
5.381000000000e+01,1.072000000000e+20
