# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3ea7f0660564404374d6"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:17:55"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9e9437ac371cfc8faef6022142213251750570bd5a7e4a51089814bd508a260c"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,6.780000000000e+19
2.000000000000e-01,6.780000000000e+19
8.100000000000e-01,6.780000000000e+19
1.420000000000e+00,6.790000000000e+19
2.480000000000e+00,6.800000000000e+19
3.470000000000e+00,6.810000000000e+19
4.860000000000e+00,6.840000000000e+19
9.260000000000e+00,7.000000000000e+19
1.065000000000e+01,7.070000000000e+19
1.347000000000e+01,7.250000000000e+19
1.482000000000e+01,7.350000000000e+19
1.802000000000e+01,7.620000000000e+19
1.892000000000e+01,7.710000000000e+19
1.987000000000e+01,7.810000000000e+19
2.086000000000e+01,7.910000000000e+19
2.190000000000e+01,8.030000000000e+19
2.638000000000e+01,8.610000000000e+19
2.745000000000e+01,8.760000000000e+19
2.856000000000e+01,8.930000000000e+19
2.913000000000e+01,9.020000000000e+19
3.091000000000e+01,9.310000000000e+19
3.153000000000e+01,9.420000000000e+19
3.216000000000e+01,9.530000000000e+19
3.345000000000e+01,9.760000000000e+19
3.412000000000e+01,9.890000000000e+19
3.766000000000e+01,1.062000000000e+20
3.841000000000e+01,1.078000000000e+20
3.917000000000e+01,1.096000000000e+20
3.995000000000e+01,1.114000000000e+20
4.156000000000e+01,1.152000000000e+20
4.238000000000e+01,1.172000000000e+20
4.322000000000e+01,1.194000000000e+20
4.408000000000e+01,1.216000000000e+20
4.495000000000e+01,1.240000000000e+20
4.584000000000e+01,1.264000000000e+20
4.675000000000e+01,1.289000000000e+20
4.768000000000e+01,1.316000000000e+20
4.862000000000e+01,1.344000000000e+20
4.958000000000e+01,1.373000000000e+20
5.056000000000e+01,1.403000000000e+20
5.155000000000e+01,1.434000000000e+20
5.464000000000e+01,1.536000000000e+20
5.571000000000e+01,1.572000000000e+20
