# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1bb6c00688b5b7e16f6a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "46f6ae8f08402eadbf971065897048c1c61f67403887dfc04d714834bc888e0f"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,3.829772035994e+21
3.200000000000e-01,3.829772035994e+21
1.300000000000e+00,3.829772035994e+21
2.270000000000e+00,3.829772035994e+21
5.570000000000e+00,3.830037200574e+21
9.350000000000e+00,3.830302365155e+21
1.291000000000e+01,3.830567529735e+21
1.484000000000e+01,3.830832694316e+21
1.963000000000e+01,3.831628188057e+21
2.159000000000e+01,3.832158517218e+21
2.374000000000e+01,3.832688846379e+21
2.493000000000e+01,3.832954010959e+21
2.885000000000e+01,3.834014669281e+21
3.339000000000e+01,3.835340492184e+21
3.505000000000e+01,3.835870821345e+21
3.864000000000e+01,3.837196644247e+21
4.056000000000e+01,3.837992137989e+21
4.303000000000e+01,3.839052796311e+21
4.477000000000e+01,3.839848290052e+21
4.657000000000e+01,3.840643783794e+21
4.844000000000e+01,3.841439277535e+21
4.940000000000e+01,3.841969606696e+21
5.038000000000e+01,3.842499935857e+21
5.139000000000e+01,3.843030265018e+21
5.241000000000e+01,3.843560594179e+21
5.345000000000e+01,3.844090923340e+21
5.451000000000e+01,3.844621252501e+21
5.560000000000e+01,3.845151581662e+21
7.036000000000e+01,3.856288494042e+21
7.175000000000e+01,3.857614316945e+21
7.317000000000e+01,3.858940139847e+21
7.462000000000e+01,3.860265962750e+21
7.759000000000e+01,3.863447937716e+21
7.912000000000e+01,3.865038925199e+21
8.068000000000e+01,3.866895077262e+21
8.227000000000e+01,3.868751229325e+21
8.388000000000e+01,3.870872545969e+21
8.553000000000e+01,3.873259027194e+21
1.037500000000e+02,3.906404599755e+21
1.057500000000e+02,3.911177562204e+21
1.077900000000e+02,3.915685360072e+21
1.098600000000e+02,3.920723487101e+21
1.119600000000e+02,3.926026778711e+21
1.141000000000e+02,3.930799741160e+21
1.253000000000e+02,3.965005972043e+21
1.276400000000e+02,3.972430580296e+21
1.324200000000e+02,3.988340455126e+21
1.373200000000e+02,4.005310988277e+21
1.398300000000e+02,4.013796254853e+21
1.423700000000e+02,4.022016356848e+21
1.449300000000e+02,4.030236458843e+21
1.475200000000e+02,4.038721725418e+21
1.501400000000e+02,4.047206991994e+21
1.528000000000e+02,4.055161929409e+21
1.555000000000e+02,4.063116866823e+21
1.582200000000e+02,4.071071804238e+21
1.609800000000e+02,4.078496412492e+21
1.637700000000e+02,4.085921020745e+21
1.666000000000e+02,4.093080464419e+21
1.694700000000e+02,4.099974743511e+21
1.723800000000e+02,4.106338693443e+21
1.753200000000e+02,4.112702643375e+21
1.783000000000e+02,4.118801428726e+21
1.813300000000e+02,4.124369884916e+21
1.843700000000e+02,4.129673176526e+21
1.874700000000e+02,4.135241632716e+21
1.906300000000e+02,4.139484266004e+21
1.938200000000e+02,4.145052722194e+21
1.970600000000e+02,4.149560520063e+21
2.003400000000e+02,4.154333482511e+21
2.070900000000e+02,4.164144571989e+21
2.105500000000e+02,4.168652369858e+21
2.140800000000e+02,4.173425332307e+21
2.176800000000e+02,4.177933130175e+21
2.213500000000e+02,4.182971257204e+21
2.289100000000e+02,4.193577840424e+21
2.328200000000e+02,4.198615967453e+21
2.677400000000e+02,4.244224275297e+21
4.020400000000e+02,4.273657543731e+21
4.113400000000e+02,4.265172277155e+21
4.209000000000e+02,4.256421845999e+21
4.308000000000e+02,4.246875921102e+21
4.410200000000e+02,4.236269337882e+21
4.515700000000e+02,4.224867260921e+21
4.624700000000e+02,4.211874196477e+21
4.737100000000e+02,4.198881132033e+21
4.853300000000e+02,4.185357738428e+21
4.973200000000e+02,4.170508521921e+21
5.096900000000e+02,4.155128976253e+21
5.224800000000e+02,4.138423607682e+21
5.356400000000e+02,4.121718239111e+21
5.923800000000e+02,4.047472156575e+21
6.077400000000e+02,4.027849977618e+21
6.235200000000e+02,4.007697469501e+21
6.397400000000e+02,3.987279796804e+21
6.564400000000e+02,3.966331794945e+21
6.736500000000e+02,3.944853463926e+21
6.913400000000e+02,3.923375132906e+21
7.095500000000e+02,3.901631637306e+21
7.282800000000e+02,3.879888141706e+21
7.475700000000e+02,3.858144646106e+21
8.087000000000e+02,3.793444488467e+21
8.302000000000e+02,3.772496486608e+21
9.466800000000e+02,3.654763412871e+21
1.230320000000e+03,3.435472304807e+21
1.262820000000e+03,3.413728809207e+21
1.296110000000e+03,3.393311136510e+21
1.400980000000e+03,3.331262624675e+21
1.437610000000e+03,3.311375281139e+21
1.475190000000e+03,3.291753102183e+21
1.513700000000e+03,3.272396087807e+21
1.553140000000e+03,3.253039073431e+21
1.593530000000e+03,3.234212388217e+21
1.634940000000e+03,3.215120538422e+21
1.677290000000e+03,3.196824182368e+21
1.720660000000e+03,3.178527826314e+21
1.765030000000e+03,3.160496634841e+21
1.810460000000e+03,3.142730607948e+21
1.856830000000e+03,3.125229745636e+21
1.904450000000e+03,3.107728883324e+21
1.953270000000e+03,3.090758350172e+21
2.003150000000e+03,3.074052981602e+21
2.053850000000e+03,3.057877942192e+21
2.106430000000e+03,3.041172573621e+21
2.159750000000e+03,3.025527863372e+21
2.214360000000e+03,3.009617988543e+21
2.270210000000e+03,2.994238442875e+21
2.327370000000e+03,2.979124061787e+21
2.385810000000e+03,2.964009680699e+21
2.445570000000e+03,2.949425628772e+21
2.506660000000e+03,2.935106741426e+21
2.569110000000e+03,2.920787854079e+21
2.632940000000e+03,2.906999295894e+21
2.698210000000e+03,2.893210737709e+21
2.764870000000e+03,2.879952508684e+21
