# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_444e334f0b9770273e9a"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9e877b666377ede8171c6f4e6d7371dfae64a5e0b7829ad71c60d49f9936cf96"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.001000000000e+20
2.500000000000e-01,1.001000000000e+20
1.010000000000e+00,1.001000000000e+20
1.760000000000e+00,1.002000000000e+20
3.090000000000e+00,1.003000000000e+20
4.320000000000e+00,1.005000000000e+20
6.050000000000e+00,1.009000000000e+20
7.260000000000e+00,1.014000000000e+20
8.720000000000e+00,1.020000000000e+20
1.002000000000e+01,1.026000000000e+20
1.153000000000e+01,1.034000000000e+20
1.326000000000e+01,1.044000000000e+20
1.524000000000e+01,1.058000000000e+20
1.677000000000e+01,1.070000000000e+20
1.845000000000e+01,1.085000000000e+20
1.937000000000e+01,1.094000000000e+20
2.034000000000e+01,1.103000000000e+20
2.136000000000e+01,1.114000000000e+20
2.242000000000e+01,1.125000000000e+20
2.354000000000e+01,1.138000000000e+20
2.472000000000e+01,1.152000000000e+20
2.596000000000e+01,1.168000000000e+20
2.726000000000e+01,1.185000000000e+20
2.862000000000e+01,1.204000000000e+20
3.005000000000e+01,1.226000000000e+20
3.218000000000e+01,1.259000000000e+20
3.415000000000e+01,1.292000000000e+20
3.553000000000e+01,1.316000000000e+20
3.771000000000e+01,1.357000000000e+20
3.923000000000e+01,1.387000000000e+20
4.162000000000e+01,1.436000000000e+20
4.245000000000e+01,1.454000000000e+20
4.330000000000e+01,1.473000000000e+20
4.417000000000e+01,1.492000000000e+20
5.708000000000e+01,1.830000000000e+20
6.297000000000e+01,2.015000000000e+20
6.422000000000e+01,2.057000000000e+20
6.811000000000e+01,2.193000000000e+20
6.946000000000e+01,2.243000000000e+20
7.223000000000e+01,2.348000000000e+20
8.782000000000e+01,3.064000000000e+20
8.954000000000e+01,3.158000000000e+20
9.678000000000e+01,3.597000000000e+20
9.867000000000e+01,3.721000000000e+20
1.005900000000e+02,3.855000000000e+20
1.025600000000e+02,3.998000000000e+20
1.045500000000e+02,4.150000000000e+20
1.065900000000e+02,4.311000000000e+20
1.172900000000e+02,5.282000000000e+20
1.195300000000e+02,5.513000000000e+20
1.218200000000e+02,5.757000000000e+20
1.241300000000e+02,6.013000000000e+20
1.264900000000e+02,6.284000000000e+20
1.288800000000e+02,6.567000000000e+20
1.313000000000e+02,6.862000000000e+20
1.337500000000e+02,7.169000000000e+20
1.362400000000e+02,7.487000000000e+20
1.387600000000e+02,7.814000000000e+20
1.413100000000e+02,8.150000000000e+20
1.438900000000e+02,8.491000000000e+20
1.465000000000e+02,8.838000000000e+20
1.491400000000e+02,9.190000000000e+20
1.518100000000e+02,9.547000000000e+20
1.572800000000e+02,1.029400000000e+21
2.507800000000e+02,2.326900000000e+21
2.551100000000e+02,2.374600000000e+21
2.595700000000e+02,2.428400000000e+21
2.737100000000e+02,2.596600000000e+21
2.787100000000e+02,2.661600000000e+21
2.946400000000e+02,2.843800000000e+21
3.061400000000e+02,2.988000000000e+21
3.383500000000e+02,3.391400000000e+21
3.528100000000e+02,3.545500000000e+21
3.763800000000e+02,3.814500000000e+21
4.024200000000e+02,4.076200000000e+21
4.212600000000e+02,4.289500000000e+21
4.311400000000e+02,4.403500000000e+21
4.413600000000e+02,4.526500000000e+21
4.519200000000e+02,4.649100000000e+21
4.628200000000e+02,4.791500000000e+21
4.740800000000e+02,4.911100000000e+21
4.857000000000e+02,5.040200000000e+21
4.977200000000e+02,5.188600000000e+21
5.101000000000e+02,5.336400000000e+21
5.497200000000e+02,5.813300000000e+21
5.637100000000e+02,5.985800000000e+21
5.781900000000e+02,6.163800000000e+21
5.930800000000e+02,6.327700000000e+21
7.106400000000e+02,7.841400000000e+21
7.293800000000e+02,8.095100000000e+21
7.487000000000e+02,8.358400000000e+21
7.685700000000e+02,8.624300000000e+21
8.099700000000e+02,9.189100000000e+21
8.315700000000e+02,9.492500000000e+21
8.537400000000e+02,9.811700000000e+21
8.999300000000e+02,1.049590000000e+22
9.238800000000e+02,1.083390000000e+22
9.738000000000e+02,1.159580000000e+22
9.997700000000e+02,1.199890000000e+22
1.026380000000e+03,1.240820000000e+22
1.053710000000e+03,1.284490000000e+22
1.110520000000e+03,1.373930000000e+22
1.139980000000e+03,1.422300000000e+22
1.170200000000e+03,1.473230000000e+22
1.201180000000e+03,1.524660000000e+22
1.232960000000e+03,1.579410000000e+22
1.298870000000e+03,1.700560000000e+22
1.332900000000e+03,1.767260000000e+22
1.367840000000e+03,1.835890000000e+22
1.403700000000e+03,1.906750000000e+22
1.440460000000e+03,1.987110000000e+22
1.724380000000e+03,2.531560000000e+22
1.768980000000e+03,2.622350000000e+22
1.814540000000e+03,2.712400000000e+22
1.861090000000e+03,2.809170000000e+22
1.908850000000e+03,2.909600000000e+22
1.957860000000e+03,3.015620000000e+22
