# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_16e6b3f8e5795debc5d8"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "111020b0cb390392c34d2189c1c802f8942e9e049a194069b6e513875fe098ec"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.360000000000e+19
1.400000000000e-01,3.360000000000e+19
5.800000000000e-01,3.360000000000e+19
1.010000000000e+00,3.360000000000e+19
1.770000000000e+00,3.370000000000e+19
2.480000000000e+00,3.370000000000e+19
3.470000000000e+00,3.390000000000e+19
4.170000000000e+00,3.400000000000e+19
5.000000000000e+00,3.420000000000e+19
5.750000000000e+00,3.440000000000e+19
6.610000000000e+00,3.470000000000e+19
7.610000000000e+00,3.500000000000e+19
8.750000000000e+00,3.550000000000e+19
9.630000000000e+00,3.590000000000e+19
1.059000000000e+01,3.640000000000e+19
1.112000000000e+01,3.660000000000e+19
1.168000000000e+01,3.700000000000e+19
1.226000000000e+01,3.730000000000e+19
1.288000000000e+01,3.770000000000e+19
1.352000000000e+01,3.810000000000e+19
1.420000000000e+01,3.850000000000e+19
1.492000000000e+01,3.900000000000e+19
1.566000000000e+01,3.960000000000e+19
1.645000000000e+01,4.020000000000e+19
1.728000000000e+01,4.090000000000e+19
1.815000000000e+01,4.160000000000e+19
1.851000000000e+01,4.190000000000e+19
1.888000000000e+01,4.220000000000e+19
1.926000000000e+01,4.260000000000e+19
1.965000000000e+01,4.290000000000e+19
2.005000000000e+01,4.330000000000e+19
2.045000000000e+01,4.370000000000e+19
2.086000000000e+01,4.410000000000e+19
2.128000000000e+01,4.450000000000e+19
2.171000000000e+01,4.490000000000e+19
2.215000000000e+01,4.540000000000e+19
2.260000000000e+01,4.580000000000e+19
2.305000000000e+01,4.630000000000e+19
2.352000000000e+01,4.680000000000e+19
2.399000000000e+01,4.730000000000e+19
2.448000000000e+01,4.780000000000e+19
2.497000000000e+01,4.840000000000e+19
2.548000000000e+01,4.900000000000e+19
2.599000000000e+01,4.960000000000e+19
2.652000000000e+01,5.020000000000e+19
2.706000000000e+01,5.090000000000e+19
2.760000000000e+01,5.150000000000e+19
2.932000000000e+01,5.370000000000e+19
2.991000000000e+01,5.450000000000e+19
3.052000000000e+01,5.530000000000e+19
3.114000000000e+01,5.610000000000e+19
3.178000000000e+01,5.700000000000e+19
3.242000000000e+01,5.790000000000e+19
3.308000000000e+01,5.880000000000e+19
3.376000000000e+01,5.980000000000e+19
3.445000000000e+01,6.080000000000e+19
3.515000000000e+01,6.180000000000e+19
3.587000000000e+01,6.290000000000e+19
3.660000000000e+01,6.400000000000e+19
3.735000000000e+01,6.510000000000e+19
3.811000000000e+01,6.630000000000e+19
3.889000000000e+01,6.760000000000e+19
3.969000000000e+01,6.890000000000e+19
4.051000000000e+01,7.020000000000e+19
4.134000000000e+01,7.160000000000e+19
4.219000000000e+01,7.300000000000e+19
4.306000000000e+01,7.450000000000e+19
4.395000000000e+01,7.610000000000e+19
4.485000000000e+01,7.770000000000e+19
4.578000000000e+01,7.940000000000e+19
4.673000000000e+01,8.110000000000e+19
4.769000000000e+01,8.290000000000e+19
4.868000000000e+01,8.480000000000e+19
4.969000000000e+01,8.680000000000e+19
5.072000000000e+01,8.880000000000e+19
5.178000000000e+01,9.090000000000e+19
5.285000000000e+01,9.310000000000e+19
5.396000000000e+01,9.530000000000e+19
5.508000000000e+01,9.770000000000e+19
5.623000000000e+01,1.002000000000e+20
5.741000000000e+01,1.027000000000e+20
5.861000000000e+01,1.053000000000e+20
6.110000000000e+01,1.110000000000e+20
6.238000000000e+01,1.140000000000e+20
6.369000000000e+01,1.171000000000e+20
6.503000000000e+01,1.203000000000e+20
6.641000000000e+01,1.237000000000e+20
6.781000000000e+01,1.272000000000e+20
6.924000000000e+01,1.309000000000e+20
7.071000000000e+01,1.348000000000e+20
7.220000000000e+01,1.388000000000e+20
7.373000000000e+01,1.430000000000e+20
7.530000000000e+01,1.474000000000e+20
7.690000000000e+01,1.521000000000e+20
7.853000000000e+01,1.570000000000e+20
8.020000000000e+01,1.621000000000e+20
8.191000000000e+01,1.676000000000e+20
8.366000000000e+01,1.734000000000e+20
8.544000000000e+01,1.795000000000e+20
8.726000000000e+01,1.860000000000e+20
8.912000000000e+01,1.930000000000e+20
9.102000000000e+01,2.004000000000e+20
9.297000000000e+01,2.085000000000e+20
9.495000000000e+01,2.173000000000e+20
9.697000000000e+01,2.267000000000e+20
9.904000000000e+01,2.370000000000e+20
1.011500000000e+02,2.481000000000e+20
1.033000000000e+02,2.602000000000e+20
1.055000000000e+02,2.736000000000e+20
1.077500000000e+02,2.884000000000e+20
1.100300000000e+02,3.047000000000e+20
1.123600000000e+02,3.227000000000e+20
1.221500000000e+02,4.198000000000e+20
1.246200000000e+02,4.498000000000e+20
1.272000000000e+02,4.860000000000e+20
1.298100000000e+02,5.250000000000e+20
1.324500000000e+02,5.682000000000e+20
1.648300000000e+02,1.215700000000e+21
1.674800000000e+02,1.294700000000e+21
1.701400000000e+02,1.374600000000e+21
2.655900000000e+02,3.129300000000e+21
2.693700000000e+02,3.163900000000e+21
2.732700000000e+02,3.198200000000e+21
2.772900000000e+02,3.238800000000e+21
2.814500000000e+02,3.284200000000e+21
2.996100000000e+02,3.525400000000e+21
3.097300000000e+02,3.654400000000e+21
3.150800000000e+02,3.727100000000e+21
3.206400000000e+02,3.812100000000e+21
3.264100000000e+02,3.903000000000e+21
3.324000000000e+02,3.994400000000e+21
3.979300000000e+02,4.735800000000e+21
4.066600000000e+02,4.865800000000e+21
4.157200000000e+02,4.978700000000e+21
4.251100000000e+02,5.116800000000e+21
4.348600000000e+02,5.263700000000e+21
4.449500000000e+02,5.402700000000e+21
4.554000000000e+02,5.536700000000e+21
4.662300000000e+02,5.684000000000e+21
4.774400000000e+02,5.835300000000e+21
4.890500000000e+02,5.988500000000e+21
5.010600000000e+02,6.147600000000e+21
5.134900000000e+02,6.312800000000e+21
5.263300000000e+02,6.481700000000e+21
