# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_812489f5cd9c3a54abbf"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:17:55"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "675a86a82a6ca87a367c22b7d9a41b4fc8868ff6b5cfa3ef6c3d57dd2f059498"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.870077052228e+21
2.000000000000e-01,3.870077052228e+21
8.100000000000e-01,3.870077052228e+21
1.420000000000e+00,3.870077052228e+21
2.490000000000e+00,3.870077052228e+21
3.490000000000e+00,3.870077052228e+21
4.880000000000e+00,3.869811887647e+21
5.860000000000e+00,3.869811887647e+21
7.030000000000e+00,3.869811887647e+21
8.080000000000e+00,3.869546723067e+21
9.290000000000e+00,3.869546723067e+21
1.069000000000e+01,3.869281558486e+21
1.229000000000e+01,3.869016393906e+21
1.352000000000e+01,3.869016393906e+21
1.487000000000e+01,3.868751229325e+21
1.562000000000e+01,3.868751229325e+21
1.640000000000e+01,3.868486064745e+21
1.722000000000e+01,3.868486064745e+21
1.808000000000e+01,3.868486064745e+21
1.899000000000e+01,3.868486064745e+21
1.994000000000e+01,3.868486064745e+21
2.093000000000e+01,3.868486064745e+21
2.198000000000e+01,3.868486064745e+21
2.308000000000e+01,3.868486064745e+21
2.423000000000e+01,3.868486064745e+21
2.545000000000e+01,3.868751229325e+21
2.596000000000e+01,3.868751229325e+21
2.647000000000e+01,3.869016393906e+21
2.700000000000e+01,3.869016393906e+21
2.754000000000e+01,3.869281558486e+21
2.810000000000e+01,3.869281558486e+21
2.866000000000e+01,3.869546723067e+21
2.923000000000e+01,3.869811887647e+21
2.981000000000e+01,3.870077052228e+21
3.041000000000e+01,3.870342216808e+21
3.102000000000e+01,3.870607381389e+21
3.164000000000e+01,3.870872545969e+21
3.227000000000e+01,3.871137710550e+21
3.291000000000e+01,3.871402875130e+21
3.357000000000e+01,3.871933204291e+21
3.424000000000e+01,3.872198368872e+21
3.492000000000e+01,3.872728698033e+21
3.562000000000e+01,3.873259027194e+21
3.633000000000e+01,3.873789356355e+21
3.705000000000e+01,3.874319685516e+21
3.779000000000e+01,3.874850014677e+21
3.855000000000e+01,3.875645508418e+21
3.931000000000e+01,3.876175837579e+21
4.010000000000e+01,3.876971331321e+21
4.089000000000e+01,3.877766825062e+21
4.170000000000e+01,3.879357812545e+21
4.253000000000e+01,3.880418470867e+21
