# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_18c081a62d55cc1334b0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:17:55"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14081_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f7ce36849f7ce8c7ef4081b3a8565de2b6946002ddfac410bd76603a7596a30d"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.842499935857e+21
2.000000000000e-01,3.842499935857e+21
8.200000000000e-01,3.842499935857e+21
1.430000000000e+00,3.842499935857e+21
2.510000000000e+00,3.842499935857e+21
4.910000000000e+00,3.842234771277e+21
7.080000000000e+00,3.841969606696e+21
8.140000000000e+00,3.841969606696e+21
1.076000000000e+01,3.841704442116e+21
1.238000000000e+01,3.841439277535e+21
1.498000000000e+01,3.841174112955e+21
1.652000000000e+01,3.840908948374e+21
1.734000000000e+01,3.840908948374e+21
1.821000000000e+01,3.840908948374e+21
1.912000000000e+01,3.840908948374e+21
2.008000000000e+01,3.840908948374e+21
2.108000000000e+01,3.840908948374e+21
2.214000000000e+01,3.840908948374e+21
2.325000000000e+01,3.840908948374e+21
2.441000000000e+01,3.840908948374e+21
2.614000000000e+01,3.841174112955e+21
2.774000000000e+01,3.841704442116e+21
2.886000000000e+01,3.841969606696e+21
3.003000000000e+01,3.842234771277e+21
3.063000000000e+01,3.842499935857e+21
3.124000000000e+01,3.842765100438e+21
3.381000000000e+01,3.844090923340e+21
3.517000000000e+01,3.844886417081e+21
3.588000000000e+01,3.845416746242e+21
3.806000000000e+01,3.847538062886e+21
3.882000000000e+01,3.848333556628e+21
3.960000000000e+01,3.849129050369e+21
4.038000000000e+01,3.849924544111e+21
4.119000000000e+01,3.850720037852e+21
4.284000000000e+01,3.852576189916e+21
4.456000000000e+01,3.854697506559e+21
4.915000000000e+01,3.860796291911e+21
5.011000000000e+01,3.862387279394e+21
5.110000000000e+01,3.863978266877e+21
5.211000000000e+01,3.865569254360e+21
5.313000000000e+01,3.867425406423e+21
5.523000000000e+01,3.871402875130e+21
5.631000000000e+01,3.873259027194e+21
5.741000000000e+01,3.875380343838e+21
5.854000000000e+01,3.877236495901e+21
5.968000000000e+01,3.879357812545e+21
6.202000000000e+01,3.883600445833e+21
6.323000000000e+01,3.885721762477e+21
7.227000000000e+01,3.902161966467e+21
7.366000000000e+01,3.904813612272e+21
7.507000000000e+01,3.907200093496e+21
7.945000000000e+01,3.914624701750e+21
8.096000000000e+01,3.917011182974e+21
8.250000000000e+01,3.919662828779e+21
8.406000000000e+01,3.922579639165e+21
8.566000000000e+01,3.925496449550e+21
8.728000000000e+01,3.928413259935e+21
8.893000000000e+01,3.931330070321e+21
9.061000000000e+01,3.934512045286e+21
9.408000000000e+01,3.940875995218e+21
9.585000000000e+01,3.944323134765e+21
9.767000000000e+01,3.948035438891e+21
9.951000000000e+01,3.951747743018e+21
1.013900000000e+02,3.955725211726e+21
1.033000000000e+02,3.959967845013e+21
1.052500000000e+02,3.964210478301e+21
1.072300000000e+02,3.969778934491e+21
1.092500000000e+02,3.974817061521e+21
1.113100000000e+02,3.980120353130e+21
1.134100000000e+02,3.985688809321e+21
1.155500000000e+02,3.991787594672e+21
1.177200000000e+02,3.997886380023e+21
1.199300000000e+02,4.004780659116e+21
1.221900000000e+02,4.011409773628e+21
1.244900000000e+02,4.018304052721e+21
1.268300000000e+02,4.025728660974e+21
1.292100000000e+02,4.032888104648e+21
1.316200000000e+02,4.040577877482e+21
1.340800000000e+02,4.048532814896e+21
1.365900000000e+02,4.055692258570e+21
1.391300000000e+02,4.063116866823e+21
1.417100000000e+02,4.071071804238e+21
1.443400000000e+02,4.078761577072e+21
1.470100000000e+02,4.085921020745e+21
1.497200000000e+02,4.093345628999e+21
1.524700000000e+02,4.099974743511e+21
1.552600000000e+02,4.106869022604e+21
1.581100000000e+02,4.112967807955e+21
1.609800000000e+02,4.119331757887e+21
1.639000000000e+02,4.124900214077e+21
1.668600000000e+02,4.130468670267e+21
1.698600000000e+02,4.135506797297e+21
1.729200000000e+02,4.140279759745e+21
1.760200000000e+02,4.145317886775e+21
2.026600000000e+02,4.173160167726e+21
2.253000000000e+02,4.193047511263e+21
2.377400000000e+02,4.203919259063e+21
2.558800000000e+02,4.215851665185e+21
2.870200000000e+02,4.231496375433e+21
3.312100000000e+02,4.225397590082e+21
3.383500000000e+02,4.222215615116e+21
3.533400000000e+02,4.213730348541e+21
3.612000000000e+02,4.208161892350e+21
3.693200000000e+02,4.202328271580e+21
3.777000000000e+02,4.194373334165e+21
3.863600000000e+02,4.186683561331e+21
