# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1a0115f2eaa8c6742eec"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "35Cl-(1S0)"
# neutral: "N2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled NDL of Ellis et al., At. Data Nucl. Data Tables 31 (1984) 113."
# source_family: "compiled ndl of ellis et al., at. data nucl. data tables 31 (1984) 113."
# comment: ""
# updated: "2011-12-12 11:22:17"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_021_9160_9160/001_diffusion_x_gas_density.txt"
# source_file_sha256: "3991f8d65890d3dcb19edf502ffd25f1bdb99512d6912bccd81f8e1ce3cae05d"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e+00,1.980000000000e+20
1.000000000000e+01,2.000000000000e+20
1.500000000000e+01,2.130000000000e+20
2.000000000000e+01,2.320000000000e+20
3.000000000000e+01,2.990000000000e+20
4.000000000000e+01,3.950000000000e+20
6.000000000000e+01,7.750000000000e+20
8.000000000000e+01,1.120000000000e+21
1.000000000000e+02,1.450000000000e+21
1.500000000000e+02,2.120000000000e+21
2.000000000000e+02,2.680000000000e+21
2.500000000000e+02,3.150000000000e+21
