# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4e3d315b56beb55c4d64"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "NO3^-"
# neutral: "N2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 31 (1984) 113."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 31 (1984) 113."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_152_271_271/001_mobility.txt"
# source_file_sha256: "409f217914f6cebba506092f5c72e7ca0e35a74519f379c0605fe286b3bdfd19"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e+00,6.178334725379e+21
1.000000000000e+01,6.178334725379e+21
1.500000000000e+01,6.178334725379e+21
2.000000000000e+01,6.204851183428e+21
3.000000000000e+01,6.257884099526e+21
4.000000000000e+01,6.310917015623e+21
5.000000000000e+01,6.443499305867e+21
6.000000000000e+01,6.576081596112e+21
8.000000000000e+01,6.867762634649e+21
1.000000000000e+02,7.185960131235e+21
1.200000000000e+02,7.318542421479e+21
1.400000000000e+02,7.345058879528e+21
1.600000000000e+02,7.292025963430e+21
1.800000000000e+02,7.212476589284e+21
2.000000000000e+02,7.053377840991e+21
