# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_810ba0b944241e5f25d4"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P1/2)^+"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:00:31"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "4f19e85a5d30ef8dee75cfe3ac8030351ee575d9d0c79e470be28e3ac7836e45"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.167057534041e+22
9.000000000000e-02,2.167057534041e+22
3.600000000000e-01,2.167057534041e+22
6.300000000000e-01,2.167084050499e+22
1.110000000000e+00,2.167190116331e+22
1.550000000000e+00,2.167322698622e+22
2.170000000000e+00,2.167614379660e+22
2.610000000000e+00,2.167879544241e+22
3.130000000000e+00,2.168250774653e+22
3.600000000000e+00,2.168675037982e+22
4.140000000000e+00,2.169231883601e+22
4.760000000000e+00,2.170000860885e+22
5.470000000000e+00,2.171061519207e+22
6.020000000000e+00,2.172042628154e+22
6.620000000000e+00,2.173235868767e+22
8.030000000000e+00,2.176895139977e+22
8.430000000000e+00,2.178167929964e+22
8.850000000000e+00,2.179573302240e+22
9.290000000000e+00,2.181190806181e+22
9.750000000000e+00,2.183046958245e+22
1.023000000000e+01,2.185168274889e+22
1.073000000000e+01,2.187475206739e+22
1.126000000000e+01,2.190232918376e+22
1.148000000000e+01,2.191479191904e+22
1.171000000000e+01,2.192751981891e+22
1.194000000000e+01,2.194130837709e+22
1.217000000000e+01,2.195589242902e+22
1.241000000000e+01,2.197127197469e+22
1.265000000000e+01,2.198744701410e+22
1.315000000000e+01,2.202112291582e+22
1.340000000000e+01,2.203994960103e+22
1.366000000000e+01,2.206010210915e+22
1.393000000000e+01,2.208184560475e+22
1.420000000000e+01,2.210411942951e+22
1.447000000000e+01,2.212798424175e+22
1.475000000000e+01,2.215370520606e+22
1.504000000000e+01,2.218048682869e+22
1.532000000000e+01,2.220859427422e+22
1.621000000000e+01,2.232288020841e+22
1.653000000000e+01,2.236053357884e+22
1.684000000000e+01,2.239951277217e+22
1.716000000000e+01,2.244087844673e+22
1.748000000000e+01,2.248410027335e+22
1.781000000000e+01,2.252997374578e+22
1.814000000000e+01,2.257823369942e+22
1.848000000000e+01,2.262861496972e+22
1.882000000000e+01,2.268164788581e+22
1.916000000000e+01,2.273706728314e+22
1.951000000000e+01,2.279540349084e+22
1.987000000000e+01,2.285586101520e+22
2.023000000000e+01,2.291950051451e+22
2.059000000000e+01,2.298658715338e+22
2.096000000000e+01,2.305367379224e+22
2.133000000000e+01,2.312394240607e+22
2.170000000000e+01,2.319951431151e+22
2.208000000000e+01,2.327429072321e+22
2.246000000000e+01,2.335357493277e+22
2.284000000000e+01,2.343445012982e+22
2.323000000000e+01,2.350710522487e+22
2.435000000000e+01,2.375901157634e+22
2.522000000000e+01,2.393402019946e+22
2.563000000000e+01,2.402152451102e+22
2.603000000000e+01,2.410796816426e+22
2.645000000000e+01,2.419229050086e+22
2.719000000000e+01,2.433972200761e+22
2.772000000000e+01,2.444817432103e+22
2.812000000000e+01,2.452719336601e+22
2.856000000000e+01,2.461787965254e+22
3.669000000000e+01,2.589252579095e+22
3.693000000000e+01,2.594476321330e+22
4.302000000000e+01,2.704413556401e+22
4.422000000000e+01,2.729339026967e+22
4.484000000000e+01,2.743127585152e+22
4.547000000000e+01,2.755855485016e+22
4.612000000000e+01,2.768583384879e+22
4.679000000000e+01,2.781576449323e+22
4.748000000000e+01,2.795099842928e+22
4.891000000000e+01,2.821881465557e+22
4.966000000000e+01,2.835670023743e+22
5.044000000000e+01,2.848663088187e+22
5.124000000000e+01,2.862186481792e+22
5.207000000000e+01,2.874649217074e+22
5.292000000000e+01,2.887907446099e+22
5.380000000000e+01,2.899839852221e+22
