# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_35c14be5f00c520a837a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P3/2)^+"
# neutral: "Ne"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:03:09"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "fc60d6378236be3967a1b0b432f63a369e555e9ea286e0d889f1c1c4c266db3e"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.580449115023e+22
1.000000000000e-01,2.580449115023e+22
3.900000000000e-01,2.580502147939e+22
6.900000000000e-01,2.580608213771e+22
1.200000000000e+00,2.580820345435e+22
1.690000000000e+00,2.581483256887e+22
2.360000000000e+00,2.582331783544e+22
2.830000000000e+00,2.583127277286e+22
3.400000000000e+00,2.584267484982e+22
3.900000000000e+00,2.584665231852e+22
4.490000000000e+00,2.587369910573e+22
5.160000000000e+00,2.589173029721e+22
5.920000000000e+00,2.592010290732e+22
6.510000000000e+00,2.594290706124e+22
7.160000000000e+00,2.597181000051e+22
7.510000000000e+00,2.598665921702e+22
7.880000000000e+00,2.600601623140e+22
8.270000000000e+00,2.602590357493e+22
8.680000000000e+00,2.604738190595e+22
9.100000000000e+00,2.606992089529e+22
9.550000000000e+00,2.609590702418e+22
1.002000000000e+01,2.612401446971e+22
1.051000000000e+01,2.615397806731e+22
1.102000000000e+01,2.618685847529e+22
1.156000000000e+01,2.622239052908e+22
1.212000000000e+01,2.626057422867e+22
1.235000000000e+01,2.627674926808e+22
1.259000000000e+01,2.629371980123e+22
1.284000000000e+01,2.631095549896e+22
1.309000000000e+01,2.632872152585e+22
1.334000000000e+01,2.634728304649e+22
1.360000000000e+01,2.636610973170e+22
1.386000000000e+01,2.638599707524e+22
1.412000000000e+01,2.640614958335e+22
1.440000000000e+01,2.642656725605e+22
1.467000000000e+01,2.644698492875e+22
1.495000000000e+01,2.646899358893e+22
1.524000000000e+01,2.649100224911e+22
1.553000000000e+01,2.651380640303e+22
1.583000000000e+01,2.653767121528e+22
1.613000000000e+01,2.656153602752e+22
1.644000000000e+01,2.658540083976e+22
1.675000000000e+01,2.661191729781e+22
1.707000000000e+01,2.663578211006e+22
1.739000000000e+01,2.665964692230e+22
1.772000000000e+01,2.668881502615e+22
1.805000000000e+01,2.671533148420e+22
1.840000000000e+01,2.674184794225e+22
1.874000000000e+01,2.677101604611e+22
1.909000000000e+01,2.680018414996e+22
1.945000000000e+01,2.682670060801e+22
1.982000000000e+01,2.685321706606e+22
2.019000000000e+01,2.688238516991e+22
2.057000000000e+01,2.691155327377e+22
2.095000000000e+01,2.694072137762e+22
2.135000000000e+01,2.696723783567e+22
2.174000000000e+01,2.699640593952e+22
2.215000000000e+01,2.702292239757e+22
2.256000000000e+01,2.705474214723e+22
2.298000000000e+01,2.708391025108e+22
2.341000000000e+01,2.711307835494e+22
2.384000000000e+01,2.714489810459e+22
2.428000000000e+01,2.717406620845e+22
2.473000000000e+01,2.720323431230e+22
2.519000000000e+01,2.722975077035e+22
2.566000000000e+01,2.725891887420e+22
2.613000000000e+01,2.728808697806e+22
2.662000000000e+01,2.731460343611e+22
2.711000000000e+01,2.733846824835e+22
2.761000000000e+01,2.736763635221e+22
2.812000000000e+01,2.739415281025e+22
2.864000000000e+01,2.741801762250e+22
2.918000000000e+01,2.743923078894e+22
3.028000000000e+01,2.747635383021e+22
3.142000000000e+01,2.750552193406e+22
3.652000000000e+01,2.756650978757e+22
3.723000000000e+01,2.756916143338e+22
3.869000000000e+01,2.757711637079e+22
3.944000000000e+01,2.757711637079e+22
4.022000000000e+01,2.757711637079e+22
4.184000000000e+01,2.756916143338e+22
4.534000000000e+01,2.753203839211e+22
4.628000000000e+01,2.751347687147e+22
4.724000000000e+01,2.749226370503e+22
4.824000000000e+01,2.746839889279e+22
4.926000000000e+01,2.744188243474e+22
5.031000000000e+01,2.741006268508e+22
5.484000000000e+01,2.725891887420e+22
5.733000000000e+01,2.715020139620e+22
5.862000000000e+01,2.709982012591e+22
5.996000000000e+01,2.703883227240e+22
6.134000000000e+01,2.697519277308e+22
6.276000000000e+01,2.690624998216e+22
6.422000000000e+01,2.683465554542e+22
6.574000000000e+01,2.676040946289e+22
6.729000000000e+01,2.668086008874e+22
7.055000000000e+01,2.650770761768e+22
7.226000000000e+01,2.641728649573e+22
7.402000000000e+01,2.632235757592e+22
7.583000000000e+01,2.622371635198e+22
7.770000000000e+01,2.612268864681e+22
7.963000000000e+01,2.600150843353e+22
8.162000000000e+01,2.588589667644e+22
8.367000000000e+01,2.577770952760e+22
8.578000000000e+01,2.566236293508e+22
8.795000000000e+01,2.554409953219e+22
9.019000000000e+01,2.542318448348e+22
9.250000000000e+01,2.530279976394e+22
9.488000000000e+01,2.517313428408e+22
9.733000000000e+01,2.504532495629e+22
9.985000000000e+01,2.491539431185e+22
1.024500000000e+02,2.478360751535e+22
1.051200000000e+02,2.464996456678e+22
1.078800000000e+02,2.451473063073e+22
1.107100000000e+02,2.437764054262e+22
1.136200000000e+02,2.424002012534e+22
1.166200000000e+02,2.410186937891e+22
1.197000000000e+02,2.395974116377e+22
1.228700000000e+02,2.382238591108e+22
1.261300000000e+02,2.368184868342e+22
1.294800000000e+02,2.354051596202e+22
1.329300000000e+02,2.339944840520e+22
1.364600000000e+02,2.325758535464e+22
1.401000000000e+02,2.311625263323e+22
1.438300000000e+02,2.297598057016e+22
1.476700000000e+02,2.283517817792e+22
1.516000000000e+02,2.269543644400e+22
1.556400000000e+02,2.255595987466e+22
1.597900000000e+02,2.241701363449e+22
1.640400000000e+02,2.227912805263e+22
1.684100000000e+02,2.214203796452e+22
1.728900000000e+02,2.200600853473e+22
1.774800000000e+02,2.187103976326e+22
1.821900000000e+02,2.173766197928e+22
1.870200000000e+02,2.160534485361e+22
1.919600000000e+02,2.147461871543e+22
1.970400000000e+02,2.134521840015e+22
2.022300000000e+02,2.121740907236e+22
2.075500000000e+02,2.108933457998e+22
2.129900000000e+02,2.096841953128e+22
2.185800000000e+02,2.084273152013e+22
2.242800000000e+02,2.072579394013e+22
2.301300000000e+02,2.060646987891e+22
2.361000000000e+02,2.049032779266e+22
2.422200000000e+02,2.037524636473e+22
2.484700000000e+02,2.026626372215e+22
2.548700000000e+02,2.015542492750e+22
2.748900000000e+02,1.986904718057e+22
2.818700000000e+02,1.977014079205e+22
2.889800000000e+02,1.967468154308e+22
2.962400000000e+02,1.958134361074e+22
3.036400000000e+02,1.949198314712e+22
3.111800000000e+02,1.940500916472e+22
3.188700000000e+02,1.932201265103e+22
3.267100000000e+02,1.924034196024e+22
3.346900000000e+02,1.916264873815e+22
3.428100000000e+02,1.908787232646e+22
3.510800000000e+02,1.901601272514e+22
3.594900000000e+02,1.894680476964e+22
3.680500000000e+02,1.888104395367e+22
3.767400000000e+02,1.881766961894e+22
3.855700000000e+02,1.875615143626e+22
3.945400000000e+02,1.869622424107e+22
4.317800000000e+02,1.852015495963e+22
