# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0a06147194e9b2fffb39"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P1/2)^+"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:19:34"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13996_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "ccc54c8756d8d79ed1ea115ef4b788296b3e1af906ea123951b1efb95b8549e0"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,3.677000000000e+20
8.000000000000e-02,3.677000000000e+20
3.000000000000e-01,3.678000000000e+20
5.300000000000e-01,3.679000000000e+20
9.300000000000e-01,3.684000000000e+20
1.310000000000e+00,3.692000000000e+20
1.830000000000e+00,3.709000000000e+20
2.190000000000e+00,3.723000000000e+20
2.630000000000e+00,3.743000000000e+20
3.030000000000e+00,3.764000000000e+20
3.480000000000e+00,3.792000000000e+20
4.000000000000e+00,3.830000000000e+20
4.600000000000e+00,3.879000000000e+20
5.060000000000e+00,3.922000000000e+20
5.570000000000e+00,3.974000000000e+20
5.850000000000e+00,4.005000000000e+20
6.140000000000e+00,4.039000000000e+20
6.450000000000e+00,4.076000000000e+20
6.770000000000e+00,4.118000000000e+20
7.110000000000e+00,4.164000000000e+20
7.470000000000e+00,4.215000000000e+20
7.840000000000e+00,4.272000000000e+20
8.230000000000e+00,4.335000000000e+20
8.640000000000e+00,4.405000000000e+20
9.080000000000e+00,4.483000000000e+20
9.530000000000e+00,4.570000000000e+20
9.720000000000e+00,4.609000000000e+20
9.910000000000e+00,4.649000000000e+20
1.011000000000e+01,4.691000000000e+20
1.031000000000e+01,4.735000000000e+20
1.052000000000e+01,4.781000000000e+20
1.073000000000e+01,4.830000000000e+20
1.094000000000e+01,4.881000000000e+20
1.116000000000e+01,4.934000000000e+20
1.138000000000e+01,4.990000000000e+20
1.161000000000e+01,5.059000000000e+20
1.184000000000e+01,5.122000000000e+20
1.208000000000e+01,5.189000000000e+20
1.232000000000e+01,5.260000000000e+20
1.256000000000e+01,5.334000000000e+20
1.281000000000e+01,5.412000000000e+20
1.307000000000e+01,5.495000000000e+20
1.333000000000e+01,5.583000000000e+20
1.359000000000e+01,5.676000000000e+20
1.386000000000e+01,5.774000000000e+20
1.414000000000e+01,5.878000000000e+20
1.442000000000e+01,5.990000000000e+20
1.471000000000e+01,6.106000000000e+20
1.500000000000e+01,6.232000000000e+20
1.529000000000e+01,6.365000000000e+20
1.559000000000e+01,6.504000000000e+20
1.685000000000e+01,7.127000000000e+20
1.718000000000e+01,7.323000000000e+20
1.751000000000e+01,7.534000000000e+20
1.785000000000e+01,7.760000000000e+20
1.820000000000e+01,8.006000000000e+20
1.855000000000e+01,8.271000000000e+20
1.891000000000e+01,8.556000000000e+20
1.927000000000e+01,8.865000000000e+20
1.964000000000e+01,9.196000000000e+20
2.001000000000e+01,9.556000000000e+20
2.039000000000e+01,9.945000000000e+20
2.077000000000e+01,1.036400000000e+21
2.116000000000e+01,1.082000000000e+21
2.155000000000e+01,1.131600000000e+21
2.194000000000e+01,1.184600000000e+21
2.234000000000e+01,1.242600000000e+21
2.274000000000e+01,1.304800000000e+21
2.356000000000e+01,1.442600000000e+21
2.440000000000e+01,1.603800000000e+21
2.481000000000e+01,1.685200000000e+21
2.523000000000e+01,1.773800000000e+21
2.565000000000e+01,1.867000000000e+21
2.608000000000e+01,1.963000000000e+21
2.651000000000e+01,2.059400000000e+21
2.694000000000e+01,2.163000000000e+21
2.737000000000e+01,2.264400000000e+21
2.867000000000e+01,2.580600000000e+21
4.886000000000e+01,6.271400000000e+21
5.042000000000e+01,6.612800000000e+21
5.116000000000e+01,6.811100000000e+21
5.192000000000e+01,7.015000000000e+21
5.270000000000e+01,7.214300000000e+21
5.351000000000e+01,7.418000000000e+21
5.435000000000e+01,7.639300000000e+21
5.522000000000e+01,7.861000000000e+21
5.612000000000e+01,8.094100000000e+21
5.706000000000e+01,8.324700000000e+21
5.802000000000e+01,8.571000000000e+21
5.902000000000e+01,8.820800000000e+21
6.006000000000e+01,9.091900000000e+21
6.114000000000e+01,9.367000000000e+21
6.225000000000e+01,9.648900000000e+21
6.340000000000e+01,9.942200000000e+21
6.460000000000e+01,1.024400000000e+22
6.584000000000e+01,1.055820000000e+22
7.914000000000e+01,1.197540000000e+22
8.088000000000e+01,1.236530000000e+22
8.268000000000e+01,1.302070000000e+22
8.454000000000e+01,1.356130000000e+22
8.646000000000e+01,1.408660000000e+22
8.844000000000e+01,1.460260000000e+22
9.048000000000e+01,1.508930000000e+22
9.259000000000e+01,1.561520000000e+22
9.476000000000e+01,1.613290000000e+22
9.700000000000e+01,1.666350000000e+22
9.931000000000e+01,1.720610000000e+22
1.017000000000e+02,1.776530000000e+22
1.041500000000e+02,1.833750000000e+22
1.066800000000e+02,1.892760000000e+22
1.092800000000e+02,1.954440000000e+22
1.119600000000e+02,2.017760000000e+22
1.147200000000e+02,2.083990000000e+22
1.175500000000e+02,2.152300000000e+22
1.204700000000e+02,2.224070000000e+22
1.234700000000e+02,2.303120000000e+22
1.265400000000e+02,2.373760000000e+22
1.297100000000e+02,2.453190000000e+22
1.329600000000e+02,2.535880000000e+22
1.363100000000e+02,2.620970000000e+22
1.397400000000e+02,2.711460000000e+22
1.432600000000e+02,2.803870000000e+22
1.468800000000e+02,2.901320000000e+22
1.505800000000e+02,3.001600000000e+22
1.544000000000e+02,3.106150000000e+22
1.583100000000e+02,3.214670000000e+22
1.623200000000e+02,3.329500000000e+22
1.664300000000e+02,3.446900000000e+22
1.706400000000e+02,3.572790000000e+22
1.749600000000e+02,3.697850000000e+22
1.793900000000e+02,3.856890000000e+22
1.839300000000e+02,3.978340000000e+22
1.885800000000e+02,4.113620000000e+22
1.933500000000e+02,4.266510000000e+22
1.982400000000e+02,4.420830000000e+22
2.032500000000e+02,4.584320000000e+22
2.083900000000e+02,4.764250000000e+22
2.136400000000e+02,4.933640000000e+22
2.190400000000e+02,5.115960000000e+22
2.245400000000e+02,5.316560000000e+22
2.302200000000e+02,5.511770000000e+22
2.359800000000e+02,5.722510000000e+22
2.419000000000e+02,5.973690000000e+22
2.479700000000e+02,6.186120000000e+22
2.541800000000e+02,6.445480000000e+22
2.605400000000e+02,6.697840000000e+22
2.670600000000e+02,6.960440000000e+22
2.737200000000e+02,7.250230000000e+22
2.805500000000e+02,7.559580000000e+22
2.875400000000e+02,7.896930000000e+22
2.947000000000e+02,8.294290000000e+22
3.020200000000e+02,8.716710000000e+22
3.093700000000e+02,8.124750000000e+22
3.172000000000e+02,9.001870000000e+22
3.250400000000e+02,8.728210000000e+22
