# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9c47510e4563b5cf0fc9"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Ne"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:15:40"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_37_38_39/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c37b2d2d080b8cf7acb9a1913505c3c4db2489b96c5d69e95af0e8128600afe8"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.050800000000e+21
1.100000000000e-01,1.050800000000e+21
4.200000000000e-01,1.051100000000e+21
7.400000000000e-01,1.051800000000e+21
1.290000000000e+00,1.053800000000e+21
1.810000000000e+00,1.056600000000e+21
2.530000000000e+00,1.062400000000e+21
3.030000000000e+00,1.067600000000e+21
3.640000000000e+00,1.074800000000e+21
4.180000000000e+00,1.082700000000e+21
4.810000000000e+00,1.093100000000e+21
5.530000000000e+00,1.106600000000e+21
6.350000000000e+00,1.125500000000e+21
6.980000000000e+00,1.141500000000e+21
7.670000000000e+00,1.161200000000e+21
8.040000000000e+00,1.172700000000e+21
8.440000000000e+00,1.185800000000e+21
8.860000000000e+00,1.200100000000e+21
9.290000000000e+00,1.215600000000e+21
9.750000000000e+00,1.233700000000e+21
1.022000000000e+01,1.253500000000e+21
1.072000000000e+01,1.275400000000e+21
1.124000000000e+01,1.299600000000e+21
1.179000000000e+01,1.326400000000e+21
1.236000000000e+01,1.356900000000e+21
1.296000000000e+01,1.390300000000e+21
1.321000000000e+01,1.404700000000e+21
1.346000000000e+01,1.420000000000e+21
1.372000000000e+01,1.435900000000e+21
1.398000000000e+01,1.452500000000e+21
1.425000000000e+01,1.469800000000e+21
1.452000000000e+01,1.488000000000e+21
1.480000000000e+01,1.506900000000e+21
1.508000000000e+01,1.526500000000e+21
