# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6dc17cb3f3228030e1e0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "16O^2+"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Viehland & Mason, At. Data. Nucl. Data Tables 60 (1995) 37."
# source_family: "compiled ko of viehland & mason, at. data. nucl. data tables 60 (1995) 37."
# comment: ""
# updated: "2011-12-13 14:51:15"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_081_66_66/001_mobility.txt"
# source_file_sha256: "4693a2a06ed8e29415c7175e9c667c49660916d23ac878694a19b3b74debc3cd"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e+01,2.206169309663e+22
1.200000000000e+01,2.203517663858e+22
1.500000000000e+01,2.208820955468e+22
2.000000000000e+01,2.240640705127e+22
2.500000000000e+01,2.293673621224e+22
3.000000000000e+01,2.378526286981e+22
3.500000000000e+01,2.463378952737e+22
4.000000000000e+01,2.537625035274e+22
5.000000000000e+01,2.651645804884e+22
6.000000000000e+01,2.709982012591e+22
