# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_ff69e52040a8da318f62"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-02-17 15:46:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "cfd77c49a2f673661e4ea3c903a2d004e749ad59f5d8019dc5392fc07d0a5fe7"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,4.492000000000e+20
1.100000000000e-01,4.492000000000e+20
4.600000000000e-01,4.493000000000e+20
8.000000000000e-01,4.496000000000e+20
1.400000000000e+00,4.505000000000e+20
1.960000000000e+00,4.516000000000e+20
2.740000000000e+00,4.540000000000e+20
3.290000000000e+00,4.564000000000e+20
3.940000000000e+00,4.597000000000e+20
4.530000000000e+00,4.630000000000e+20
5.210000000000e+00,4.675000000000e+20
5.990000000000e+00,4.735000000000e+20
6.880000000000e+00,4.814000000000e+20
7.570000000000e+00,4.882000000000e+20
8.320000000000e+00,4.965000000000e+20
8.730000000000e+00,5.014000000000e+20
9.160000000000e+00,5.069000000000e+20
9.610000000000e+00,5.129000000000e+20
1.009000000000e+01,5.195000000000e+20
1.059000000000e+01,5.268000000000e+20
1.111000000000e+01,5.349000000000e+20
1.165000000000e+01,5.438000000000e+20
1.223000000000e+01,5.537000000000e+20
1.283000000000e+01,5.646000000000e+20
1.346000000000e+01,5.767000000000e+20
1.411000000000e+01,5.900000000000e+20
1.439000000000e+01,5.958000000000e+20
1.467000000000e+01,6.019000000000e+20
1.496000000000e+01,6.082000000000e+20
1.525000000000e+01,6.147000000000e+20
1.647000000000e+01,6.438000000000e+20
1.679000000000e+01,6.518000000000e+20
1.711000000000e+01,6.601000000000e+20
1.744000000000e+01,6.688000000000e+20
1.778000000000e+01,6.778000000000e+20
1.813000000000e+01,6.871000000000e+20
1.848000000000e+01,6.969000000000e+20
1.883000000000e+01,7.070000000000e+20
1.994000000000e+01,7.397000000000e+20
2.033000000000e+01,7.516000000000e+20
2.072000000000e+01,7.640000000000e+20
2.235000000000e+01,8.177000000000e+20
2.278000000000e+01,8.323000000000e+20
2.321000000000e+01,8.476000000000e+20
2.366000000000e+01,8.633000000000e+20
