# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b5950ada7064041eb005"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P1/2)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14055_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9ec7764eef8b534a34efaa9c54711cd465fa8f8cc30129307ad74ff2bf2c6227"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.926000000000e+20
1.000000000000e-01,2.926000000000e+20
3.800000000000e-01,2.927000000000e+20
6.700000000000e-01,2.929000000000e+20
1.170000000000e+00,2.936000000000e+20
1.640000000000e+00,2.946000000000e+20
2.290000000000e+00,2.963000000000e+20
2.750000000000e+00,2.982000000000e+20
3.300000000000e+00,3.007000000000e+20
3.790000000000e+00,3.032000000000e+20
4.360000000000e+00,3.066000000000e+20
5.010000000000e+00,3.112000000000e+20
5.750000000000e+00,3.173000000000e+20
6.310000000000e+00,3.228000000000e+20
6.930000000000e+00,3.293000000000e+20
7.270000000000e+00,3.333000000000e+20
7.630000000000e+00,3.376000000000e+20
8.000000000000e+00,3.425000000000e+20
8.390000000000e+00,3.479000000000e+20
8.800000000000e+00,3.539000000000e+20
9.220000000000e+00,3.604000000000e+20
9.670000000000e+00,3.680000000000e+20
1.013000000000e+01,3.764000000000e+20
1.062000000000e+01,3.857000000000e+20
1.112000000000e+01,3.961000000000e+20
1.165000000000e+01,4.078000000000e+20
1.187000000000e+01,4.129000000000e+20
1.209000000000e+01,4.183000000000e+20
1.232000000000e+01,4.239000000000e+20
1.255000000000e+01,4.298000000000e+20
1.279000000000e+01,4.360000000000e+20
1.303000000000e+01,4.425000000000e+20
1.327000000000e+01,4.493000000000e+20
1.352000000000e+01,4.564000000000e+20
1.377000000000e+01,4.638000000000e+20
1.402000000000e+01,4.716000000000e+20
1.428000000000e+01,4.799000000000e+20
1.454000000000e+01,4.885000000000e+20
1.481000000000e+01,4.975000000000e+20
1.508000000000e+01,5.069000000000e+20
1.535000000000e+01,5.168000000000e+20
1.563000000000e+01,5.271000000000e+20
