# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_fa29dcf6da6083a27723"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f52d9e92f5c57885e264db3a34fa94545ffe261ca1d769cb7af4225ae8c7c166"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.664756269222e+22
1.200000000000e-01,1.664756269222e+22
4.700000000000e-01,1.664782785680e+22
8.300000000000e-01,1.664809302138e+22
1.440000000000e+00,1.664888851512e+22
2.020000000000e+00,1.664994917345e+22
2.830000000000e+00,1.665207049009e+22
3.400000000000e+00,1.665392664215e+22
4.070000000000e+00,1.665657828796e+22
4.680000000000e+00,1.665949509834e+22
5.390000000000e+00,1.666320740247e+22
6.190000000000e+00,1.666798036492e+22
7.120000000000e+00,1.667460947943e+22
7.830000000000e+00,1.667991277104e+22
8.610000000000e+00,1.668654188555e+22
9.040000000000e+00,1.669051935426e+22
9.490000000000e+00,1.669449682297e+22
9.960000000000e+00,1.669926978542e+22
1.045000000000e+01,1.670430791245e+22
1.097000000000e+01,1.670987636864e+22
1.209000000000e+01,1.672233910392e+22
1.269000000000e+01,1.672949854759e+22
1.331000000000e+01,1.673718832043e+22
1.397000000000e+01,1.674540842242e+22
1.466000000000e+01,1.675468918274e+22
1.495000000000e+01,1.675840148687e+22
1.525000000000e+01,1.676237895557e+22
1.555000000000e+01,1.676635642428e+22
1.586000000000e+01,1.677006872841e+22
1.617000000000e+01,1.677431136169e+22
1.649000000000e+01,1.677802366582e+22
1.681000000000e+01,1.678253146369e+22
1.715000000000e+01,1.678677409698e+22
1.748000000000e+01,1.679207738859e+22
1.818000000000e+01,1.680374463013e+22
1.853000000000e+01,1.680931308632e+22
1.890000000000e+01,1.681461637793e+22
1.927000000000e+01,1.682018483412e+22
1.965000000000e+01,1.682601845489e+22
2.003000000000e+01,1.683105658192e+22
2.083000000000e+01,1.684219349430e+22
2.124000000000e+01,1.684908777339e+22
2.251000000000e+01,1.686844478777e+22
