# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_aa61e9de7ee9e38b9b99"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "ad7f7235f86dcb671593c0c3cb684563fabc9c038a3097a38330b3e164cc3118"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.835257094476e+22
1.100000000000e-01,1.835257094476e+22
4.300000000000e-01,1.835310127392e+22
7.500000000000e-01,1.835416193224e+22
1.310000000000e+00,1.835760907179e+22
1.830000000000e+00,1.836238203424e+22
2.570000000000e+00,1.837166279456e+22
3.080000000000e+00,1.837988289655e+22
3.690000000000e+00,1.839208046725e+22
4.240000000000e+00,1.840480836712e+22
4.870000000000e+00,1.842151373569e+22
5.600000000000e+00,1.844325723129e+22
6.430000000000e+00,1.847216017056e+22
7.060000000000e+00,1.849602498281e+22
7.760000000000e+00,1.852519308666e+22
8.140000000000e+00,1.854242878439e+22
8.540000000000e+00,1.856099030503e+22
8.950000000000e+00,1.858220347146e+22
9.390000000000e+00,1.860633344829e+22
9.850000000000e+00,1.862966793137e+22
1.032000000000e+01,1.865591922484e+22
1.082000000000e+01,1.868588282244e+22
1.134000000000e+01,1.871823290125e+22
1.246000000000e+01,1.879221381921e+22
1.305000000000e+01,1.883357949377e+22
1.330000000000e+01,1.885108035608e+22
1.355000000000e+01,1.886937671213e+22
1.381000000000e+01,1.888740790361e+22
1.407000000000e+01,1.890676491798e+22
1.434000000000e+01,1.892691742610e+22
1.461000000000e+01,1.894866092170e+22
1.488000000000e+01,1.896987408814e+22
1.516000000000e+01,1.899188274832e+22
1.545000000000e+01,1.901442173766e+22
1.574000000000e+01,1.903775622074e+22
1.603000000000e+01,1.906056037467e+22
1.633000000000e+01,1.908230387027e+22
1.664000000000e+01,1.910908549289e+22
1.726000000000e+01,1.916158807983e+22
1.758000000000e+01,1.919022585452e+22
1.790000000000e+01,1.921753780631e+22
