# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9147f89b38d80e2d5dcf"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.683503405063e+22
1.300000000000e-01,1.683503405063e+22
5.400000000000e-01,1.683503405063e+22
9.400000000000e-01,1.683529921521e+22
1.650000000000e+00,1.683582954437e+22
2.310000000000e+00,1.683662503811e+22
3.230000000000e+00,1.683821602559e+22
3.880000000000e+00,1.683980701308e+22
4.650000000000e+00,1.684192832972e+22
5.350000000000e+00,1.684404964636e+22
6.150000000000e+00,1.684696645675e+22
7.070000000000e+00,1.685067876088e+22
8.130000000000e+00,1.685545172332e+22
8.940000000000e+00,1.685942919203e+22
9.830000000000e+00,1.686446731906e+22
1.032000000000e+01,1.686711896487e+22
1.084000000000e+01,1.687030093983e+22
1.138000000000e+01,1.687348291480e+22
1.194000000000e+01,1.687719521892e+22
1.254000000000e+01,1.688090752305e+22
1.316000000000e+01,1.688515015634e+22
1.382000000000e+01,1.688965795421e+22
1.450000000000e+01,1.689469608124e+22
1.522000000000e+01,1.689973420827e+22
1.598000000000e+01,1.690477233529e+22
1.850000000000e+01,1.692306869135e+22
1.887000000000e+01,1.692625066631e+22
1.924000000000e+01,1.692890231212e+22
1.963000000000e+01,1.693181912250e+22
2.001000000000e+01,1.693447076831e+22
2.041000000000e+01,1.693738757869e+22
2.082000000000e+01,1.694030438908e+22
2.123000000000e+01,1.694295603489e+22
2.208000000000e+01,1.694825932649e+22
2.252000000000e+01,1.695064580772e+22
2.296000000000e+01,1.695382778269e+22
2.341000000000e+01,1.695700975765e+22
2.388000000000e+01,1.695992656804e+22
2.583000000000e+01,1.697053315126e+22
2.634000000000e+01,1.697265446790e+22
2.686000000000e+01,1.697504094912e+22
2.739000000000e+01,1.697716226577e+22
2.794000000000e+01,1.697901841783e+22
2.849000000000e+01,1.698087456989e+22
2.906000000000e+01,1.698246555738e+22
2.964000000000e+01,1.698379138028e+22
3.022000000000e+01,1.698485203860e+22
3.083000000000e+01,1.698591269692e+22
3.144000000000e+01,1.698644302609e+22
3.207000000000e+01,1.698670819067e+22
3.271000000000e+01,1.698644302609e+22
3.336000000000e+01,1.698591269692e+22
3.403000000000e+01,1.698511720318e+22
3.471000000000e+01,1.698352621570e+22
3.540000000000e+01,1.698167006364e+22
3.612000000000e+01,1.697928358241e+22
3.684000000000e+01,1.697636677203e+22
3.759000000000e+01,1.697265446790e+22
3.834000000000e+01,1.696841183461e+22
3.912000000000e+01,1.696310854300e+22
3.992000000000e+01,1.695727492223e+22
4.073000000000e+01,1.695064580772e+22
4.156000000000e+01,1.694295603489e+22
4.241000000000e+01,1.693473593289e+22
4.328000000000e+01,1.692519000799e+22
4.417000000000e+01,1.691484858935e+22
4.509000000000e+01,1.690265101865e+22
4.698000000000e+01,1.687693005434e+22
4.796000000000e+01,1.686048985035e+22
4.897000000000e+01,1.684564063385e+22
5.001000000000e+01,1.682787460695e+22
5.107000000000e+01,1.680878275716e+22
5.216000000000e+01,1.678836508446e+22
5.327000000000e+01,1.676635642428e+22
5.442000000000e+01,1.674381743494e+22
5.560000000000e+01,1.671942229353e+22
5.681000000000e+01,1.669078451884e+22
5.806000000000e+01,1.666241190873e+22
5.934000000000e+01,1.663112248823e+22
6.065000000000e+01,1.659850724483e+22
6.201000000000e+01,1.656271002646e+22
6.340000000000e+01,1.652664764352e+22
6.484000000000e+01,1.648819877935e+22
6.632000000000e+01,1.644762859853e+22
6.784000000000e+01,1.640467193649e+22
6.941000000000e+01,1.635959395781e+22
7.102000000000e+01,1.631212949790e+22
7.269000000000e+01,1.626227855677e+22
7.440000000000e+01,1.621030629900e+22
7.617000000000e+01,1.615276558503e+22
7.799000000000e+01,1.609602036481e+22
7.987000000000e+01,1.603609316961e+22
8.181000000000e+01,1.597510531610e+22
8.381000000000e+01,1.591067032304e+22
9.020000000000e+01,1.570357678568e+22
9.247000000000e+01,1.562959586773e+22
9.722000000000e+01,1.548216436097e+22
9.971000000000e+01,1.540288015141e+22
1.022800000000e+02,1.532147462520e+22
1.049400000000e+02,1.523874327609e+22
1.076700000000e+02,1.515362544575e+22
1.105000000000e+02,1.506665146335e+22
1.134100000000e+02,1.497808649347e+22
1.164200000000e+02,1.488793053610e+22
1.195200000000e+02,1.479618359125e+22
1.227200000000e+02,1.470284565892e+22
1.260200000000e+02,1.460844706827e+22
1.294300000000e+02,1.451245749013e+22
1.329400000000e+02,1.441487692451e+22
1.365700000000e+02,1.431729635889e+22
1.403000000000e+02,1.421812480579e+22
1.441500000000e+02,1.411868808810e+22
1.481300000000e+02,1.401792554752e+22
1.522200000000e+02,1.391636751319e+22
1.564400000000e+02,1.381401398512e+22
1.607900000000e+02,1.371059979873e+22
1.652700000000e+02,1.360904176440e+22
1.698900000000e+02,1.350589274259e+22
1.746400000000e+02,1.340247855620e+22
1.795400000000e+02,1.329906436981e+22
1.845900000000e+02,1.319591534800e+22
1.897800000000e+02,1.309250116161e+22
1.951300000000e+02,1.298961730438e+22
2.006400000000e+02,1.288673344715e+22
2.063000000000e+02,1.278411475451e+22
2.121400000000e+02,1.268149606186e+22
2.181400000000e+02,1.258073352127e+22
2.243100000000e+02,1.248288779107e+22
2.306600000000e+02,1.237549613597e+22
2.371900000000e+02,1.228003688700e+22
2.439100000000e+02,1.217900918183e+22
2.508200000000e+02,1.208063312247e+22
2.579100000000e+02,1.198252222769e+22
2.652100000000e+02,1.188759330787e+22
2.727200000000e+02,1.179239922348e+22
2.804300000000e+02,1.169455349328e+22
2.883300000000e+02,1.160121556095e+22
