# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4b338f5df8f98d9c479b"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "95e58bc8492aab3e7a0a3dd43fe49781ea670a0e38198a9acbeef7e3c4cd4cb0"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.619890422203e+22
1.000000000000e-01,1.619890422203e+22
4.000000000000e-01,1.619890422203e+22
6.900000000000e-01,1.619916938662e+22
1.210000000000e+00,1.619996488036e+22
1.700000000000e+00,1.620102553868e+22
2.370000000000e+00,1.620314685532e+22
2.850000000000e+00,1.620500300739e+22
3.420000000000e+00,1.620791981777e+22
3.930000000000e+00,1.621057146358e+22
4.520000000000e+00,1.621428376770e+22
5.200000000000e+00,1.621932189473e+22
5.970000000000e+00,1.622568584466e+22
6.570000000000e+00,1.623125430085e+22
7.220000000000e+00,1.623788341537e+22
7.580000000000e+00,1.624186088407e+22
7.960000000000e+00,1.624583835278e+22
8.350000000000e+00,1.625061131523e+22
8.770000000000e+00,1.625564944226e+22
9.200000000000e+00,1.626121789845e+22
9.660000000000e+00,1.626758184838e+22
1.014000000000e+01,1.627421096289e+22
1.064000000000e+01,1.628190073573e+22
1.117000000000e+01,1.628985567314e+22
1.172000000000e+01,1.629887126888e+22
1.230000000000e+01,1.630868235836e+22
1.254000000000e+01,1.631292499164e+22
1.279000000000e+01,1.631743278951e+22
1.304000000000e+01,1.632194058738e+22
1.330000000000e+01,1.632671354983e+22
1.356000000000e+01,1.633148651228e+22
1.383000000000e+01,1.633652463931e+22
1.410000000000e+01,1.634156276634e+22
1.438000000000e+01,1.634686605795e+22
1.466000000000e+01,1.635243451414e+22
1.495000000000e+01,1.635826813491e+22
1.524000000000e+01,1.636410175568e+22
1.554000000000e+01,1.637020054103e+22
1.585000000000e+01,1.637629932638e+22
1.616000000000e+01,1.638266327631e+22
1.647000000000e+01,1.638929239083e+22
1.680000000000e+01,1.639618666992e+22
1.780000000000e+01,1.641793016552e+22
