# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1a78b54036ebef870b4d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-05 15:11:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6df68edce0a6e6620028960a0ff99df24c710cc9185ed2e59f81fffe3f838b7e"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,1.782966639204e+22
1.400000000000e-01,1.782966639204e+22
5.700000000000e-01,1.782966639204e+22
9.900000000000e-01,1.782993155662e+22
1.740000000000e+00,1.783072705036e+22
2.440000000000e+00,1.783178770868e+22
3.410000000000e+00,1.783390902533e+22
4.090000000000e+00,1.783576517739e+22
4.910000000000e+00,1.783815165861e+22
5.650000000000e+00,1.784106846900e+22
6.490000000000e+00,1.784451560855e+22
7.470000000000e+00,1.784902340641e+22
8.580000000000e+00,1.785485702718e+22
9.440000000000e+00,1.785989515421e+22
1.038000000000e+01,1.786572877498e+22
1.090000000000e+01,1.786891074995e+22
1.144000000000e+01,1.787262305408e+22
1.201000000000e+01,1.787633535820e+22
1.260000000000e+01,1.788031282691e+22
1.323000000000e+01,1.788482062478e+22
1.389000000000e+01,1.788932842265e+22
1.458000000000e+01,1.789383622052e+22
1.530000000000e+01,1.789913951213e+22
1.606000000000e+01,1.790364730999e+22
1.770000000000e+01,1.791504938696e+22
1.915000000000e+01,1.792539080559e+22
1.953000000000e+01,1.792777728682e+22
1.991000000000e+01,1.793016376804e+22
2.031000000000e+01,1.793255024927e+22
2.071000000000e+01,1.793493673049e+22
2.112000000000e+01,1.793705804714e+22
2.241000000000e+01,1.794236133875e+22
2.521000000000e+01,1.795376341571e+22
2.572000000000e+01,1.795482407403e+22
2.623000000000e+01,1.795561956777e+22
2.675000000000e+01,1.795641506151e+22
2.728000000000e+01,1.795694539067e+22
2.783000000000e+01,1.795694539067e+22
2.838000000000e+01,1.795694539067e+22
2.895000000000e+01,1.795641506151e+22
2.953000000000e+01,1.795561956777e+22
3.012000000000e+01,1.795455890945e+22
3.072000000000e+01,1.795270275738e+22
3.134000000000e+01,1.795084660532e+22
3.197000000000e+01,1.794819495952e+22
3.261000000000e+01,1.794501298455e+22
3.327000000000e+01,1.794130068042e+22
3.394000000000e+01,1.793705804714e+22
3.463000000000e+01,1.793228508469e+22
3.533000000000e+01,1.792671662850e+22
3.605000000000e+01,1.792008751398e+22
3.679000000000e+01,1.791319323489e+22
3.754000000000e+01,1.790523829748e+22
3.831000000000e+01,1.789648786632e+22
3.909000000000e+01,1.788667677684e+22
3.990000000000e+01,1.787580502904e+22
4.072000000000e+01,1.786413778750e+22
4.157000000000e+01,1.785140988764e+22
4.243000000000e+01,1.783735616487e+22
4.332000000000e+01,1.782277211295e+22
4.422000000000e+01,1.780633190896e+22
4.515000000000e+01,1.778724005916e+22
4.611000000000e+01,1.776894370311e+22
4.809000000000e+01,1.772651737023e+22
4.912000000000e+01,1.770265255798e+22
5.018000000000e+01,1.767852258116e+22
5.127000000000e+01,1.765068030021e+22
5.238000000000e+01,1.762336834842e+22
5.353000000000e+01,1.759393507998e+22
5.592000000000e+01,1.752658327654e+22
5.716000000000e+01,1.749184671650e+22
5.844000000000e+01,1.745419334607e+22
5.976000000000e+01,1.741600964648e+22
6.112000000000e+01,1.737225749070e+22
6.251000000000e+01,1.732850533492e+22
6.395000000000e+01,1.728210153333e+22
6.543000000000e+01,1.723357641510e+22
6.695000000000e+01,1.718292998023e+22
6.852000000000e+01,1.712963189955e+22
7.014000000000e+01,1.707315184390e+22
7.181000000000e+01,1.701640662368e+22
7.352000000000e+01,1.695647942849e+22
7.529000000000e+01,1.689416575208e+22
7.712000000000e+01,1.682973075902e+22
8.093000000000e+01,1.669184517716e+22
8.295000000000e+01,1.661892491753e+22
8.501000000000e+01,1.654520916415e+22
8.934000000000e+01,1.638876206166e+22
9.636000000000e+01,1.614348482471e+22
1.014200000000e+02,1.596847620159e+22
1.040700000000e+02,1.587805507964e+22
1.068000000000e+02,1.578498231189e+22
1.096200000000e+02,1.569217470872e+22
1.125300000000e+02,1.559671545975e+22
1.155300000000e+02,1.549993038787e+22
1.186300000000e+02,1.540102399935e+22
1.218200000000e+02,1.530185244624e+22
1.251200000000e+02,1.520082474108e+22
1.285100000000e+02,1.509847121301e+22
1.320200000000e+02,1.499558735578e+22
1.356300000000e+02,1.489111251107e+22
1.393600000000e+02,1.478637250177e+22
1.431900000000e+02,1.468057183416e+22
1.471500000000e+02,1.457397567280e+22
1.512300000000e+02,1.446737951145e+22
1.554400000000e+02,1.435945752719e+22
1.597700000000e+02,1.425180070751e+22
1.642300000000e+02,1.414361355867e+22
1.688300000000e+02,1.403542640983e+22
1.735700000000e+02,1.392670893183e+22
1.784500000000e+02,1.381825661841e+22
1.834800000000e+02,1.370980430499e+22
1.886500000000e+02,1.360161715615e+22
1.939800000000e+02,1.349369517189e+22
1.994700000000e+02,1.338577318763e+22
2.051100000000e+02,1.327838153254e+22
2.109200000000e+02,1.317098987744e+22
2.230500000000e+02,1.296124469427e+22
2.293800000000e+02,1.285597435582e+22
2.358900000000e+02,1.274990852362e+22
2.425900000000e+02,1.264437302059e+22
2.494700000000e+02,1.254201949252e+22
2.565500000000e+02,1.243993112903e+22
2.638300000000e+02,1.233890342387e+22
2.713100000000e+02,1.223761055412e+22
2.790000000000e+02,1.213817383644e+22
2.869100000000e+02,1.203926744791e+22
2.950300000000e+02,1.194168688229e+22
3.119800000000e+02,1.174573025731e+22
3.207500000000e+02,1.165636979369e+22
3.297800000000e+02,1.156144087387e+22
3.390600000000e+02,1.146916359986e+22
3.892800000000e+02,1.102474776297e+22
4.001700000000e+02,1.093909960347e+22
4.112800000000e+02,1.084973913984e+22
4.344400000000e+02,1.068719325200e+22
4.587400000000e+02,1.052782933913e+22
8.220000000000e+02,9.095145110751e+21
1.711150000000e+03,7.651589134573e+21
1.798250000000e+03,7.550031100245e+21
2.360980000000e+03,7.233159426562e+21
3.014560000000e+03,6.887649978186e+21
