# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9e5d0b7bdf731ff5b0a2"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-05 15:11:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6df68edce0a6e6620028960a0ff99df24c710cc9185ed2e59f81fffe3f838b7e"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.756131983658e+22
1.300000000000e-01,1.756131983658e+22
5.200000000000e-01,1.756158500116e+22
9.000000000000e-01,1.756185016574e+22
1.580000000000e+00,1.756317598865e+22
2.210000000000e+00,1.756476697613e+22
3.100000000000e+00,1.756821411568e+22
3.720000000000e+00,1.757113092606e+22
4.460000000000e+00,1.757537355935e+22
5.130000000000e+00,1.757961619264e+22
5.890000000000e+00,1.758544981341e+22
6.770000000000e+00,1.759313958624e+22
7.790000000000e+00,1.760295067572e+22
8.560000000000e+00,1.761143594230e+22
9.410000000000e+00,1.762124703177e+22
9.880000000000e+00,1.762708065255e+22
1.037000000000e+01,1.763344460248e+22
1.088000000000e+01,1.764033888157e+22
1.142000000000e+01,1.764776348982e+22
1.199000000000e+01,1.765571842724e+22
1.258000000000e+01,1.766446885839e+22
1.320000000000e+01,1.767401478329e+22
1.386000000000e+01,1.768409103735e+22
1.454000000000e+01,1.769496278515e+22
1.526000000000e+01,1.770636486211e+22
1.697000000000e+01,1.773394197848e+22
1.731000000000e+01,1.774004076383e+22
1.765000000000e+01,1.774640471376e+22
1.799000000000e+01,1.775276866370e+22
1.834000000000e+01,1.775860228447e+22
1.870000000000e+01,1.776496623440e+22
1.907000000000e+01,1.777106501975e+22
1.945000000000e+01,1.777742896968e+22
1.983000000000e+01,1.778405808419e+22
2.022000000000e+01,1.779042203413e+22
2.061000000000e+01,1.779705114864e+22
2.102000000000e+01,1.780394542773e+22
2.143000000000e+01,1.781083970682e+22
2.185000000000e+01,1.781746882134e+22
2.361000000000e+01,1.784531110229e+22
2.407000000000e+01,1.785220538138e+22
2.454000000000e+01,1.785909966047e+22
2.502000000000e+01,1.786599393957e+22
2.551000000000e+01,1.787288821866e+22
2.601000000000e+01,1.787951733317e+22
2.652000000000e+01,1.788614644768e+22
2.703000000000e+01,1.789251039761e+22
2.756000000000e+01,1.789887434755e+22
2.810000000000e+01,1.790497313290e+22
2.865000000000e+01,1.791080675367e+22
2.922000000000e+01,1.791637520986e+22
2.979000000000e+01,1.792167850147e+22
3.037000000000e+01,1.792671662850e+22
3.097000000000e+01,1.793122442637e+22
3.158000000000e+01,1.793546705965e+22
3.220000000000e+01,1.793917936378e+22
3.284000000000e+01,1.794236133875e+22
3.349000000000e+01,1.794527814913e+22
3.415000000000e+01,1.794739946578e+22
3.483000000000e+01,1.794872528868e+22
3.552000000000e+01,1.794952078242e+22
3.623000000000e+01,1.794952078242e+22
3.695000000000e+01,1.794846012410e+22
3.769000000000e+01,1.794686913661e+22
3.845000000000e+01,1.794421749081e+22
3.923000000000e+01,1.794077035126e+22
4.002000000000e+01,1.793599738881e+22
4.083000000000e+01,1.793016376804e+22
4.252000000000e+01,1.791504938696e+22
4.428000000000e+01,1.789489687884e+22
4.520000000000e+01,1.788269930814e+22
4.711000000000e+01,1.785379636886e+22
4.810000000000e+01,1.783735616487e+22
4.912000000000e+01,1.781959013798e+22
5.124000000000e+01,1.777451215930e+22
5.234000000000e+01,1.775223833454e+22
5.348000000000e+01,1.772625220565e+22
5.464000000000e+01,1.769787959554e+22
5.584000000000e+01,1.766738566878e+22
5.708000000000e+01,1.763424009622e+22
5.835000000000e+01,1.759897320701e+22
5.966000000000e+01,1.755972884910e+22
6.101000000000e+01,1.752101482035e+22
6.239000000000e+01,1.747911881663e+22
6.382000000000e+01,1.743430600253e+22
6.530000000000e+01,1.738710670720e+22
6.682000000000e+01,1.733725576607e+22
6.838000000000e+01,1.728475317913e+22
7.000000000000e+01,1.722959894639e+22
7.167000000000e+01,1.716728526998e+22
7.339000000000e+01,1.710709291021e+22
7.516000000000e+01,1.704371857547e+22
7.699000000000e+01,1.698405654486e+22
8.082000000000e+01,1.683874635475e+22
8.283000000000e+01,1.676264412015e+22
8.491000000000e+01,1.668839803762e+22
8.705000000000e+01,1.661017448637e+22
8.926000000000e+01,1.652876896016e+22
9.154000000000e+01,1.644577244647e+22
9.390000000000e+01,1.635932879323e+22
9.633000000000e+01,1.627235481083e+22
9.884000000000e+01,1.618219885346e+22
1.014300000000e+02,1.608992157945e+22
1.041000000000e+02,1.599578815338e+22
1.068600000000e+02,1.589953341066e+22
1.097100000000e+02,1.580168768046e+22
1.126500000000e+02,1.570225096278e+22
1.156800000000e+02,1.560069292845e+22
1.188100000000e+02,1.549833940038e+22
1.220400000000e+02,1.539439488483e+22
1.253700000000e+02,1.528912454638e+22
1.288100000000e+02,1.518332387876e+22
1.360000000000e+02,1.496668441651e+22
1.397700000000e+02,1.485770177392e+22
1.436600000000e+02,1.474765847302e+22
1.476600000000e+02,1.463708484296e+22
1.517900000000e+02,1.452598088373e+22
1.560500000000e+02,1.441487692451e+22
1.604300000000e+02,1.430297747154e+22
1.649500000000e+02,1.419107801858e+22
1.696100000000e+02,1.407917856561e+22
1.744000000000e+02,1.396727911264e+22
1.793400000000e+02,1.385564482426e+22
1.844300000000e+02,1.374348020671e+22
1.896700000000e+02,1.363502789329e+22
1.950600000000e+02,1.352233294659e+22
2.006100000000e+02,1.341626711439e+22
2.063300000000e+02,1.330065535730e+22
2.122100000000e+02,1.319061205639e+22
2.182600000000e+02,1.308534171794e+22
2.244900000000e+02,1.297317710039e+22
2.308900000000e+02,1.286631577446e+22
2.374800000000e+02,1.275945444852e+22
2.442600000000e+02,1.265312345174e+22
2.512200000000e+02,1.254811827787e+22
2.583900000000e+02,1.244417376232e+22
2.657500000000e+02,1.233969891761e+22
2.811300000000e+02,1.214162097598e+22
2.890700000000e+02,1.203741129585e+22
2.973000000000e+02,1.193877007191e+22
3.057400000000e+02,1.184039401255e+22
3.144100000000e+02,1.174546509273e+22
3.233100000000e+02,1.164814969169e+22
3.324000000000e+02,1.155295560730e+22
3.616800000000e+02,1.127241148114e+22
7.102700000000e+02,9.357392880854e+21
1.643270000000e+03,7.726630710851e+21
1.954450000000e+03,7.523249477616e+21
2.561420000000e+03,7.115161188245e+21
2.968170000000e+03,6.880225369932e+21
3.275310000000e+03,6.731202875697e+21
