# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b4b62a3a4ad10a97ba27"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-05 15:11:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6df68edce0a6e6620028960a0ff99df24c710cc9185ed2e59f81fffe3f838b7e"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.707818997093e+22
1.100000000000e-01,1.707818997093e+22
4.600000000000e-01,1.707845513551e+22
8.000000000000e-01,1.707898546468e+22
1.410000000000e+00,1.708031128758e+22
1.970000000000e+00,1.708243260422e+22
2.760000000000e+00,1.708667523751e+22
3.310000000000e+00,1.709038754164e+22
3.970000000000e+00,1.709595599783e+22
4.560000000000e+00,1.710152445402e+22
5.250000000000e+00,1.710921422685e+22
6.030000000000e+00,1.711902531633e+22
6.930000000000e+00,1.713175321619e+22
7.620000000000e+00,1.714289012857e+22
8.370000000000e+00,1.715588319302e+22
8.790000000000e+00,1.716357296585e+22
9.220000000000e+00,1.717205823243e+22
9.680000000000e+00,1.718133899274e+22
1.016000000000e+01,1.719141524680e+22
1.066000000000e+01,1.720228699460e+22
1.118000000000e+01,1.721448456531e+22
1.173000000000e+01,1.722747762975e+22
1.231000000000e+01,1.724179651710e+22
1.291000000000e+01,1.725717606276e+22
1.355000000000e+01,1.727388143133e+22
1.421000000000e+01,1.729217778739e+22
1.449000000000e+01,1.729986756022e+22
1.477000000000e+01,1.730808766222e+22
1.535000000000e+01,1.732373237247e+22
1.658000000000e+01,1.736032508457e+22
1.690000000000e+01,1.737066650321e+22
1.723000000000e+01,1.738047759269e+22
1.756000000000e+01,1.739134934049e+22
1.790000000000e+01,1.740222108829e+22
1.825000000000e+01,1.741335800067e+22
1.860000000000e+01,1.742449491305e+22
1.896000000000e+01,1.743616215459e+22
1.933000000000e+01,1.744676873781e+22
1.970000000000e+01,1.746002696684e+22
2.008000000000e+01,1.747248970212e+22
2.046000000000e+01,1.748521760198e+22
2.126000000000e+01,1.750881724965e+22
2.208000000000e+01,1.753745502434e+22
2.250000000000e+01,1.755177391169e+22
