# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7c98b4ee016c62da4c7a"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "f306282552e7ef94ab555e8386071f54630f4f59cad2cad8175c2748bcc6ea20"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.908000000000e+20
1.000000000000e-01,2.908000000000e+20
3.900000000000e-01,2.909000000000e+20
6.700000000000e-01,2.911000000000e+20
1.180000000000e+00,2.918000000000e+20
1.650000000000e+00,2.928000000000e+20
2.310000000000e+00,2.945000000000e+20
2.770000000000e+00,2.964000000000e+20
3.320000000000e+00,2.988000000000e+20
3.820000000000e+00,3.013000000000e+20
4.380000000000e+00,3.048000000000e+20
5.040000000000e+00,3.093000000000e+20
5.780000000000e+00,3.149000000000e+20
6.350000000000e+00,3.207000000000e+20
6.980000000000e+00,3.272000000000e+20
7.320000000000e+00,3.312000000000e+20
7.680000000000e+00,3.355000000000e+20
8.050000000000e+00,3.403000000000e+20
8.440000000000e+00,3.456000000000e+20
8.850000000000e+00,3.516000000000e+20
9.280000000000e+00,3.582000000000e+20
9.730000000000e+00,3.656000000000e+20
1.019000000000e+01,3.739000000000e+20
1.068000000000e+01,3.832000000000e+20
1.119000000000e+01,3.935000000000e+20
1.172000000000e+01,4.051000000000e+20
1.194000000000e+01,4.102000000000e+20
1.217000000000e+01,4.155000000000e+20
1.240000000000e+01,4.211000000000e+20
1.263000000000e+01,4.269000000000e+20
1.287000000000e+01,4.331000000000e+20
1.311000000000e+01,4.395000000000e+20
1.335000000000e+01,4.463000000000e+20
1.360000000000e+01,4.533000000000e+20
1.385000000000e+01,4.607000000000e+20
1.411000000000e+01,4.685000000000e+20
1.437000000000e+01,4.766000000000e+20
1.464000000000e+01,4.852000000000e+20
1.490000000000e+01,4.941000000000e+20
1.518000000000e+01,5.035000000000e+20
1.545000000000e+01,5.133000000000e+20
1.573000000000e+01,5.236000000000e+20
1.602000000000e+01,5.344000000000e+20
1.631000000000e+01,5.458000000000e+20
1.660000000000e+01,5.576000000000e+20
1.690000000000e+01,5.700000000000e+20
1.720000000000e+01,5.831000000000e+20
1.751000000000e+01,5.967000000000e+20
1.781000000000e+01,6.110000000000e+20
1.813000000000e+01,6.264000000000e+20
1.845000000000e+01,6.420000000000e+20
1.878000000000e+01,6.582000000000e+20
