# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7c92ab6b556e147fed5a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-02-10 16:41:19"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "0a21f9550f83c5e6fd8e0267af6fcf7b3885ef6723cc134b697117d4d45adf1f"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.522813669287e+22
7.000000000000e-02,1.522813669287e+22
3.000000000000e-01,1.522840185745e+22
5.200000000000e-01,1.522866702203e+22
9.100000000000e-01,1.522946251577e+22
1.280000000000e+00,1.523078833867e+22
1.790000000000e+00,1.523343998448e+22
2.140000000000e+00,1.523556130112e+22
2.570000000000e+00,1.523847811151e+22
2.960000000000e+00,1.524192525105e+22
3.400000000000e+00,1.524643304892e+22
3.910000000000e+00,1.525226666969e+22
4.490000000000e+00,1.525995644253e+22
4.940000000000e+00,1.526685072162e+22
5.430000000000e+00,1.527480565903e+22
5.700000000000e+00,1.527984378606e+22
5.980000000000e+00,1.528514707767e+22
6.280000000000e+00,1.529098069844e+22
6.590000000000e+00,1.529760981295e+22
6.920000000000e+00,1.530476925663e+22
7.260000000000e+00,1.531272419404e+22
7.620000000000e+00,1.532147462520e+22
7.990000000000e+00,1.533102055010e+22
8.390000000000e+00,1.534189229790e+22
8.800000000000e+00,1.535382470402e+22
9.230000000000e+00,1.536681776846e+22
9.410000000000e+00,1.537265138923e+22
9.600000000000e+00,1.537848501000e+22
9.790000000000e+00,1.538458379535e+22
9.980000000000e+00,1.539121290987e+22
1.017000000000e+01,1.539784202438e+22
1.037000000000e+01,1.540500146805e+22
1.058000000000e+01,1.541216091173e+22
1.078000000000e+01,1.541985068456e+22
1.099000000000e+01,1.542754045739e+22
1.121000000000e+01,1.543602572397e+22
1.142000000000e+01,1.544451099055e+22
1.234000000000e+01,1.548189919639e+22
1.258000000000e+01,1.549224061503e+22
1.282000000000e+01,1.550337752741e+22
1.307000000000e+01,1.551451443979e+22
1.332000000000e+01,1.552671201050e+22
1.357000000000e+01,1.553890958120e+22
1.383000000000e+01,1.555163748106e+22
