# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d2816010958e8ed07f9b"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-02-10 16:41:19"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "0a21f9550f83c5e6fd8e0267af6fcf7b3885ef6723cc134b697117d4d45adf1f"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.751173406003e+22
1.300000000000e-01,1.751173406003e+22
5.200000000000e-01,1.751173406003e+22
9.100000000000e-01,1.751226438919e+22
1.590000000000e+00,1.751332504752e+22
2.220000000000e+00,1.751491603500e+22
3.110000000000e+00,1.751836317454e+22
3.730000000000e+00,1.752127998493e+22
4.470000000000e+00,1.752552261822e+22
5.140000000000e+00,1.752976525151e+22
5.910000000000e+00,1.753559887228e+22
6.790000000000e+00,1.754328864511e+22
7.810000000000e+00,1.755309973459e+22
8.590000000000e+00,1.756131983658e+22
9.440000000000e+00,1.757113092606e+22
9.910000000000e+00,1.757696454683e+22
1.092000000000e+01,1.758995761128e+22
1.146000000000e+01,1.759738221953e+22
1.202000000000e+01,1.760533715695e+22
1.262000000000e+01,1.761408758810e+22
1.324000000000e+01,1.762336834842e+22
1.458000000000e+01,1.764431635028e+22
1.702000000000e+01,1.768329554361e+22
1.736000000000e+01,1.768939432896e+22
1.804000000000e+01,1.770185706424e+22
1.876000000000e+01,1.771405463495e+22
1.913000000000e+01,1.772041858488e+22
1.988000000000e+01,1.773314648474e+22
2.027000000000e+01,1.773977559925e+22
2.067000000000e+01,1.774640471376e+22
2.108000000000e+01,1.775303382828e+22
2.149000000000e+01,1.775992810737e+22
2.191000000000e+01,1.776682238646e+22
2.367000000000e+01,1.779466466741e+22
2.414000000000e+01,1.780155894651e+22
2.461000000000e+01,1.780845322560e+22
2.509000000000e+01,1.781534750469e+22
2.558000000000e+01,1.782224178378e+22
2.608000000000e+01,1.782913606288e+22
2.659000000000e+01,1.783576517739e+22
2.711000000000e+01,1.784212912732e+22
2.764000000000e+01,1.784849307725e+22
2.818000000000e+01,1.785459186260e+22
2.874000000000e+01,1.786069064796e+22
2.987000000000e+01,1.787182756034e+22
3.046000000000e+01,1.787686568737e+22
3.106000000000e+01,1.788163864981e+22
3.167000000000e+01,1.788588128310e+22
3.293000000000e+01,1.789304072677e+22
3.358000000000e+01,1.789595753716e+22
3.425000000000e+01,1.789807885380e+22
3.493000000000e+01,1.789966984129e+22
3.562000000000e+01,1.790046533503e+22
3.633000000000e+01,1.790073049961e+22
3.706000000000e+01,1.789993500587e+22
4.013000000000e+01,1.788959358723e+22
4.178000000000e+01,1.787607019362e+22
4.351000000000e+01,1.785856933131e+22
4.532000000000e+01,1.783629550655e+22
4.823000000000e+01,1.779174785703e+22
4.925000000000e+01,1.777398183014e+22
5.137000000000e+01,1.772996450977e+22
5.248000000000e+01,1.770716035585e+22
5.361000000000e+01,1.768143939155e+22
5.478000000000e+01,1.765386227517e+22
5.599000000000e+01,1.762310318384e+22
5.722000000000e+01,1.759048794044e+22
5.981000000000e+01,1.751809800996e+22
6.116000000000e+01,1.747885365205e+22
6.255000000000e+01,1.743669248375e+22
6.398000000000e+01,1.739240999881e+22
6.546000000000e+01,1.734547586807e+22
6.698000000000e+01,1.729589009152e+22
6.855000000000e+01,1.724365266916e+22
7.184000000000e+01,1.712724541832e+22
7.534000000000e+01,1.699970125511e+22
7.906000000000e+01,1.687003577525e+22
8.101000000000e+01,1.679738068020e+22
8.303000000000e+01,1.672605140805e+22
8.725000000000e+01,1.657172562220e+22
8.947000000000e+01,1.649085042515e+22
9.175000000000e+01,1.640414160733e+22
9.655000000000e+01,1.623443627582e+22
1.016600000000e+02,1.605253337361e+22
1.043400000000e+02,1.595893027669e+22
1.099600000000e+02,1.576456463919e+22
1.159400000000e+02,1.556489571009e+22
1.190800000000e+02,1.546254218202e+22
1.223100000000e+02,1.535859766647e+22
1.256500000000e+02,1.525332732801e+22
1.290900000000e+02,1.514699633124e+22
1.326400000000e+02,1.503960467614e+22
1.363100000000e+02,1.493141752730e+22
1.400800000000e+02,1.482216972014e+22
1.439800000000e+02,1.471239158382e+22
1.479900000000e+02,1.460208311833e+22
1.521300000000e+02,1.449124432369e+22
1.563900000000e+02,1.438040552905e+22
1.607900000000e+02,1.426877124066e+22
1.653200000000e+02,1.415713695227e+22
1.699900000000e+02,1.404470717015e+22
1.797400000000e+02,1.382143859338e+22
