# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9d687fbb02004ea7dc74"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14081_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "0f709e9fae556572f8ed3aca2e099e23a640fb86a08b77b9f12ce7189848569c"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.673745348501e+22
1.400000000000e-01,1.673745348501e+22
5.400000000000e-01,1.673745348501e+22
9.500000000000e-01,1.673771864959e+22
1.660000000000e+00,1.673824897875e+22
2.320000000000e+00,1.673904447249e+22
3.250000000000e+00,1.674063545997e+22
3.900000000000e+00,1.674222644746e+22
4.680000000000e+00,1.674434776410e+22
5.380000000000e+00,1.674646908074e+22
6.190000000000e+00,1.674912072655e+22
7.110000000000e+00,1.675283303067e+22
8.180000000000e+00,1.675760599312e+22
8.990000000000e+00,1.676158346183e+22
9.890000000000e+00,1.676662158886e+22
1.038000000000e+01,1.676927323467e+22
1.090000000000e+01,1.677219004505e+22
1.144000000000e+01,1.677563718460e+22
1.201000000000e+01,1.677908432414e+22
1.261000000000e+01,1.678306179285e+22
1.324000000000e+01,1.678703926156e+22
1.390000000000e+01,1.679154705943e+22
1.459000000000e+01,1.679632002188e+22
1.531000000000e+01,1.680135814890e+22
1.607000000000e+01,1.680666144051e+22
1.861000000000e+01,1.682522296115e+22
1.898000000000e+01,1.682787460695e+22
1.936000000000e+01,1.683079141734e+22
1.974000000000e+01,1.683344306314e+22
2.013000000000e+01,1.683609470895e+22
2.053000000000e+01,1.683901151933e+22
2.094000000000e+01,1.684192832972e+22
2.309000000000e+01,1.685598205248e+22
2.355000000000e+01,1.685863369829e+22
2.598000000000e+01,1.687242225648e+22
2.649000000000e+01,1.687507390228e+22
2.702000000000e+01,1.687746038350e+22
2.755000000000e+01,1.687931653557e+22
2.810000000000e+01,1.688143785221e+22
2.866000000000e+01,1.688329400428e+22
2.923000000000e+01,1.688515015634e+22
2.981000000000e+01,1.688647597924e+22
3.040000000000e+01,1.688780180214e+22
3.101000000000e+01,1.688886246047e+22
3.162000000000e+01,1.688965795421e+22
3.225000000000e+01,1.688992311879e+22
3.290000000000e+01,1.689018828337e+22
3.355000000000e+01,1.688965795421e+22
3.422000000000e+01,1.688886246047e+22
3.491000000000e+01,1.688780180214e+22
3.561000000000e+01,1.688621081466e+22
3.632000000000e+01,1.688408949802e+22
3.705000000000e+01,1.688117268763e+22
3.780000000000e+01,1.687772554808e+22
3.856000000000e+01,1.687374807938e+22
3.934000000000e+01,1.686897511693e+22
4.014000000000e+01,1.686340666074e+22
4.179000000000e+01,1.684988326713e+22
4.265000000000e+01,1.684192832972e+22
4.534000000000e+01,1.681222989670e+22
4.724000000000e+01,1.678624376782e+22
4.823000000000e+01,1.677006872841e+22
4.924000000000e+01,1.675601500564e+22
5.028000000000e+01,1.673851414333e+22
5.135000000000e+01,1.672021778727e+22
5.356000000000e+01,1.668017793562e+22
5.471000000000e+01,1.665631312338e+22
5.590000000000e+01,1.663191798197e+22
5.711000000000e+01,1.660460603018e+22
5.837000000000e+01,1.657623342007e+22
5.965000000000e+01,1.654600465789e+22
6.097000000000e+01,1.651338941449e+22
6.233000000000e+01,1.647944834819e+22
6.373000000000e+01,1.644365112983e+22
6.518000000000e+01,1.640520226565e+22
6.666000000000e+01,1.636516241400e+22
6.819000000000e+01,1.632273608112e+22
6.976000000000e+01,1.627818843160e+22
7.138000000000e+01,1.623125430085e+22
7.305000000000e+01,1.618219885346e+22
7.477000000000e+01,1.613075692485e+22
7.655000000000e+01,1.607295104630e+22
8.221000000000e+01,1.589210880241e+22
8.422000000000e+01,1.582767380935e+22
8.629000000000e+01,1.576297365171e+22
8.843000000000e+01,1.569933415239e+22
9.064000000000e+01,1.563092169063e+22
9.291000000000e+01,1.555906208932e+22
9.526000000000e+01,1.548481600678e+22
9.768000000000e+01,1.540712278470e+22
1.001900000000e+02,1.532969472719e+22
1.027700000000e+02,1.524855436556e+22
1.054300000000e+02,1.516582301645e+22
1.081800000000e+02,1.508123551528e+22
1.110200000000e+02,1.499479186204e+22
1.139400000000e+02,1.490675722131e+22
1.169600000000e+02,1.481766192227e+22
1.200800000000e+02,1.472538464826e+22
1.232900000000e+02,1.463257704509e+22
1.266100000000e+02,1.453923911276e+22
1.300300000000e+02,1.444271920546e+22
1.335600000000e+02,1.434593413358e+22
1.372000000000e+02,1.424808840338e+22
1.409500000000e+02,1.414918201486e+22
1.448200000000e+02,1.404948013260e+22
1.488100000000e+02,1.394924792117e+22
1.529200000000e+02,1.384795505142e+22
1.571600000000e+02,1.374639701710e+22
1.615300000000e+02,1.364430865361e+22
