# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_37e419375a126b7dcc75"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 20:09:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_003_1022_1022/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "de6d3fa7282323e730d7d03095555bd54e67469ede168d28b36fe5a9995364ed"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.488000000000e+20
2.200000000000e-01,1.488000000000e+20
9.000000000000e-01,1.488000000000e+20
1.570000000000e+00,1.489000000000e+20
2.750000000000e+00,1.491000000000e+20
3.840000000000e+00,1.494000000000e+20
5.380000000000e+00,1.499000000000e+20
6.460000000000e+00,1.505000000000e+20
7.750000000000e+00,1.512000000000e+20
8.910000000000e+00,1.519000000000e+20
1.024000000000e+01,1.529000000000e+20
1.178000000000e+01,1.542000000000e+20
1.354000000000e+01,1.559000000000e+20
1.489000000000e+01,1.574000000000e+20
1.638000000000e+01,1.592000000000e+20
1.720000000000e+01,1.604000000000e+20
1.805000000000e+01,1.616000000000e+20
1.895000000000e+01,1.630000000000e+20
1.990000000000e+01,1.645000000000e+20
2.089000000000e+01,1.662000000000e+20
2.192000000000e+01,1.679000000000e+20
2.301000000000e+01,1.700000000000e+20
2.416000000000e+01,1.722000000000e+20
2.535000000000e+01,1.745000000000e+20
2.661000000000e+01,1.775000000000e+20
2.793000000000e+01,1.805000000000e+20
2.848000000000e+01,1.818000000000e+20
2.904000000000e+01,1.832000000000e+20
2.962000000000e+01,1.846000000000e+20
3.020000000000e+01,1.862000000000e+20
3.080000000000e+01,1.877000000000e+20
3.141000000000e+01,1.893000000000e+20
3.203000000000e+01,1.910000000000e+20
3.266000000000e+01,1.928000000000e+20
3.330000000000e+01,1.946000000000e+20
3.396000000000e+01,1.965000000000e+20
3.463000000000e+01,1.985000000000e+20
3.531000000000e+01,2.006000000000e+20
3.600000000000e+01,2.027000000000e+20
3.671000000000e+01,2.050000000000e+20
3.743000000000e+01,2.073000000000e+20
3.816000000000e+01,2.098000000000e+20
3.891000000000e+01,2.123000000000e+20
3.967000000000e+01,2.150000000000e+20
4.044000000000e+01,2.176000000000e+20
4.123000000000e+01,2.205000000000e+20
4.204000000000e+01,2.235000000000e+20
4.286000000000e+01,2.266000000000e+20
4.369000000000e+01,2.299000000000e+20
4.454000000000e+01,2.332000000000e+20
4.541000000000e+01,2.367000000000e+20
4.629000000000e+01,2.403000000000e+20
4.719000000000e+01,2.441000000000e+20
4.810000000000e+01,2.480000000000e+20
4.903000000000e+01,2.520000000000e+20
4.998000000000e+01,2.562000000000e+20
5.094000000000e+01,2.606000000000e+20
5.193000000000e+01,2.651000000000e+20
5.293000000000e+01,2.698000000000e+20
5.394000000000e+01,2.747000000000e+20
