# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5fca20a766437faa61d3"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "29Si^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_005_2133_2133/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "b2fa87ba41d6f4f953fb2590cfb7440dc85cdd5d6b209fcbc2070759aa71e415"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,2.970000000000e+19
1.000000000000e-01,2.970000000000e+19
4.000000000000e-01,2.970000000000e+19
7.000000000000e-01,2.970000000000e+19
1.230000000000e+00,2.980000000000e+19
1.720000000000e+00,2.980000000000e+19
2.410000000000e+00,2.990000000000e+19
2.890000000000e+00,3.000000000000e+19
3.470000000000e+00,3.020000000000e+19
3.990000000000e+00,3.030000000000e+19
4.590000000000e+00,3.050000000000e+19
5.280000000000e+00,3.070000000000e+19
6.070000000000e+00,3.100000000000e+19
6.680000000000e+00,3.130000000000e+19
7.340000000000e+00,3.170000000000e+19
7.710000000000e+00,3.190000000000e+19
8.100000000000e+00,3.210000000000e+19
8.500000000000e+00,3.230000000000e+19
8.930000000000e+00,3.260000000000e+19
9.380000000000e+00,3.290000000000e+19
9.840000000000e+00,3.320000000000e+19
1.034000000000e+01,3.350000000000e+19
1.085000000000e+01,3.390000000000e+19
1.140000000000e+01,3.430000000000e+19
1.197000000000e+01,3.480000000000e+19
1.257000000000e+01,3.530000000000e+19
1.282000000000e+01,3.560000000000e+19
1.308000000000e+01,3.580000000000e+19
1.334000000000e+01,3.600000000000e+19
1.361000000000e+01,3.630000000000e+19
1.388000000000e+01,3.650000000000e+19
1.416000000000e+01,3.680000000000e+19
1.444000000000e+01,3.710000000000e+19
1.473000000000e+01,3.740000000000e+19
1.503000000000e+01,3.770000000000e+19
1.533000000000e+01,3.800000000000e+19
1.564000000000e+01,3.830000000000e+19
1.595000000000e+01,3.870000000000e+19
1.627000000000e+01,3.900000000000e+19
1.660000000000e+01,3.940000000000e+19
1.693000000000e+01,3.980000000000e+19
1.727000000000e+01,4.020000000000e+19
1.762000000000e+01,4.060000000000e+19
1.797000000000e+01,4.100000000000e+19
1.834000000000e+01,4.150000000000e+19
1.870000000000e+01,4.190000000000e+19
1.908000000000e+01,4.240000000000e+19
1.947000000000e+01,4.290000000000e+19
1.986000000000e+01,4.340000000000e+19
2.026000000000e+01,4.390000000000e+19
2.067000000000e+01,4.450000000000e+19
2.108000000000e+01,4.510000000000e+19
2.151000000000e+01,4.570000000000e+19
2.194000000000e+01,4.630000000000e+19
2.238000000000e+01,4.690000000000e+19
2.284000000000e+01,4.760000000000e+19
2.330000000000e+01,4.830000000000e+19
2.377000000000e+01,4.900000000000e+19
2.425000000000e+01,4.980000000000e+19
2.474000000000e+01,5.050000000000e+19
2.524000000000e+01,5.130000000000e+19
2.575000000000e+01,5.220000000000e+19
2.627000000000e+01,5.300000000000e+19
2.681000000000e+01,5.390000000000e+19
2.735000000000e+01,5.490000000000e+19
2.791000000000e+01,5.580000000000e+19
2.847000000000e+01,5.680000000000e+19
2.905000000000e+01,5.790000000000e+19
2.965000000000e+01,5.900000000000e+19
3.025000000000e+01,6.010000000000e+19
3.087000000000e+01,6.120000000000e+19
3.150000000000e+01,6.240000000000e+19
3.214000000000e+01,6.360000000000e+19
3.280000000000e+01,6.490000000000e+19
3.347000000000e+01,6.620000000000e+19
3.416000000000e+01,6.760000000000e+19
3.486000000000e+01,6.900000000000e+19
3.558000000000e+01,7.040000000000e+19
3.631000000000e+01,7.190000000000e+19
3.706000000000e+01,7.350000000000e+19
3.783000000000e+01,7.510000000000e+19
3.861000000000e+01,7.680000000000e+19
3.941000000000e+01,7.850000000000e+19
4.023000000000e+01,8.030000000000e+19
4.107000000000e+01,8.210000000000e+19
4.192000000000e+01,8.400000000000e+19
4.280000000000e+01,8.600000000000e+19
4.369000000000e+01,8.800000000000e+19
4.461000000000e+01,9.010000000000e+19
4.554000000000e+01,9.230000000000e+19
4.650000000000e+01,9.450000000000e+19
4.748000000000e+01,9.680000000000e+19
4.849000000000e+01,9.920000000000e+19
4.952000000000e+01,1.017000000000e+20
