# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e8da7fb2cbe17f94ad39"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-29 20:41:00"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_007_2135_2135/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "af64952f45246149b7ca29aa35693d373f8c08587ca3a2e871354499c3d2956a"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,5.790000000000e+19
1.500000000000e-01,5.790000000000e+19
5.800000000000e-01,5.790000000000e+19
1.020000000000e+00,5.790000000000e+19
1.790000000000e+00,5.800000000000e+19
2.500000000000e+00,5.810000000000e+19
3.500000000000e+00,5.830000000000e+19
4.200000000000e+00,5.850000000000e+19
5.040000000000e+00,5.870000000000e+19
5.800000000000e+00,5.900000000000e+19
6.670000000000e+00,5.930000000000e+19
7.670000000000e+00,5.980000000000e+19
8.820000000000e+00,6.040000000000e+19
9.700000000000e+00,6.090000000000e+19
1.067000000000e+01,6.160000000000e+19
1.121000000000e+01,6.190000000000e+19
1.177000000000e+01,6.240000000000e+19
1.236000000000e+01,6.280000000000e+19
1.298000000000e+01,6.330000000000e+19
1.363000000000e+01,6.390000000000e+19
1.431000000000e+01,6.450000000000e+19
1.503000000000e+01,6.520000000000e+19
1.578000000000e+01,6.590000000000e+19
1.657000000000e+01,6.670000000000e+19
1.740000000000e+01,6.760000000000e+19
1.828000000000e+01,6.860000000000e+19
1.864000000000e+01,6.900000000000e+19
1.902000000000e+01,6.950000000000e+19
1.940000000000e+01,6.990000000000e+19
1.979000000000e+01,7.040000000000e+19
2.019000000000e+01,7.090000000000e+19
2.059000000000e+01,7.140000000000e+19
2.101000000000e+01,7.200000000000e+19
2.143000000000e+01,7.250000000000e+19
2.186000000000e+01,7.310000000000e+19
2.230000000000e+01,7.370000000000e+19
2.275000000000e+01,7.440000000000e+19
2.320000000000e+01,7.500000000000e+19
2.367000000000e+01,7.570000000000e+19
2.415000000000e+01,7.640000000000e+19
2.463000000000e+01,7.720000000000e+19
2.513000000000e+01,7.790000000000e+19
2.564000000000e+01,7.880000000000e+19
2.615000000000e+01,7.960000000000e+19
2.668000000000e+01,8.050000000000e+19
2.722000000000e+01,8.140000000000e+19
2.777000000000e+01,8.230000000000e+19
2.833000000000e+01,8.330000000000e+19
2.890000000000e+01,8.430000000000e+19
2.948000000000e+01,8.540000000000e+19
3.007000000000e+01,8.650000000000e+19
3.068000000000e+01,8.770000000000e+19
3.130000000000e+01,8.890000000000e+19
3.193000000000e+01,9.010000000000e+19
3.258000000000e+01,9.140000000000e+19
3.324000000000e+01,9.280000000000e+19
3.391000000000e+01,9.420000000000e+19
3.459000000000e+01,9.570000000000e+19
3.529000000000e+01,9.720000000000e+19
3.601000000000e+01,9.880000000000e+19
3.673000000000e+01,1.005000000000e+20
3.748000000000e+01,1.022000000000e+20
3.823000000000e+01,1.039000000000e+20
3.901000000000e+01,1.058000000000e+20
3.980000000000e+01,1.078000000000e+20
4.060000000000e+01,1.098000000000e+20
4.142000000000e+01,1.119000000000e+20
4.226000000000e+01,1.142000000000e+20
4.312000000000e+01,1.165000000000e+20
4.399000000000e+01,1.189000000000e+20
4.488000000000e+01,1.214000000000e+20
4.579000000000e+01,1.240000000000e+20
4.672000000000e+01,1.267000000000e+20
