# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e8d14af6e69cb22636ad"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "cfd77c49a2f673661e4ea3c903a2d004e749ad59f5d8019dc5392fc07d0a5fe7"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,4.130000000000e+19
2.000000000000e-01,4.130000000000e+19
8.200000000000e-01,4.130000000000e+19
1.430000000000e+00,4.130000000000e+19
2.500000000000e+00,4.140000000000e+19
3.500000000000e+00,4.150000000000e+19
4.910000000000e+00,4.160000000000e+19
5.890000000000e+00,4.170000000000e+19
7.070000000000e+00,4.190000000000e+19
8.130000000000e+00,4.210000000000e+19
9.350000000000e+00,4.240000000000e+19
1.075000000000e+01,4.280000000000e+19
1.237000000000e+01,4.320000000000e+19
1.361000000000e+01,4.360000000000e+19
1.497000000000e+01,4.410000000000e+19
1.572000000000e+01,4.440000000000e+19
1.651000000000e+01,4.470000000000e+19
1.734000000000e+01,4.510000000000e+19
1.821000000000e+01,4.550000000000e+19
1.912000000000e+01,4.590000000000e+19
2.008000000000e+01,4.630000000000e+19
2.109000000000e+01,4.690000000000e+19
2.215000000000e+01,4.740000000000e+19
2.327000000000e+01,4.800000000000e+19
2.444000000000e+01,4.870000000000e+19
2.567000000000e+01,4.950000000000e+19
2.619000000000e+01,4.980000000000e+19
2.672000000000e+01,5.010000000000e+19
2.725000000000e+01,5.050000000000e+19
2.780000000000e+01,5.080000000000e+19
2.837000000000e+01,5.120000000000e+19
2.894000000000e+01,5.160000000000e+19
2.952000000000e+01,5.200000000000e+19
3.012000000000e+01,5.250000000000e+19
3.073000000000e+01,5.290000000000e+19
3.135000000000e+01,5.340000000000e+19
3.198000000000e+01,5.390000000000e+19
3.263000000000e+01,5.440000000000e+19
3.329000000000e+01,5.490000000000e+19
3.396000000000e+01,5.540000000000e+19
3.465000000000e+01,5.600000000000e+19
3.536000000000e+01,5.660000000000e+19
3.607000000000e+01,5.720000000000e+19
3.680000000000e+01,5.780000000000e+19
3.755000000000e+01,5.850000000000e+19
3.831000000000e+01,5.920000000000e+19
3.909000000000e+01,5.990000000000e+19
3.989000000000e+01,6.070000000000e+19
4.070000000000e+01,6.150000000000e+19
4.152000000000e+01,6.230000000000e+19
4.237000000000e+01,6.310000000000e+19
4.323000000000e+01,6.400000000000e+19
4.411000000000e+01,6.490000000000e+19
4.501000000000e+01,6.590000000000e+19
4.593000000000e+01,6.690000000000e+19
4.687000000000e+01,6.790000000000e+19
4.782000000000e+01,6.890000000000e+19
4.880000000000e+01,7.000000000000e+19
4.979000000000e+01,7.120000000000e+19
5.081000000000e+01,7.240000000000e+19
5.185000000000e+01,7.370000000000e+19
5.291000000000e+01,7.500000000000e+19
5.510000000000e+01,7.790000000000e+19
5.623000000000e+01,7.940000000000e+19
5.738000000000e+01,8.100000000000e+19
5.855000000000e+01,8.260000000000e+19
5.975000000000e+01,8.430000000000e+19
6.223000000000e+01,8.800000000000e+19
6.350000000000e+01,8.990000000000e+19
6.481000000000e+01,9.200000000000e+19
6.749000000000e+01,9.640000000000e+19
6.887000000000e+01,9.870000000000e+19
7.029000000000e+01,1.011000000000e+20
7.173000000000e+01,1.036000000000e+20
7.622000000000e+01,1.118000000000e+20
7.778000000000e+01,1.148000000000e+20
7.937000000000e+01,1.179000000000e+20
8.435000000000e+01,1.279000000000e+20
9.147000000000e+01,1.432000000000e+20
9.333000000000e+01,1.474000000000e+20
9.522000000000e+01,1.517000000000e+20
9.912000000000e+01,1.609000000000e+20
1.011300000000e+02,1.657000000000e+20
1.031800000000e+02,1.708000000000e+20
1.052600000000e+02,1.760000000000e+20
1.139700000000e+02,1.992000000000e+20
1.162600000000e+02,2.056000000000e+20
1.209700000000e+02,2.198000000000e+20
1.234000000000e+02,2.272000000000e+20
1.258700000000e+02,2.352000000000e+20
1.283900000000e+02,2.436000000000e+20
1.309700000000e+02,2.522000000000e+20
1.335900000000e+02,2.622000000000e+20
1.362600000000e+02,2.725000000000e+20
1.389900000000e+02,2.835000000000e+20
1.417700000000e+02,2.951000000000e+20
1.446000000000e+02,3.077000000000e+20
1.474900000000e+02,3.213000000000e+20
1.504200000000e+02,3.361000000000e+20
1.534200000000e+02,3.515000000000e+20
1.564700000000e+02,3.683000000000e+20
1.595700000000e+02,3.863000000000e+20
1.627400000000e+02,4.060000000000e+20
1.659600000000e+02,4.282000000000e+20
1.692300000000e+02,4.518000000000e+20
1.725600000000e+02,4.767000000000e+20
1.759400000000e+02,5.029000000000e+20
1.793800000000e+02,5.315000000000e+20
1.828700000000e+02,5.619000000000e+20
1.864100000000e+02,5.939000000000e+20
1.899900000000e+02,6.270000000000e+20
1.936200000000e+02,6.627000000000e+20
1.972900000000e+02,6.976000000000e+20
2.010100000000e+02,7.370000000000e+20
2.048000000000e+02,7.754000000000e+20
2.124000000000e+02,8.572000000000e+20
2.239900000000e+02,9.765000000000e+20
2.312000000000e+02,1.038600000000e+21
2.360300000000e+02,1.099500000000e+21
2.482600000000e+02,1.215900000000e+21
2.695400000000e+02,1.408900000000e+21
2.826700000000e+02,1.522200000000e+21
2.872300000000e+02,1.562700000000e+21
2.917800000000e+02,1.601400000000e+21
3.011000000000e+02,1.685800000000e+21
3.058700000000e+02,1.728400000000e+21
3.156100000000e+02,1.814700000000e+21
3.206200000000e+02,1.864400000000e+21
3.256700000000e+02,1.913000000000e+21
3.308200000000e+02,1.962900000000e+21
3.472400000000e+02,2.125400000000e+21
3.526900000000e+02,2.181400000000e+21
3.972000000000e+02,2.660400000000e+21
4.043500000000e+02,2.732900000000e+21
4.116800000000e+02,2.808400000000e+21
4.192400000000e+02,2.890700000000e+21
4.270700000000e+02,2.977600000000e+21
4.352000000000e+02,3.064500000000e+21
4.436300000000e+02,3.156800000000e+21
4.523100000000e+02,3.247200000000e+21
4.613400000000e+02,3.336800000000e+21
4.705900000000e+02,3.428200000000e+21
4.802700000000e+02,3.526200000000e+21
4.901900000000e+02,3.624600000000e+21
5.004500000000e+02,3.726700000000e+21
5.111200000000e+02,3.832300000000e+21
5.221300000000e+02,3.940300000000e+21
5.335100000000e+02,4.050700000000e+21
5.452700000000e+02,4.164900000000e+21
5.574400000000e+02,4.283100000000e+21
5.700200000000e+02,4.404700000000e+21
5.830200000000e+02,4.528800000000e+21
5.964200000000e+02,4.657900000000e+21
6.103000000000e+02,4.791300000000e+21
6.246400000000e+02,4.929300000000e+21
6.394800000000e+02,5.082200000000e+21
6.547500000000e+02,5.219100000000e+21
6.705300000000e+02,5.373600000000e+21
6.867900000000e+02,5.531700000000e+21
7.036000000000e+02,5.695900000000e+21
7.208800000000e+02,5.865400000000e+21
7.387600000000e+02,6.042100000000e+21
7.571500000000e+02,6.225700000000e+21
7.763900000000e+02,6.407900000000e+21
7.959500000000e+02,6.621500000000e+21
8.162000000000e+02,6.830600000000e+21
8.369400000000e+02,7.045100000000e+21
8.581900000000e+02,7.265300000000e+21
8.801000000000e+02,7.495800000000e+21
9.025200000000e+02,7.730600000000e+21
9.258800000000e+02,7.984200000000e+21
9.499600000000e+02,8.248300000000e+21
9.745200000000e+02,8.519200000000e+21
9.995700000000e+02,8.795500000000e+21
1.025540000000e+03,9.088900000000e+21
1.052190000000e+03,9.392800000000e+21
1.079700000000e+03,9.708000000000e+21
1.107900000000e+03,1.004290000000e+22
1.137040000000e+03,1.039210000000e+22
1.166780000000e+03,1.075030000000e+22
1.197030000000e+03,1.111510000000e+22
1.228600000000e+03,1.150950000000e+22
1.260730000000e+03,1.191220000000e+22
1.293450000000e+03,1.231670000000e+22
1.327480000000e+03,1.276330000000e+22
1.362130000000e+03,1.321710000000e+22
1.397350000000e+03,1.368370000000e+22
1.509230000000e+03,1.521310000000e+22
1.548790000000e+03,1.577470000000e+22
1.588530000000e+03,1.633520000000e+22
1.629620000000e+03,1.693260000000e+22
1.671630000000e+03,1.754770000000e+22
1.714690000000e+03,1.818970000000e+22
1.759050000000e+03,1.887220000000e+22
1.803930000000e+03,1.956020000000e+22
1.850130000000e+03,2.028110000000e+22
1.897430000000e+03,2.103370000000e+22
1.945540000000e+03,2.181470000000e+22
1.995620000000e+03,2.264210000000e+22
2.046040000000e+03,2.348150000000e+22
2.097920000000e+03,2.436270000000e+22
2.150990000000e+03,2.527840000000e+22
2.205220000000e+03,2.622860000000e+22
2.260710000000e+03,2.722240000000e+22
2.317510000000e+03,2.825460000000e+22
2.375590000000e+03,2.932770000000e+22
2.434990000000e+03,3.044350000000e+22
2.495740000000e+03,3.160290000000e+22
