# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_39ce34c61e75a5f3624b"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-06 15:15:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "455027430317d211af01cd4de91f2115444a4408122c68bc7bc38f9a3457d899"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,8.140000000000e+19
2.900000000000e-01,8.140000000000e+19
1.170000000000e+00,8.140000000000e+19
2.050000000000e+00,8.150000000000e+19
3.590000000000e+00,8.160000000000e+19
5.030000000000e+00,8.170000000000e+19
7.040000000000e+00,8.200000000000e+19
8.450000000000e+00,8.230000000000e+19
1.014000000000e+01,8.270000000000e+19
1.166000000000e+01,8.310000000000e+19
1.341000000000e+01,8.370000000000e+19
1.542000000000e+01,8.440000000000e+19
1.773000000000e+01,8.540000000000e+19
1.951000000000e+01,8.620000000000e+19
2.146000000000e+01,8.720000000000e+19
2.253000000000e+01,8.780000000000e+19
2.366000000000e+01,8.850000000000e+19
2.485000000000e+01,8.920000000000e+19
2.609000000000e+01,9.000000000000e+19
2.740000000000e+01,9.090000000000e+19
2.877000000000e+01,9.190000000000e+19
3.021000000000e+01,9.300000000000e+19
3.173000000000e+01,9.420000000000e+19
3.331000000000e+01,9.550000000000e+19
3.498000000000e+01,9.700000000000e+19
3.674000000000e+01,9.870000000000e+19
3.899000000000e+01,1.009000000000e+20
3.977000000000e+01,1.017000000000e+20
4.056000000000e+01,1.026000000000e+20
4.138000000000e+01,1.035000000000e+20
4.221000000000e+01,1.044000000000e+20
4.305000000000e+01,1.053000000000e+20
4.391000000000e+01,1.063000000000e+20
4.479000000000e+01,1.074000000000e+20
4.569000000000e+01,1.085000000000e+20
4.753000000000e+01,1.108000000000e+20
4.848000000000e+01,1.120000000000e+20
4.945000000000e+01,1.133000000000e+20
5.044000000000e+01,1.147000000000e+20
5.145000000000e+01,1.161000000000e+20
5.247000000000e+01,1.176000000000e+20
5.352000000000e+01,1.192000000000e+20
5.459000000000e+01,1.209000000000e+20
5.568000000000e+01,1.226000000000e+20
5.679000000000e+01,1.243000000000e+20
5.792000000000e+01,1.262000000000e+20
5.907000000000e+01,1.281000000000e+20
6.025000000000e+01,1.301000000000e+20
6.145000000000e+01,1.322000000000e+20
6.267000000000e+01,1.344000000000e+20
6.391000000000e+01,1.367000000000e+20
6.518000000000e+01,1.391000000000e+20
6.647000000000e+01,1.415000000000e+20
6.779000000000e+01,1.441000000000e+20
6.914000000000e+01,1.468000000000e+20
7.050000000000e+01,1.496000000000e+20
7.190000000000e+01,1.526000000000e+20
7.332000000000e+01,1.556000000000e+20
7.476000000000e+01,1.588000000000e+20
7.623000000000e+01,1.621000000000e+20
7.773000000000e+01,1.655000000000e+20
7.926000000000e+01,1.691000000000e+20
8.081000000000e+01,1.728000000000e+20
8.240000000000e+01,1.766000000000e+20
8.401000000000e+01,1.806000000000e+20
8.732000000000e+01,1.891000000000e+20
8.902000000000e+01,1.936000000000e+20
9.076000000000e+01,1.983000000000e+20
9.252000000000e+01,2.032000000000e+20
9.431000000000e+01,2.082000000000e+20
9.614000000000e+01,2.134000000000e+20
9.800000000000e+01,2.189000000000e+20
9.989000000000e+01,2.245000000000e+20
1.018200000000e+02,2.305000000000e+20
1.037800000000e+02,2.366000000000e+20
1.057800000000e+02,2.430000000000e+20
1.078100000000e+02,2.497000000000e+20
1.141700000000e+02,2.718000000000e+20
1.163600000000e+02,2.801000000000e+20
1.185900000000e+02,2.883000000000e+20
1.208500000000e+02,2.972000000000e+20
1.231600000000e+02,3.065000000000e+20
1.352800000000e+02,3.612000000000e+20
1.404500000000e+02,3.876000000000e+20
1.485700000000e+02,4.338000000000e+20
1.513700000000e+02,4.510000000000e+20
1.542300000000e+02,4.689000000000e+20
1.571300000000e+02,4.880000000000e+20
1.600800000000e+02,5.081000000000e+20
1.630800000000e+02,5.295000000000e+20
1.661300000000e+02,5.516000000000e+20
1.692300000000e+02,5.749000000000e+20
1.723800000000e+02,5.993000000000e+20
1.755700000000e+02,6.246000000000e+20
1.788400000000e+02,6.512000000000e+20
1.821500000000e+02,6.789000000000e+20
1.854900000000e+02,7.071000000000e+20
1.888500000000e+02,7.354000000000e+20
1.923000000000e+02,7.659000000000e+20
1.957900000000e+02,7.968000000000e+20
2.139200000000e+02,9.567000000000e+20
2.177000000000e+02,9.903000000000e+20
2.215500000000e+02,1.024500000000e+21
2.333800000000e+02,1.129400000000e+21
2.374300000000e+02,1.164300000000e+21
2.415100000000e+02,1.199900000000e+21
2.456700000000e+02,1.235600000000e+21
2.498700000000e+02,1.272100000000e+21
2.628800000000e+02,1.385000000000e+21
2.673600000000e+02,1.424100000000e+21
2.765600000000e+02,1.505300000000e+21
2.812900000000e+02,1.547000000000e+21
3.662800000000e+02,2.332000000000e+21
3.802800000000e+02,2.462300000000e+21
3.953000000000e+02,2.608400000000e+21
4.112000000000e+02,2.762500000000e+21
4.196000000000e+02,2.844200000000e+21
4.281800000000e+02,2.924500000000e+21
4.370700000000e+02,3.003300000000e+21
4.557700000000e+02,3.167600000000e+21
4.656400000000e+02,3.261000000000e+21
4.757200000000e+02,3.352800000000e+21
4.861900000000e+02,3.449000000000e+21
4.969500000000e+02,3.544900000000e+21
5.196100000000e+02,3.749700000000e+21
5.314700000000e+02,3.855400000000e+21
5.437300000000e+02,3.965300000000e+21
5.563800000000e+02,4.079800000000e+21
5.694300000000e+02,4.197600000000e+21
5.828900000000e+02,4.317600000000e+21
5.967500000000e+02,4.443400000000e+21
6.110900000000e+02,4.573400000000e+21
6.258700000000e+02,4.707900000000e+21
6.411100000000e+02,4.847700000000e+21
6.568500000000e+02,4.991500000000e+21
6.730400000000e+02,5.141900000000e+21
6.897300000000e+02,5.298400000000e+21
7.069200000000e+02,5.459300000000e+21
