# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1e2d9726c10436881675"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,2.284923190068e+21
3.300000000000e-01,2.284923190068e+21
1.340000000000e+00,2.284923190068e+21
2.340000000000e+00,2.284923190068e+21
4.100000000000e+00,2.284923190068e+21
5.730000000000e+00,2.284923190068e+21
8.030000000000e+00,2.284658025488e+21
9.640000000000e+00,2.284392860907e+21
1.156000000000e+01,2.284392860907e+21
1.330000000000e+01,2.284127696327e+21
1.530000000000e+01,2.283597367166e+21
1.759000000000e+01,2.283332202585e+21
2.023000000000e+01,2.282801873424e+21
2.226000000000e+01,2.282536708844e+21
2.449000000000e+01,2.282271544263e+21
2.572000000000e+01,2.282006379683e+21
2.701000000000e+01,2.281741215102e+21
2.836000000000e+01,2.281476050522e+21
2.978000000000e+01,2.281210885941e+21
3.127000000000e+01,2.280680556781e+21
3.284000000000e+01,2.280415392200e+21
3.449000000000e+01,2.280150227620e+21
3.622000000000e+01,2.279885063039e+21
3.804000000000e+01,2.279354733878e+21
3.995000000000e+01,2.279089569298e+21
4.195000000000e+01,2.278559240137e+21
4.279000000000e+01,2.278294075556e+21
4.453000000000e+01,2.278028910976e+21
4.634000000000e+01,2.277763746395e+21
4.727000000000e+01,2.277498581815e+21
4.822000000000e+01,2.277498581815e+21
4.918000000000e+01,2.277233417234e+21
5.017000000000e+01,2.276968252654e+21
5.326000000000e+01,2.276437923493e+21
5.433000000000e+01,2.276172758912e+21
5.542000000000e+01,2.276172758912e+21
5.653000000000e+01,2.275907594332e+21
5.767000000000e+01,2.275642429751e+21
5.883000000000e+01,2.275642429751e+21
6.001000000000e+01,2.275377265171e+21
6.122000000000e+01,2.275112100590e+21
6.245000000000e+01,2.275112100590e+21
6.370000000000e+01,2.274846936010e+21
6.498000000000e+01,2.274846936010e+21
6.629000000000e+01,2.274581771429e+21
6.762000000000e+01,2.274581771429e+21
6.898000000000e+01,2.274316606849e+21
7.036000000000e+01,2.274316606849e+21
7.177000000000e+01,2.274051442268e+21
7.322000000000e+01,2.274051442268e+21
7.468000000000e+01,2.273786277688e+21
7.618000000000e+01,2.273786277688e+21
7.771000000000e+01,2.273521113107e+21
7.927000000000e+01,2.273521113107e+21
8.249000000000e+01,2.273255948527e+21
8.414000000000e+01,2.273255948527e+21
8.583000000000e+01,2.273255948527e+21
8.930000000000e+01,2.273255948527e+21
9.109000000000e+01,2.273255948527e+21
9.292000000000e+01,2.273255948527e+21
9.478000000000e+01,2.273255948527e+21
9.668000000000e+01,2.273255948527e+21
1.005900000000e+02,2.273255948527e+21
1.026000000000e+02,2.273255948527e+21
1.046600000000e+02,2.273255948527e+21
1.067500000000e+02,2.273255948527e+21
1.088900000000e+02,2.273521113107e+21
1.110700000000e+02,2.273521113107e+21
1.133100000000e+02,2.273521113107e+21
1.179000000000e+02,2.274051442268e+21
1.202700000000e+02,2.274316606849e+21
1.276200000000e+02,2.275642429751e+21
1.380500000000e+02,2.280680556781e+21
1.407900000000e+02,2.282271544263e+21
1.435900000000e+02,2.283862531746e+21
1.464400000000e+02,2.285718683810e+21
1.523000000000e+02,2.289961317098e+21
1.553000000000e+02,2.292612962902e+21
1.583600000000e+02,2.295264608707e+21
1.614700000000e+02,2.298446583673e+21
1.646400000000e+02,2.301628558639e+21
1.678500000000e+02,2.305606027346e+21
1.711200000000e+02,2.309053166893e+21
1.744300000000e+02,2.313560964761e+21
1.778200000000e+02,2.317803598049e+21
1.812400000000e+02,2.322046231337e+21
1.846900000000e+02,2.326819193785e+21
1.953400000000e+02,2.342994233195e+21
1.989900000000e+02,2.348297524805e+21
2.026600000000e+02,2.354131145576e+21
2.063700000000e+02,2.359434437186e+21
2.101200000000e+02,2.365268057956e+21
2.139000000000e+02,2.371101678727e+21
2.216300000000e+02,2.381973426527e+21
2.455100000000e+02,2.404777580449e+21
2.539900000000e+02,2.412467353283e+21
2.582000000000e+02,2.416444821991e+21
2.624100000000e+02,2.419891961537e+21
2.667400000000e+02,2.422808771922e+21
2.710700000000e+02,2.425990746888e+21
2.754700000000e+02,2.428907557274e+21
2.799300000000e+02,2.432354696820e+21
2.890100000000e+02,2.438453482171e+21
2.936600000000e+02,2.441900621717e+21
2.983600000000e+02,2.445082596683e+21
3.080000000000e+02,2.451976875776e+21
3.129500000000e+02,2.455689179903e+21
3.445900000000e+02,2.483266296274e+21
3.561400000000e+02,2.493077385752e+21
3.811600000000e+02,2.514290552191e+21
3.878200000000e+02,2.519063514640e+21
4.017700000000e+02,2.529404933279e+21
4.091300000000e+02,2.533912731147e+21
4.244200000000e+02,2.544254149786e+21
4.324700000000e+02,2.548496783074e+21
4.408400000000e+02,2.552209087201e+21
4.494500000000e+02,2.555125897586e+21
4.675200000000e+02,2.560694353776e+21
4.770400000000e+02,2.562285341259e+21
4.868800000000e+02,2.563345999581e+21
4.970400000000e+02,2.563876328742e+21
5.075200000000e+02,2.564141493323e+21
5.184100000000e+02,2.563345999581e+21
5.296100000000e+02,2.562285341259e+21
5.412400000000e+02,2.560164024615e+21
5.532300000000e+02,2.557777543391e+21
5.656200000000e+02,2.554595568425e+21
5.784300000000e+02,2.550618099718e+21
5.916700000000e+02,2.546110301849e+21
6.053000000000e+02,2.541072174820e+21
6.194200000000e+02,2.535503718630e+21
6.340000000000e+02,2.529139768698e+21
6.490700000000e+02,2.521980325025e+21
6.646100000000e+02,2.514820881352e+21
6.806300000000e+02,2.506865943937e+21
6.971700000000e+02,2.498380677361e+21
7.142400000000e+02,2.489365081625e+21
7.317900000000e+02,2.480084321308e+21
7.499200000000e+02,2.470538396410e+21
7.686100000000e+02,2.460196977771e+21
7.878700000000e+02,2.449855559132e+21
8.080000000000e+02,2.437657988430e+21
8.285600000000e+02,2.425990746888e+21
8.494400000000e+02,2.415384163669e+21
8.711000000000e+02,2.403716922127e+21
9.164100000000e+02,2.379586945303e+21
9.400600000000e+02,2.367389374600e+21
9.640500000000e+02,2.355987297639e+21
9.890000000000e+02,2.343524562356e+21
1.014540000000e+03,2.331326991654e+21
1.041050000000e+03,2.318068762629e+21
1.067930000000e+03,2.306136356507e+21
1.096180000000e+03,2.292347798322e+21
1.124730000000e+03,2.279885063039e+21
1.153790000000e+03,2.267952656917e+21
1.184230000000e+03,2.254164098732e+21
1.215020000000e+03,2.241701363449e+21
1.246530000000e+03,2.230034121907e+21
1.279070000000e+03,2.217306222044e+21
1.312790000000e+03,2.204047993019e+21
1.346720000000e+03,2.191850422317e+21
1.381840000000e+03,2.179387687034e+21
1.418090000000e+03,2.166394622590e+21
1.454720000000e+03,2.154727381049e+21
1.492530000000e+03,2.142529810346e+21
1.531640000000e+03,2.129801910483e+21
1.570950000000e+03,2.118664998102e+21
1.611650000000e+03,2.106732591980e+21
1.653240000000e+03,2.095065350439e+21
1.695840000000e+03,2.083663273478e+21
1.739770000000e+03,2.071730867356e+21
1.784180000000e+03,2.060859119556e+21
1.829910000000e+03,2.049722207175e+21
1.876760000000e+03,2.038585294795e+21
1.924670000000e+03,2.027713546995e+21
1.973760000000e+03,2.016841799195e+21
2.023940000000e+03,2.006500380556e+21
2.075310000000e+03,1.996158961916e+21
2.127890000000e+03,1.985817543277e+21
2.181680000000e+03,1.975741289219e+21
2.236650000000e+03,1.965665035160e+21
2.292880000000e+03,1.956119110263e+21
2.350450000000e+03,1.946308020785e+21
2.409320000000e+03,1.936762095887e+21
2.469530000000e+03,1.927481335570e+21
2.531450000000e+03,1.917935410672e+21
2.594050000000e+03,1.909184979516e+21
2.658410000000e+03,1.900169383780e+21
2.724210000000e+03,1.891418952624e+21
2.791490000000e+03,1.882668521467e+21
2.860260000000e+03,1.874183254892e+21
2.930550000000e+03,1.865697988316e+21
3.002810000000e+03,1.857212721741e+21
3.075880000000e+03,1.849257784326e+21
3.150950000000e+03,1.841302846911e+21
3.227710000000e+03,1.833082744916e+21
3.306110000000e+03,1.825127807501e+21
3.386290000000e+03,1.817172870087e+21
3.468600000000e+03,1.809217932672e+21
3.552040000000e+03,1.801528159838e+21
3.637660000000e+03,1.793838387004e+21
3.725380000000e+03,1.786148614170e+21
3.815140000000e+03,1.778193676755e+21
