# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d0979e431cd0db1b1dc0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.363677070473e+21
1.400000000000e-01,2.363677070473e+21
5.800000000000e-01,2.363677070473e+21
1.010000000000e+00,2.363677070473e+21
1.770000000000e+00,2.363677070473e+21
2.480000000000e+00,2.363411905893e+21
3.470000000000e+00,2.363411905893e+21
4.160000000000e+00,2.363411905893e+21
5.000000000000e+00,2.363411905893e+21
5.750000000000e+00,2.363411905893e+21
6.610000000000e+00,2.363146741312e+21
7.600000000000e+00,2.363146741312e+21
8.740000000000e+00,2.362881576732e+21
9.620000000000e+00,2.362881576732e+21
1.058000000000e+01,2.362616412151e+21
1.111000000000e+01,2.362616412151e+21
1.167000000000e+01,2.362351247571e+21
1.225000000000e+01,2.362351247571e+21
1.286000000000e+01,2.362086082990e+21
1.351000000000e+01,2.361820918410e+21
1.418000000000e+01,2.361555753829e+21
1.489000000000e+01,2.361555753829e+21
1.564000000000e+01,2.361290589249e+21
1.642000000000e+01,2.360760260088e+21
1.724000000000e+01,2.360495095508e+21
1.811000000000e+01,2.360229930927e+21
1.847000000000e+01,2.359964766347e+21
1.884000000000e+01,2.359699601766e+21
1.922000000000e+01,2.359434437186e+21
1.961000000000e+01,2.359434437186e+21
2.000000000000e+01,2.359169272605e+21
2.040000000000e+01,2.358904108025e+21
2.081000000000e+01,2.358638943444e+21
2.123000000000e+01,2.358373778864e+21
2.165000000000e+01,2.358108614283e+21
2.209000000000e+01,2.357843449703e+21
2.253000000000e+01,2.357578285122e+21
2.299000000000e+01,2.357313120542e+21
2.345000000000e+01,2.357047955961e+21
2.392000000000e+01,2.356517626800e+21
2.440000000000e+01,2.356252462220e+21
2.489000000000e+01,2.355722133059e+21
2.539000000000e+01,2.355456968478e+21
