# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_17643e850392eb55a2e6"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-06 15:14:04"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.306931850249e+21
3.000000000000e-01,2.306931850249e+21
1.180000000000e+00,2.306931850249e+21
2.070000000000e+00,2.306931850249e+21
3.630000000000e+00,2.306931850249e+21
5.080000000000e+00,2.306666685668e+21
7.110000000000e+00,2.306666685668e+21
8.540000000000e+00,2.306401521088e+21
1.024000000000e+01,2.306401521088e+21
1.178000000000e+01,2.306136356507e+21
1.355000000000e+01,2.305871191927e+21
1.558000000000e+01,2.305871191927e+21
1.792000000000e+01,2.305340862766e+21
1.972000000000e+01,2.305075698185e+21
2.169000000000e+01,2.304810533605e+21
2.392000000000e+01,2.304545369024e+21
2.637000000000e+01,2.304280204444e+21
2.908000000000e+01,2.304015039863e+21
3.207000000000e+01,2.303749875283e+21
3.536000000000e+01,2.303484710703e+21
3.713000000000e+01,2.303484710703e+21
3.787000000000e+01,2.303484710703e+21
3.863000000000e+01,2.303484710703e+21
3.941000000000e+01,2.303484710703e+21
4.019000000000e+01,2.303484710703e+21
4.438000000000e+01,2.303749875283e+21
4.618000000000e+01,2.304015039863e+21
5.098000000000e+01,2.304810533605e+21
5.200000000000e+01,2.305075698185e+21
5.304000000000e+01,2.305340862766e+21
5.740000000000e+01,2.307197014829e+21
5.854000000000e+01,2.307727343990e+21
5.971000000000e+01,2.308257673151e+21
6.211000000000e+01,2.309318331473e+21
6.334000000000e+01,2.309848660634e+21
6.460000000000e+01,2.310378989795e+21
6.719000000000e+01,2.311704812698e+21
6.988000000000e+01,2.313030635600e+21
7.126000000000e+01,2.313826129342e+21
7.267000000000e+01,2.314621623083e+21
7.410000000000e+01,2.315417116824e+21
7.705000000000e+01,2.317273268888e+21
8.168000000000e+01,2.320190079273e+21
8.328000000000e+01,2.321250737595e+21
8.491000000000e+01,2.322576560498e+21
8.998000000000e+01,2.326023700044e+21
9.173000000000e+01,2.327349522946e+21
9.351000000000e+01,2.328675345849e+21
9.717000000000e+01,2.331061827073e+21
9.906000000000e+01,2.332387649976e+21
1.009700000000e+02,2.333713472878e+21
1.029200000000e+02,2.335304460361e+21
1.110900000000e+02,2.340872916551e+21
1.154000000000e+02,2.343789726937e+21
1.244500000000e+02,2.351479499771e+21
1.292300000000e+02,2.355987297639e+21
1.316900000000e+02,2.358108614283e+21
1.419600000000e+02,2.369245526664e+21
1.473900000000e+02,2.375079147434e+21
1.501700000000e+02,2.378261122400e+21
1.530000000000e+02,2.381708261947e+21
1.558900000000e+02,2.385420566073e+21
1.588200000000e+02,2.389663199361e+21
1.618100000000e+02,2.393905832649e+21
1.648400000000e+02,2.398413630517e+21
1.679200000000e+02,2.402921428386e+21
1.710500000000e+02,2.407694390834e+21
1.742300000000e+02,2.412467353283e+21
1.774600000000e+02,2.417240315732e+21
1.807500000000e+02,2.422543607342e+21
1.874900000000e+02,2.432354696820e+21
1.979000000000e+02,2.449060065391e+21
