# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_2834677440420f5ba79c"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-06 15:14:04"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,2.320455243854e+21
2.600000000000e-01,2.320455243854e+21
1.020000000000e+00,2.320455243854e+21
1.790000000000e+00,2.320455243854e+21
3.120000000000e+00,2.320455243854e+21
6.120000000000e+00,2.320190079273e+21
7.350000000000e+00,2.319924914693e+21
8.820000000000e+00,2.319659750112e+21
1.015000000000e+01,2.319394585532e+21
1.342000000000e+01,2.318599091790e+21
1.544000000000e+01,2.317803598049e+21
1.698000000000e+01,2.317273268888e+21
1.869000000000e+01,2.316742939727e+21
1.962000000000e+01,2.316477775146e+21
2.164000000000e+01,2.315682281405e+21
2.273000000000e+01,2.315151952244e+21
2.387000000000e+01,2.314621623083e+21
2.904000000000e+01,2.312500306439e+21
3.050000000000e+01,2.311969977278e+21
3.203000000000e+01,2.311439648117e+21
3.267000000000e+01,2.311174483537e+21
3.333000000000e+01,2.310909318956e+21
3.400000000000e+01,2.310644154376e+21
3.469000000000e+01,2.310378989795e+21
3.538000000000e+01,2.310113825215e+21
3.610000000000e+01,2.309848660634e+21
3.682000000000e+01,2.309583496054e+21
3.757000000000e+01,2.309318331473e+21
3.832000000000e+01,2.309053166893e+21
3.909000000000e+01,2.308788002312e+21
3.988000000000e+01,2.308522837732e+21
4.234000000000e+01,2.307992508571e+21
4.319000000000e+01,2.307727343990e+21
4.406000000000e+01,2.307462179410e+21
4.495000000000e+01,2.307197014829e+21
4.678000000000e+01,2.306931850249e+21
4.868000000000e+01,2.306666685668e+21
5.066000000000e+01,2.306401521088e+21
5.168000000000e+01,2.306401521088e+21
5.272000000000e+01,2.306401521088e+21
5.597000000000e+01,2.306931850249e+21
5.709000000000e+01,2.307197014829e+21
6.060000000000e+01,2.307727343990e+21
6.182000000000e+01,2.307992508571e+21
6.561000000000e+01,2.309053166893e+21
6.692000000000e+01,2.309583496054e+21
6.825000000000e+01,2.310113825215e+21
6.962000000000e+01,2.310644154376e+21
7.242000000000e+01,2.311969977278e+21
7.386000000000e+01,2.312765471020e+21
7.532000000000e+01,2.313560964761e+21
7.682000000000e+01,2.314356458503e+21
7.834000000000e+01,2.315151952244e+21
8.147000000000e+01,2.316742939727e+21
8.307000000000e+01,2.317803598049e+21
8.471000000000e+01,2.318864256371e+21
8.637000000000e+01,2.319924914693e+21
8.807000000000e+01,2.320720408434e+21
9.155000000000e+01,2.322841725078e+21
9.333000000000e+01,2.324167547981e+21
9.516000000000e+01,2.325228206303e+21
9.701000000000e+01,2.326554029205e+21
9.889000000000e+01,2.327879852107e+21
1.088200000000e+02,2.333978637459e+21
1.109200000000e+02,2.335304460361e+21
1.242200000000e+02,2.344850385259e+21
1.265800000000e+02,2.346706537322e+21
1.314300000000e+02,2.350684006029e+21
1.339100000000e+02,2.353070487254e+21
1.390200000000e+02,2.357843449703e+21
1.416400000000e+02,2.360760260088e+21
1.443200000000e+02,2.363411905893e+21
1.470400000000e+02,2.366328716278e+21
1.526300000000e+02,2.373222995371e+21
1.555000000000e+02,2.376935299498e+21
1.584100000000e+02,2.380912768205e+21
1.644100000000e+02,2.389398034781e+21
1.706100000000e+02,2.399209124259e+21
1.737800000000e+02,2.403716922127e+21
1.770000000000e+02,2.409020213737e+21
1.802700000000e+02,2.415118999088e+21
1.836000000000e+02,2.420422290698e+21
1.869800000000e+02,2.425725582308e+21
1.974100000000e+02,2.442165786298e+21
2.009800000000e+02,2.448264571649e+21
2.195600000000e+02,2.473455206796e+21
2.234000000000e+02,2.478493333825e+21
2.273200000000e+02,2.483266296274e+21
2.478700000000e+02,2.501032323166e+21
2.519300000000e+02,2.503683968971e+21
2.562600000000e+02,2.506600779357e+21
2.606100000000e+02,2.509517589742e+21
2.650400000000e+02,2.512699564708e+21
2.695400000000e+02,2.515086045932e+21
2.741200000000e+02,2.518002856318e+21
2.835200000000e+02,2.523836477088e+21
2.932700000000e+02,2.529404933279e+21
3.033700000000e+02,2.535238554049e+21
3.311300000000e+02,2.549822605976e+21
3.976400000000e+02,2.580316532732e+21
4.054300000000e+02,2.582703013957e+21
4.134400000000e+02,2.585089495181e+21
4.304000000000e+02,2.586150153503e+21
4.393100000000e+02,2.586150153503e+21
4.485300000000e+02,2.585619824342e+21
