# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_71f9f0309a83d137c2d3"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "be58a4584920ef69358000e45c81a8bb240b34533fe20aaf0ad860c470ff9ae1"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,2.327879852107e+21
2.100000000000e-01,2.327879852107e+21
8.300000000000e-01,2.327879852107e+21
1.450000000000e+00,2.327879852107e+21
2.540000000000e+00,2.327614687527e+21
3.560000000000e+00,2.327614687527e+21
4.980000000000e+00,2.327349522946e+21
5.980000000000e+00,2.327084358366e+21
7.180000000000e+00,2.326819193785e+21
8.260000000000e+00,2.326554029205e+21
9.500000000000e+00,2.326288864625e+21
1.092000000000e+01,2.325758535464e+21
1.256000000000e+01,2.325228206303e+21
1.382000000000e+01,2.324697877142e+21
1.521000000000e+01,2.323902383400e+21
1.597000000000e+01,2.323372054239e+21
1.677000000000e+01,2.323106889659e+21
1.762000000000e+01,2.322576560498e+21
1.850000000000e+01,2.322046231337e+21
1.943000000000e+01,2.321515902176e+21
2.040000000000e+01,2.320720408434e+21
2.143000000000e+01,2.320190079273e+21
2.251000000000e+01,2.319394585532e+21
2.364000000000e+01,2.318599091790e+21
2.483000000000e+01,2.317803598049e+21
2.608000000000e+01,2.316742939727e+21
2.714000000000e+01,2.315947445985e+21
2.769000000000e+01,2.315417116824e+21
2.825000000000e+01,2.314886787664e+21
3.000000000000e+01,2.313560964761e+21
3.060000000000e+01,2.313030635600e+21
3.122000000000e+01,2.312500306439e+21
3.249000000000e+01,2.311174483537e+21
3.315000000000e+01,2.310644154376e+21
3.382000000000e+01,2.310113825215e+21
3.451000000000e+01,2.309583496054e+21
3.521000000000e+01,2.308788002312e+21
3.592000000000e+01,2.308257673151e+21
3.665000000000e+01,2.307462179410e+21
3.739000000000e+01,2.306931850249e+21
3.815000000000e+01,2.306136356507e+21
3.972000000000e+01,2.304810533605e+21
4.052000000000e+01,2.304015039863e+21
4.135000000000e+01,2.303219546122e+21
4.219000000000e+01,2.302424052381e+21
4.305000000000e+01,2.301628558639e+21
4.392000000000e+01,2.300833064898e+21
4.482000000000e+01,2.300037571156e+21
4.573000000000e+01,2.299242077415e+21
4.762000000000e+01,2.297385925351e+21
4.859000000000e+01,2.296590431610e+21
4.958000000000e+01,2.295794937868e+21
5.162000000000e+01,2.293938785805e+21
5.376000000000e+01,2.292082633741e+21
5.598000000000e+01,2.290226481678e+21
5.713000000000e+01,2.289430987937e+21
5.830000000000e+01,2.288635494195e+21
6.071000000000e+01,2.287309671293e+21
6.195000000000e+01,2.286514177551e+21
6.322000000000e+01,2.285718683810e+21
6.452000000000e+01,2.284923190068e+21
6.584000000000e+01,2.284127696327e+21
6.719000000000e+01,2.283332202585e+21
6.857000000000e+01,2.282536708844e+21
7.589000000000e+01,2.279089569298e+21
7.744000000000e+01,2.278294075556e+21
7.903000000000e+01,2.277498581815e+21
8.748000000000e+01,2.273521113107e+21
8.927000000000e+01,2.272725619366e+21
9.482000000000e+01,2.270869467302e+21
9.675000000000e+01,2.270339138141e+21
9.871000000000e+01,2.269808808980e+21
1.069100000000e+02,2.268217821498e+21
1.112600000000e+02,2.267422327756e+21
1.157800000000e+02,2.266626834015e+21
1.204900000000e+02,2.265831340273e+21
1.229000000000e+02,2.265566175693e+21
1.253700000000e+02,2.265301011112e+21
1.278900000000e+02,2.265035846532e+21
1.304500000000e+02,2.265035846532e+21
1.330600000000e+02,2.265035846532e+21
1.357300000000e+02,2.265301011112e+21
1.384500000000e+02,2.265831340273e+21
1.412200000000e+02,2.266361669434e+21
1.498500000000e+02,2.269278479819e+21
1.528300000000e+02,2.270869467302e+21
1.558800000000e+02,2.272460454785e+21
1.589800000000e+02,2.274581771429e+21
1.621300000000e+02,2.276968252654e+21
1.653500000000e+02,2.279354733878e+21
1.930400000000e+02,2.315947445985e+21
1.967300000000e+02,2.322311395917e+21
2.080700000000e+02,2.340077422810e+21
2.119200000000e+02,2.345911043581e+21
2.317100000000e+02,2.373753324532e+21
2.397300000000e+02,2.382768920269e+21
2.439000000000e+02,2.387011553556e+21
2.480200000000e+02,2.389398034781e+21
2.522400000000e+02,2.392580009747e+21
2.564900000000e+02,2.395761984712e+21
2.607900000000e+02,2.398413630517e+21
2.651300000000e+02,2.400800111742e+21
2.695200000000e+02,2.403186592966e+21
2.738800000000e+02,2.405307909610e+21
2.827400000000e+02,2.409550542898e+21
3.011900000000e+02,2.418300974054e+21
3.059800000000e+02,2.421482949020e+21
3.108100000000e+02,2.424930088566e+21
3.584900000000e+02,2.468682244347e+21
3.965400000000e+02,2.498380677361e+21
4.035600000000e+02,2.503949133552e+21
4.108200000000e+02,2.509782754322e+21
4.259700000000e+02,2.521449995864e+21
4.339900000000e+02,2.526222958313e+21
4.422500000000e+02,2.530730756181e+21
4.507900000000e+02,2.534443060308e+21
4.596400000000e+02,2.537890199854e+21
4.687000000000e+02,2.541602503981e+21
4.781500000000e+02,2.543988985205e+21
4.879200000000e+02,2.545845137269e+21
4.980300000000e+02,2.547170960171e+21
5.084700000000e+02,2.547966453913e+21
5.193000000000e+02,2.547701289332e+21
5.304700000000e+02,2.547436124752e+21
5.420300000000e+02,2.545845137269e+21
5.539700000000e+02,2.543988985205e+21
5.663400000000e+02,2.541337339401e+21
5.791100000000e+02,2.538155364435e+21
5.925100000000e+02,2.534177895727e+21
6.059200000000e+02,2.529670097859e+21
6.200100000000e+02,2.524101641669e+21
6.345600000000e+02,2.518268020898e+21
6.495900000000e+02,2.511638906386e+21
6.651400000000e+02,2.504479462713e+21
6.811700000000e+02,2.496789689879e+21
6.976700000000e+02,2.488569587883e+21
7.147400000000e+02,2.479819156727e+21
7.322900000000e+02,2.471068725571e+21
7.504200000000e+02,2.461257636093e+21
7.691200000000e+02,2.451446546615e+21
7.883800000000e+02,2.441105127976e+21
8.082100000000e+02,2.430233380176e+21
8.286800000000e+02,2.419361632376e+21
8.499500000000e+02,2.407164061673e+21
8.717900000000e+02,2.394966490971e+21
8.939700000000e+02,2.383829578590e+21
9.169400000000e+02,2.371897172469e+21
9.407300000000e+02,2.359169272605e+21
9.900000000000e+02,2.334508966620e+21
1.015430000000e+03,2.322841725078e+21
1.041540000000e+03,2.311174483537e+21
1.096960000000e+03,2.284658025488e+21
