# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a8d80b7b9620b3756f9c"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "61103161809543a8b846de9bd6f7162dddf9849a34a830ad2709e6d4b9fe7b34"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,7.980000000000e+19
3.000000000000e-01,7.980000000000e+19
1.200000000000e+00,7.980000000000e+19
2.090000000000e+00,7.980000000000e+19
3.670000000000e+00,7.990000000000e+19
5.130000000000e+00,8.010000000000e+19
7.180000000000e+00,8.040000000000e+19
8.620000000000e+00,8.060000000000e+19
1.035000000000e+01,8.100000000000e+19
1.190000000000e+01,8.140000000000e+19
1.369000000000e+01,8.190000000000e+19
1.574000000000e+01,8.260000000000e+19
1.811000000000e+01,8.350000000000e+19
1.992000000000e+01,8.430000000000e+19
2.192000000000e+01,8.530000000000e+19
2.417000000000e+01,8.640000000000e+19
2.800000000000e+01,8.870000000000e+19
2.940000000000e+01,8.960000000000e+19
3.088000000000e+01,9.070000000000e+19
3.243000000000e+01,9.180000000000e+19
3.577000000000e+01,9.440000000000e+19
3.757000000000e+01,9.590000000000e+19
3.833000000000e+01,9.660000000000e+19
3.910000000000e+01,9.730000000000e+19
3.989000000000e+01,9.800000000000e+19
4.069000000000e+01,9.870000000000e+19
4.320000000000e+01,1.012000000000e+20
4.407000000000e+01,1.020000000000e+20
4.496000000000e+01,1.030000000000e+20
4.586000000000e+01,1.039000000000e+20
4.869000000000e+01,1.069000000000e+20
4.967000000000e+01,1.080000000000e+20
5.067000000000e+01,1.092000000000e+20
5.380000000000e+01,1.130000000000e+20
5.489000000000e+01,1.143000000000e+20
5.599000000000e+01,1.158000000000e+20
5.712000000000e+01,1.173000000000e+20
6.569000000000e+01,1.296000000000e+20
6.702000000000e+01,1.317000000000e+20
6.837000000000e+01,1.338000000000e+20
6.975000000000e+01,1.361000000000e+20
7.115000000000e+01,1.384000000000e+20
7.259000000000e+01,1.408000000000e+20
7.405000000000e+01,1.433000000000e+20
7.707000000000e+01,1.487000000000e+20
