# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_00d977a41a0cdd910481"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "59c8584c3ed47e80435a39287ed6396e43baf22fdd897c4d56a29784a4b09f29"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,4.040000000000e+19
2.100000000000e-01,4.040000000000e+19
8.300000000000e-01,4.050000000000e+19
1.460000000000e+00,4.050000000000e+19
2.560000000000e+00,4.050000000000e+19
3.580000000000e+00,4.060000000000e+19
5.010000000000e+00,4.070000000000e+19
6.010000000000e+00,4.090000000000e+19
7.220000000000e+00,4.110000000000e+19
8.300000000000e+00,4.130000000000e+19
9.550000000000e+00,4.150000000000e+19
1.098000000000e+01,4.190000000000e+19
1.263000000000e+01,4.240000000000e+19
1.389000000000e+01,4.280000000000e+19
1.529000000000e+01,4.320000000000e+19
1.605000000000e+01,4.350000000000e+19
1.686000000000e+01,4.380000000000e+19
1.771000000000e+01,4.420000000000e+19
1.859000000000e+01,4.460000000000e+19
1.953000000000e+01,4.500000000000e+19
2.051000000000e+01,4.540000000000e+19
2.154000000000e+01,4.590000000000e+19
2.262000000000e+01,4.650000000000e+19
2.376000000000e+01,4.710000000000e+19
2.496000000000e+01,4.780000000000e+19
2.621000000000e+01,4.850000000000e+19
2.674000000000e+01,4.880000000000e+19
2.728000000000e+01,4.920000000000e+19
2.783000000000e+01,4.950000000000e+19
2.839000000000e+01,4.990000000000e+19
2.897000000000e+01,5.020000000000e+19
2.955000000000e+01,5.060000000000e+19
3.015000000000e+01,5.100000000000e+19
3.076000000000e+01,5.150000000000e+19
3.138000000000e+01,5.190000000000e+19
3.201000000000e+01,5.240000000000e+19
3.266000000000e+01,5.290000000000e+19
3.332000000000e+01,5.330000000000e+19
3.400000000000e+01,5.390000000000e+19
3.469000000000e+01,5.440000000000e+19
3.539000000000e+01,5.500000000000e+19
3.611000000000e+01,5.550000000000e+19
3.684000000000e+01,5.610000000000e+19
3.758000000000e+01,5.680000000000e+19
