# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_49ebd4b681f7a8ff894a"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "59c8584c3ed47e80435a39287ed6396e43baf22fdd897c4d56a29784a4b09f29"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,7.940000000000e+19
3.000000000000e-01,7.940000000000e+19
1.200000000000e+00,7.940000000000e+19
2.110000000000e+00,7.940000000000e+19
3.680000000000e+00,7.950000000000e+19
5.160000000000e+00,7.970000000000e+19
7.220000000000e+00,8.000000000000e+19
8.670000000000e+00,8.020000000000e+19
1.040000000000e+01,8.060000000000e+19
1.196000000000e+01,8.100000000000e+19
1.376000000000e+01,8.150000000000e+19
1.582000000000e+01,8.220000000000e+19
1.820000000000e+01,8.310000000000e+19
2.003000000000e+01,8.390000000000e+19
2.203000000000e+01,8.480000000000e+19
2.314000000000e+01,8.540000000000e+19
2.430000000000e+01,8.600000000000e+19
2.552000000000e+01,8.670000000000e+19
2.680000000000e+01,8.750000000000e+19
2.814000000000e+01,8.830000000000e+19
2.955000000000e+01,8.920000000000e+19
3.104000000000e+01,9.020000000000e+19
3.260000000000e+01,9.130000000000e+19
3.424000000000e+01,9.260000000000e+19
3.596000000000e+01,9.400000000000e+19
3.777000000000e+01,9.550000000000e+19
3.853000000000e+01,9.610000000000e+19
3.930000000000e+01,9.680000000000e+19
4.009000000000e+01,9.750000000000e+19
4.090000000000e+01,9.830000000000e+19
4.172000000000e+01,9.900000000000e+19
4.256000000000e+01,9.980000000000e+19
4.519000000000e+01,1.025000000000e+20
4.610000000000e+01,1.034000000000e+20
4.703000000000e+01,1.044000000000e+20
4.797000000000e+01,1.054000000000e+20
4.894000000000e+01,1.064000000000e+20
4.992000000000e+01,1.075000000000e+20
5.301000000000e+01,1.111000000000e+20
5.517000000000e+01,1.138000000000e+20
5.628000000000e+01,1.153000000000e+20
5.741000000000e+01,1.167000000000e+20
5.857000000000e+01,1.183000000000e+20
5.975000000000e+01,1.199000000000e+20
6.096000000000e+01,1.216000000000e+20
6.344000000000e+01,1.252000000000e+20
6.472000000000e+01,1.271000000000e+20
6.603000000000e+01,1.291000000000e+20
6.736000000000e+01,1.311000000000e+20
6.872000000000e+01,1.333000000000e+20
7.010000000000e+01,1.355000000000e+20
7.152000000000e+01,1.378000000000e+20
7.296000000000e+01,1.402000000000e+20
7.593000000000e+01,1.453000000000e+20
7.746000000000e+01,1.480000000000e+20
7.902000000000e+01,1.509000000000e+20
8.389000000000e+01,1.600000000000e+20
8.558000000000e+01,1.633000000000e+20
8.906000000000e+01,1.703000000000e+20
9.267000000000e+01,1.778000000000e+20
9.453000000000e+01,1.818000000000e+20
9.837000000000e+01,1.904000000000e+20
1.023500000000e+02,1.996000000000e+20
1.044100000000e+02,2.045000000000e+20
1.108400000000e+02,2.208000000000e+20
1.130700000000e+02,2.267000000000e+20
1.153300000000e+02,2.330000000000e+20
1.176500000000e+02,2.396000000000e+20
1.223800000000e+02,2.538000000000e+20
