# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4b79e484499f95ac3e67"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6df68edce0a6e6620028960a0ff99df24c710cc9185ed2e59f81fffe3f838b7e"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,2.315947445985e+21
2.100000000000e-01,2.315947445985e+21
8.300000000000e-01,2.315947445985e+21
1.460000000000e+00,2.315947445985e+21
2.560000000000e+00,2.315947445985e+21
3.580000000000e+00,2.315682281405e+21
5.010000000000e+00,2.315417116824e+21
6.010000000000e+00,2.315417116824e+21
7.220000000000e+00,2.315151952244e+21
8.300000000000e+00,2.314886787664e+21
9.550000000000e+00,2.314356458503e+21
1.098000000000e+01,2.313826129342e+21
1.263000000000e+01,2.313295800181e+21
1.389000000000e+01,2.312765471020e+21
1.529000000000e+01,2.311969977278e+21
1.605000000000e+01,2.311704812698e+21
1.686000000000e+01,2.311174483537e+21
1.771000000000e+01,2.310644154376e+21
1.859000000000e+01,2.310113825215e+21
1.953000000000e+01,2.309583496054e+21
2.051000000000e+01,2.309053166893e+21
2.154000000000e+01,2.308257673151e+21
2.262000000000e+01,2.307462179410e+21
2.376000000000e+01,2.306666685668e+21
2.496000000000e+01,2.305871191927e+21
2.621000000000e+01,2.304810533605e+21
2.674000000000e+01,2.304545369024e+21
2.728000000000e+01,2.304015039863e+21
2.783000000000e+01,2.303484710703e+21
2.839000000000e+01,2.303219546122e+21
2.897000000000e+01,2.302689216961e+21
2.955000000000e+01,2.302158887800e+21
3.015000000000e+01,2.301628558639e+21
3.076000000000e+01,2.301098229478e+21
3.138000000000e+01,2.300567900317e+21
3.201000000000e+01,2.300037571156e+21
3.266000000000e+01,2.299507241995e+21
3.332000000000e+01,2.298976912834e+21
3.400000000000e+01,2.298181419093e+21
3.469000000000e+01,2.297651089932e+21
3.539000000000e+01,2.297120760771e+21
3.611000000000e+01,2.296325267029e+21
3.684000000000e+01,2.295794937868e+21
3.758000000000e+01,2.294999444127e+21
3.835000000000e+01,2.294469114966e+21
3.913000000000e+01,2.293673621224e+21
3.992000000000e+01,2.292878127483e+21
4.073000000000e+01,2.292082633741e+21
4.156000000000e+01,2.291287140000e+21
4.415000000000e+01,2.288900658776e+21
4.505000000000e+01,2.288105165034e+21
4.597000000000e+01,2.287309671293e+21
4.690000000000e+01,2.286514177551e+21
4.786000000000e+01,2.285718683810e+21
4.884000000000e+01,2.284923190068e+21
4.983000000000e+01,2.284127696327e+21
5.189000000000e+01,2.282271544263e+21
5.295000000000e+01,2.281476050522e+21
5.403000000000e+01,2.280415392200e+21
5.514000000000e+01,2.279619898459e+21
5.627000000000e+01,2.278559240137e+21
5.742000000000e+01,2.277763746395e+21
5.980000000000e+01,2.276437923493e+21
6.102000000000e+01,2.275642429751e+21
6.227000000000e+01,2.274846936010e+21
6.355000000000e+01,2.274051442268e+21
6.485000000000e+01,2.273255948527e+21
6.618000000000e+01,2.272460454785e+21
6.754000000000e+01,2.271664961044e+21
6.892000000000e+01,2.271134631883e+21
7.033000000000e+01,2.270339138141e+21
7.178000000000e+01,2.269543644400e+21
7.325000000000e+01,2.268748150659e+21
7.475000000000e+01,2.267952656917e+21
7.945000000000e+01,2.265566175693e+21
8.792000000000e+01,2.261853871566e+21
8.972000000000e+01,2.261058377824e+21
9.155000000000e+01,2.260528048663e+21
9.341000000000e+01,2.259997719502e+21
9.724000000000e+01,2.258671896600e+21
9.922000000000e+01,2.258141567439e+21
1.012200000000e+02,2.257611238278e+21
1.096200000000e+02,2.256285415376e+21
1.118300000000e+02,2.256020250795e+21
1.140800000000e+02,2.255489921634e+21
1.163800000000e+02,2.254959592473e+21
1.187200000000e+02,2.254694427893e+21
1.211000000000e+02,2.254164098732e+21
1.235300000000e+02,2.253898934151e+21
1.260100000000e+02,2.253898934151e+21
1.285400000000e+02,2.253633769571e+21
1.311200000000e+02,2.253633769571e+21
1.337500000000e+02,2.253633769571e+21
1.364200000000e+02,2.253633769571e+21
1.391600000000e+02,2.254164098732e+21
1.419400000000e+02,2.254694427893e+21
1.447800000000e+02,2.255489921634e+21
1.506200000000e+02,2.257611238278e+21
1.536200000000e+02,2.259202225761e+21
1.566800000000e+02,2.261058377824e+21
1.597900000000e+02,2.262914529888e+21
1.629600000000e+02,2.265566175693e+21
1.662000000000e+02,2.267687492337e+21
1.694800000000e+02,2.270339138141e+21
1.799800000000e+02,2.280680556781e+21
1.871500000000e+02,2.288900658776e+21
1.908100000000e+02,2.293143292063e+21
2.016600000000e+02,2.307197014829e+21
2.287700000000e+02,2.356517626800e+21
2.328100000000e+02,2.362616412151e+21
2.409200000000e+02,2.371366843308e+21
2.451300000000e+02,2.374018489112e+21
2.493200000000e+02,2.377465628659e+21
2.535400000000e+02,2.380382439044e+21
