# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b83268bbfb87c609446e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 222.018, &alpha; = 5.102."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "fa30a87de9397ea17b9cd19f6054319a469a675be7988efa0dccfee7c6aa9842"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,5.910000000000e+19
2.600000000000e-01,5.910000000000e+19
1.050000000000e+00,5.910000000000e+19
1.840000000000e+00,5.910000000000e+19
3.210000000000e+00,5.920000000000e+19
4.500000000000e+00,5.930000000000e+19
6.300000000000e+00,5.950000000000e+19
7.560000000000e+00,5.970000000000e+19
9.080000000000e+00,6.000000000000e+19
1.044000000000e+01,6.030000000000e+19
1.201000000000e+01,6.060000000000e+19
1.381000000000e+01,6.110000000000e+19
1.589000000000e+01,6.180000000000e+19
1.748000000000e+01,6.230000000000e+19
1.924000000000e+01,6.300000000000e+19
2.020000000000e+01,6.340000000000e+19
2.229000000000e+01,6.430000000000e+19
2.341000000000e+01,6.490000000000e+19
2.458000000000e+01,6.540000000000e+19
2.582000000000e+01,6.610000000000e+19
2.712000000000e+01,6.680000000000e+19
2.993000000000e+01,6.840000000000e+19
3.144000000000e+01,6.930000000000e+19
3.303000000000e+01,7.040000000000e+19
3.438000000000e+01,7.120000000000e+19
3.579000000000e+01,7.220000000000e+19
3.652000000000e+01,7.270000000000e+19
3.726000000000e+01,7.330000000000e+19
3.801000000000e+01,7.380000000000e+19
3.879000000000e+01,7.440000000000e+19
4.038000000000e+01,7.560000000000e+19
4.290000000000e+01,7.760000000000e+19
4.377000000000e+01,7.830000000000e+19
4.467000000000e+01,7.910000000000e+19
4.558000000000e+01,7.980000000000e+19
4.843000000000e+01,8.230000000000e+19
5.044000000000e+01,8.410000000000e+19
5.148000000000e+01,8.510000000000e+19
5.253000000000e+01,8.610000000000e+19
5.472000000000e+01,8.820000000000e+19
5.585000000000e+01,8.930000000000e+19
5.700000000000e+01,9.050000000000e+19
5.818000000000e+01,9.170000000000e+19
5.938000000000e+01,9.290000000000e+19
6.186000000000e+01,9.550000000000e+19
6.315000000000e+01,9.690000000000e+19
6.446000000000e+01,9.840000000000e+19
6.580000000000e+01,9.980000000000e+19
6.717000000000e+01,1.014000000000e+20
6.857000000000e+01,1.030000000000e+20
7.000000000000e+01,1.046000000000e+20
7.147000000000e+01,1.063000000000e+20
7.296000000000e+01,1.081000000000e+20
7.449000000000e+01,1.100000000000e+20
