# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8f5ad025ae43b302ad09"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P3/2)^+"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 21:04:22"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "fc60d6378236be3967a1b0b432f63a369e555e9ea286e0d889f1c1c4c266db3e"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,5.709258582495e+21
1.600000000000e-01,5.709258582495e+21
6.200000000000e-01,5.709258582495e+21
1.090000000000e+00,5.709258582495e+21
1.910000000000e+00,5.708993417915e+21
2.670000000000e+00,5.708463088754e+21
3.740000000000e+00,5.707932759593e+21
4.490000000000e+00,5.707137265851e+21
5.390000000000e+00,5.706076607529e+21
6.200000000000e+00,5.705015949207e+21
7.130000000000e+00,5.703690126305e+21
8.200000000000e+00,5.702099138822e+21
9.430000000000e+00,5.699712657598e+21
1.038000000000e+01,5.697591340954e+21
1.142000000000e+01,5.695204859729e+21
1.199000000000e+01,5.693879036827e+21
1.260000000000e+01,5.692288049344e+21
1.323000000000e+01,5.690431897280e+21
1.389000000000e+01,5.688575745217e+21
1.459000000000e+01,5.686454428573e+21
1.533000000000e+01,5.684333111929e+21
1.610000000000e+01,5.681946630705e+21
1.691000000000e+01,5.679029820319e+21
1.777000000000e+01,5.676113009934e+21
1.867000000000e+01,5.672931034968e+21
1.961000000000e+01,5.669483895422e+21
2.001000000000e+01,5.667892907939e+21
2.041000000000e+01,5.666301920456e+21
2.083000000000e+01,5.664710932973e+21
2.125000000000e+01,5.662854780910e+21
2.168000000000e+01,5.661263793427e+21
2.212000000000e+01,5.659407641363e+21
2.257000000000e+01,5.657551489300e+21
2.303000000000e+01,5.655695337237e+21
2.350000000000e+01,5.654104349754e+21
2.397000000000e+01,5.651983033110e+21
2.446000000000e+01,5.649861716466e+21
2.496000000000e+01,5.647740399822e+21
2.547000000000e+01,5.645619083178e+21
2.599000000000e+01,5.643232601954e+21
2.652000000000e+01,5.640846120729e+21
2.706000000000e+01,5.638194474924e+21
2.761000000000e+01,5.635807993700e+21
2.818000000000e+01,5.633156347895e+21
2.876000000000e+01,5.630504702090e+21
2.934000000000e+01,5.627853056285e+21
2.995000000000e+01,5.624936245900e+21
3.056000000000e+01,5.622284600095e+21
3.119000000000e+01,5.619367789710e+21
3.183000000000e+01,5.616450979324e+21
3.248000000000e+01,5.613534168939e+21
3.315000000000e+01,5.610352193973e+21
3.383000000000e+01,5.607700548168e+21
3.453000000000e+01,5.603988244041e+21
3.524000000000e+01,5.600806269075e+21
3.596000000000e+01,5.597359129529e+21
