# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_54591337fe89d2faedbf"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "28Si^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_002_1021_1021/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "874805eb69102a9e42079caf4777a341ed1131b7c8321cef33663bb008631acc"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.874850014677e+21
2.000000000000e-01,3.874850014677e+21
7.900000000000e-01,3.874850014677e+21
1.390000000000e+00,3.874850014677e+21
2.430000000000e+00,3.874584850096e+21
3.410000000000e+00,3.874319685516e+21
4.770000000000e+00,3.873789356355e+21
5.730000000000e+00,3.873259027194e+21
6.870000000000e+00,3.872463533452e+21
7.910000000000e+00,3.871668039711e+21
9.090000000000e+00,3.870607381389e+21
1.046000000000e+01,3.869281558486e+21
1.203000000000e+01,3.867425406423e+21
1.324000000000e+01,3.865834418940e+21
1.457000000000e+01,3.863978266877e+21
1.530000000000e+01,3.862917608555e+21
1.863000000000e+01,3.857083987784e+21
2.159000000000e+01,3.851250367013e+21
2.268000000000e+01,3.848863885789e+21
2.383000000000e+01,3.846212239984e+21
2.504000000000e+01,3.843560594179e+21
2.554000000000e+01,3.842234771277e+21
2.606000000000e+01,3.840908948374e+21
2.659000000000e+01,3.839583125472e+21
2.713000000000e+01,3.838257302569e+21
2.825000000000e+01,3.835340492184e+21
2.882000000000e+01,3.833749504701e+21
2.941000000000e+01,3.832158517218e+21
3.001000000000e+01,3.830567529735e+21
3.062000000000e+01,3.828711377672e+21
3.188000000000e+01,3.824999073545e+21
3.253000000000e+01,3.823142921481e+21
3.320000000000e+01,3.821286769418e+21
3.388000000000e+01,3.819165452774e+21
3.458000000000e+01,3.817044136130e+21
3.528000000000e+01,3.814657654906e+21
3.601000000000e+01,3.812536338262e+21
3.675000000000e+01,3.810149857037e+21
3.751000000000e+01,3.807763375813e+21
3.828000000000e+01,3.805111730008e+21
3.907000000000e+01,3.802460084203e+21
3.988000000000e+01,3.799808438398e+21
4.070000000000e+01,3.796891628013e+21
4.154000000000e+01,3.793974817628e+21
4.240000000000e+01,3.791058007242e+21
4.328000000000e+01,3.787876032276e+21
4.418000000000e+01,3.784694057311e+21
4.510000000000e+01,3.781512082345e+21
4.604000000000e+01,3.778064942798e+21
4.700000000000e+01,3.774352638672e+21
4.798000000000e+01,3.770905499125e+21
4.899000000000e+01,3.766928030418e+21
5.002000000000e+01,3.763215726291e+21
5.107000000000e+01,3.759238257584e+21
5.214000000000e+01,3.754995624296e+21
5.324000000000e+01,3.750752991008e+21
5.436000000000e+01,3.746510357720e+21
5.551000000000e+01,3.742002559852e+21
5.669000000000e+01,3.737494761984e+21
5.789000000000e+01,3.732721799535e+21
5.912000000000e+01,3.727683672506e+21
6.038000000000e+01,3.722645545476e+21
6.167000000000e+01,3.717607418447e+21
