# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_81d9976daf52f566bd1e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_002_1021_1021/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "4293aa19ad992d0e497beb075a7e7d626ea0e8943cecccf27711116040055cd0"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,1.648000000000e+20
2.600000000000e-01,1.648000000000e+20
1.050000000000e+00,1.649000000000e+20
1.840000000000e+00,1.649000000000e+20
4.520000000000e+00,1.653000000000e+20
6.330000000000e+00,1.658000000000e+20
7.590000000000e+00,1.663000000000e+20
1.048000000000e+01,1.676000000000e+20
1.206000000000e+01,1.685000000000e+20
1.597000000000e+01,1.712000000000e+20
1.757000000000e+01,1.726000000000e+20
1.934000000000e+01,1.742000000000e+20
2.032000000000e+01,1.751000000000e+20
2.242000000000e+01,1.773000000000e+20
2.355000000000e+01,1.786000000000e+20
2.599000000000e+01,1.814000000000e+20
2.869000000000e+01,1.849000000000e+20
3.015000000000e+01,1.869000000000e+20
3.169000000000e+01,1.891000000000e+20
3.398000000000e+01,1.926000000000e+20
3.467000000000e+01,1.937000000000e+20
3.538000000000e+01,1.948000000000e+20
3.611000000000e+01,1.960000000000e+20
3.837000000000e+01,1.997000000000e+20
3.916000000000e+01,2.011000000000e+20
3.996000000000e+01,2.025000000000e+20
4.163000000000e+01,2.055000000000e+20
4.248000000000e+01,2.070000000000e+20
4.336000000000e+01,2.087000000000e+20
4.426000000000e+01,2.103000000000e+20
4.611000000000e+01,2.139000000000e+20
4.706000000000e+01,2.158000000000e+20
4.903000000000e+01,2.198000000000e+20
5.005000000000e+01,2.219000000000e+20
5.110000000000e+01,2.241000000000e+20
5.216000000000e+01,2.264000000000e+20
5.325000000000e+01,2.287000000000e+20
5.437000000000e+01,2.312000000000e+20
5.550000000000e+01,2.337000000000e+20
5.667000000000e+01,2.363000000000e+20
5.786000000000e+01,2.391000000000e+20
5.908000000000e+01,2.419000000000e+20
6.032000000000e+01,2.449000000000e+20
6.160000000000e+01,2.480000000000e+20
6.290000000000e+01,2.512000000000e+20
6.423000000000e+01,2.544000000000e+20
6.559000000000e+01,2.580000000000e+20
6.699000000000e+01,2.616000000000e+20
6.841000000000e+01,2.654000000000e+20
6.987000000000e+01,2.693000000000e+20
7.137000000000e+01,2.732000000000e+20
7.289000000000e+01,2.777000000000e+20
7.446000000000e+01,2.824000000000e+20
7.606000000000e+01,2.871000000000e+20
7.769000000000e+01,2.908000000000e+20
7.937000000000e+01,2.959000000000e+20
8.108000000000e+01,3.011000000000e+20
8.284000000000e+01,3.066000000000e+20
8.463000000000e+01,3.124000000000e+20
8.647000000000e+01,3.186000000000e+20
8.835000000000e+01,3.250000000000e+20
9.028000000000e+01,3.319000000000e+20
9.224000000000e+01,3.392000000000e+20
9.631000000000e+01,3.552000000000e+20
9.842000000000e+01,3.639000000000e+20
1.005800000000e+02,3.733000000000e+20
1.027800000000e+02,3.834000000000e+20
1.073300000000e+02,4.056000000000e+20
1.096800000000e+02,4.183000000000e+20
1.120900000000e+02,4.319000000000e+20
1.170900000000e+02,4.632000000000e+20
1.359900000000e+02,5.840000000000e+20
1.388800000000e+02,6.114000000000e+20
1.418400000000e+02,6.421000000000e+20
1.448200000000e+02,6.758000000000e+20
1.478500000000e+02,7.139000000000e+20
1.509600000000e+02,7.557000000000e+20
1.541000000000e+02,8.031000000000e+20
1.572300000000e+02,8.544000000000e+20
1.603800000000e+02,9.111000000000e+20
1.635600000000e+02,9.754000000000e+20
1.667700000000e+02,1.047000000000e+21
1.699900000000e+02,1.125600000000e+21
1.731800000000e+02,1.210200000000e+21
1.763600000000e+02,1.300400000000e+21
1.795100000000e+02,1.398100000000e+21
1.826500000000e+02,1.500100000000e+21
1.857700000000e+02,1.607800000000e+21
1.888800000000e+02,1.718900000000e+21
1.919800000000e+02,1.833600000000e+21
1.950500000000e+02,1.949500000000e+21
1.981200000000e+02,2.067700000000e+21
2.012300000000e+02,2.187600000000e+21
2.042700000000e+02,2.309100000000e+21
2.073500000000e+02,2.426300000000e+21
2.104600000000e+02,2.546800000000e+21
2.135600000000e+02,2.653300000000e+21
2.166900000000e+02,2.779700000000e+21
2.198500000000e+02,2.899200000000e+21
