# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6165cc74ccb4de035b58"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_004_2132_2132/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "620a0ec0afa707bdc749075f97a7918b1d6fc67182ea08a032838c22fcc4477d"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,3.867160241842e+21
2.600000000000e-01,3.867160241842e+21
1.030000000000e+00,3.867160241842e+21
1.800000000000e+00,3.867160241842e+21
3.150000000000e+00,3.867160241842e+21
4.410000000000e+00,3.867160241842e+21
6.170000000000e+00,3.867160241842e+21
7.400000000000e+00,3.867160241842e+21
8.880000000000e+00,3.867160241842e+21
1.021000000000e+01,3.867160241842e+21
1.175000000000e+01,3.867160241842e+21
1.351000000000e+01,3.867160241842e+21
1.553000000000e+01,3.867425406423e+21
1.709000000000e+01,3.867425406423e+21
1.880000000000e+01,3.867425406423e+21
1.974000000000e+01,3.867425406423e+21
2.072000000000e+01,3.867425406423e+21
2.176000000000e+01,3.867690571003e+21
2.285000000000e+01,3.867690571003e+21
2.399000000000e+01,3.867690571003e+21
2.519000000000e+01,3.867690571003e+21
2.645000000000e+01,3.867955735584e+21
2.777000000000e+01,3.867955735584e+21
2.915000000000e+01,3.867955735584e+21
3.061000000000e+01,3.868220900164e+21
3.214000000000e+01,3.868220900164e+21
3.278000000000e+01,3.868220900164e+21
3.344000000000e+01,3.868486064745e+21
3.411000000000e+01,3.868486064745e+21
3.479000000000e+01,3.868486064745e+21
3.548000000000e+01,3.868486064745e+21
3.619000000000e+01,3.868486064745e+21
3.692000000000e+01,3.868486064745e+21
3.765000000000e+01,3.868751229325e+21
3.841000000000e+01,3.868751229325e+21
3.917000000000e+01,3.868751229325e+21
3.996000000000e+01,3.868751229325e+21
4.076000000000e+01,3.868751229325e+21
4.157000000000e+01,3.868751229325e+21
4.240000000000e+01,3.868751229325e+21
4.325000000000e+01,3.868751229325e+21
4.411000000000e+01,3.868751229325e+21
4.499000000000e+01,3.868751229325e+21
4.589000000000e+01,3.868751229325e+21
4.681000000000e+01,3.868751229325e+21
4.775000000000e+01,3.868751229325e+21
4.870000000000e+01,3.868751229325e+21
4.967000000000e+01,3.868751229325e+21
5.067000000000e+01,3.868486064745e+21
5.168000000000e+01,3.868486064745e+21
5.271000000000e+01,3.868486064745e+21
5.376000000000e+01,3.868220900164e+21
5.484000000000e+01,3.868220900164e+21
5.594000000000e+01,3.867955735584e+21
5.705000000000e+01,3.867955735584e+21
5.820000000000e+01,3.867690571003e+21
5.936000000000e+01,3.867425406423e+21
6.055000000000e+01,3.867160241842e+21
6.176000000000e+01,3.866895077262e+21
6.300000000000e+01,3.866364748101e+21
6.426000000000e+01,3.866364748101e+21
6.554000000000e+01,3.865834418940e+21
6.686000000000e+01,3.864773760618e+21
6.820000000000e+01,3.864243431457e+21
6.957000000000e+01,3.863713102296e+21
7.096000000000e+01,3.863182773135e+21
7.239000000000e+01,3.862652443974e+21
7.385000000000e+01,3.862122114813e+21
7.533000000000e+01,3.861326621072e+21
7.685000000000e+01,3.860796291911e+21
7.839000000000e+01,3.860265962750e+21
7.997000000000e+01,3.859735633589e+21
8.159000000000e+01,3.858940139847e+21
8.323000000000e+01,3.858409810686e+21
8.491000000000e+01,3.858144646106e+21
8.663000000000e+01,3.857349152364e+21
8.838000000000e+01,3.857083987784e+21
9.017000000000e+01,3.856818823203e+21
9.200000000000e+01,3.855758164881e+21
9.386000000000e+01,3.855758164881e+21
9.577000000000e+01,3.855758164881e+21
9.771000000000e+01,3.856023329462e+21
9.969000000000e+01,3.856288494042e+21
1.017300000000e+02,3.856553658623e+21
1.038300000000e+02,3.856023329462e+21
1.059400000000e+02,3.856818823203e+21
1.081000000000e+02,3.857614316945e+21
1.103000000000e+02,3.859205304428e+21
1.125400000000e+02,3.860796291911e+21
1.148100000000e+02,3.863447937716e+21
1.171200000000e+02,3.866629912681e+21
1.194700000000e+02,3.870342216808e+21
1.218500000000e+02,3.874850014677e+21
1.242900000000e+02,3.879092647964e+21
1.345000000000e+02,3.900570978984e+21
1.371800000000e+02,3.906139435174e+21
1.398700000000e+02,3.912768549686e+21
1.426000000000e+02,3.920458322521e+21
1.453500000000e+02,3.928148095355e+21
1.481500000000e+02,3.935837868189e+21
1.509900000000e+02,3.943792805604e+21
1.538600000000e+02,3.951747743018e+21
1.567500000000e+02,3.959967845013e+21
1.596700000000e+02,3.968187947009e+21
1.626100000000e+02,3.976673213584e+21
1.655900000000e+02,3.984893315579e+21
2.000500000000e+02,4.060200056438e+21
2.033700000000e+02,4.065503348048e+21
2.067200000000e+02,4.071336968818e+21
2.101100000000e+02,4.076905425009e+21
2.135300000000e+02,4.082473881199e+21
2.169800000000e+02,4.087512008228e+21
2.205200000000e+02,4.093080464419e+21
2.240200000000e+02,4.098648920609e+21
2.275900000000e+02,4.105543199701e+21
2.312100000000e+02,4.112702643375e+21
2.464100000000e+02,4.139749430584e+21
2.503200000000e+02,4.148234697160e+21
2.543400000000e+02,4.156454799155e+21
2.584500000000e+02,4.164940065731e+21
2.669300000000e+02,4.182971257204e+21
2.713500000000e+02,4.191986852941e+21
2.759000000000e+02,4.200737284097e+21
2.805300000000e+02,4.210548373575e+21
2.853000000000e+02,4.220359463053e+21
3.170200000000e+02,4.276044024956e+21
3.228400000000e+02,4.285324785273e+21
3.289500000000e+02,4.292219064365e+21
3.483500000000e+02,4.310515420419e+21
3.552600000000e+02,4.315023218287e+21
3.624000000000e+02,4.318470357834e+21
3.698100000000e+02,4.320326509897e+21
3.773900000000e+02,4.322447826541e+21
3.852900000000e+02,4.322712991121e+21
3.933400000000e+02,4.323508484863e+21
4.017700000000e+02,4.321652332800e+21
4.104500000000e+02,4.319000686995e+21
4.194000000000e+02,4.315553547448e+21
4.287000000000e+02,4.309985091258e+21
4.382200000000e+02,4.304681799648e+21
4.481100000000e+02,4.297522355975e+21
4.582900000000e+02,4.289832583141e+21
4.687800000000e+02,4.281347316565e+21
4.796400000000e+02,4.271536227087e+21
4.907800000000e+02,4.261194808448e+21
5.023300000000e+02,4.249527566907e+21
5.142000000000e+02,4.237064831624e+21
5.264700000000e+02,4.224071767180e+21
5.390700000000e+02,4.210548373575e+21
5.520800000000e+02,4.195964321648e+21
5.654800000000e+02,4.180849940560e+21
5.792800000000e+02,4.165205230311e+21
5.935100000000e+02,4.148499861741e+21
6.080900000000e+02,4.132059657750e+21
6.231000000000e+02,4.115089124599e+21
6.386100000000e+02,4.097057933126e+21
6.545000000000e+02,4.079291906233e+21
6.708900000000e+02,4.060730385599e+21
6.876600000000e+02,4.042434029545e+21
7.048200000000e+02,4.024668002653e+21
7.227900000000e+02,4.003720000794e+21
7.410500000000e+02,3.984362986418e+21
7.598200000000e+02,3.964740807462e+21
7.790800000000e+02,3.945118628506e+21
7.988700000000e+02,3.925496449550e+21
8.192200000000e+02,3.905343941433e+21
8.400900000000e+02,3.885191433316e+21
8.614900000000e+02,3.865304089779e+21
8.834400000000e+02,3.845681910823e+21
9.060200000000e+02,3.825529402706e+21
9.291700000000e+02,3.805376894589e+21
9.528900000000e+02,3.785489551052e+21
9.771800000000e+02,3.765867372096e+21
