# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a573b180f4b1d7795b2a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_004_2132_2132/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "620a0ec0afa707bdc749075f97a7918b1d6fc67182ea08a032838c22fcc4477d"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.893941864472e+21
1.600000000000e-01,3.893941864472e+21
6.500000000000e-01,3.893941864472e+21
1.130000000000e+00,3.893941864472e+21
1.980000000000e+00,3.893676699891e+21
2.770000000000e+00,3.893676699891e+21
3.870000000000e+00,3.893411535311e+21
4.650000000000e+00,3.893411535311e+21
5.580000000000e+00,3.893146370730e+21
6.420000000000e+00,3.892881206150e+21
7.380000000000e+00,3.892616041569e+21
8.490000000000e+00,3.892085712408e+21
9.760000000000e+00,3.891555383247e+21
1.074000000000e+01,3.891025054086e+21
1.182000000000e+01,3.890494724925e+21
1.241000000000e+01,3.890229560345e+21
1.303000000000e+01,3.889964395764e+21
1.368000000000e+01,3.889434066603e+21
1.437000000000e+01,3.889168902023e+21
1.509000000000e+01,3.888638572862e+21
1.584000000000e+01,3.888108243701e+21
1.664000000000e+01,3.887577914540e+21
1.747000000000e+01,3.887047585379e+21
1.835000000000e+01,3.886517256218e+21
1.927000000000e+01,3.885721762477e+21
2.023000000000e+01,3.885191433316e+21
2.064000000000e+01,3.884926268735e+21
2.105000000000e+01,3.884661104155e+21
2.148000000000e+01,3.884130774994e+21
2.191000000000e+01,3.883865610413e+21
2.235000000000e+01,3.883600445833e+21
2.280000000000e+01,3.883335281252e+21
2.325000000000e+01,3.883070116672e+21
2.372000000000e+01,3.882539787511e+21
2.420000000000e+01,3.882274622930e+21
2.468000000000e+01,3.882009458350e+21
2.518000000000e+01,3.881479129189e+21
2.569000000000e+01,3.881213964608e+21
2.620000000000e+01,3.880948800028e+21
2.673000000000e+01,3.880418470867e+21
2.727000000000e+01,3.880153306286e+21
2.782000000000e+01,3.879622977125e+21
2.837000000000e+01,3.879357812545e+21
2.895000000000e+01,3.879092647964e+21
2.953000000000e+01,3.878562318803e+21
3.012000000000e+01,3.878297154223e+21
3.073000000000e+01,3.877766825062e+21
3.135000000000e+01,3.877501660481e+21
3.198000000000e+01,3.876971331321e+21
3.262000000000e+01,3.876706166740e+21
3.328000000000e+01,3.876441002160e+21
3.394000000000e+01,3.875910672999e+21
3.463000000000e+01,3.875645508418e+21
3.532000000000e+01,3.875115179257e+21
3.604000000000e+01,3.874850014677e+21
3.676000000000e+01,3.874584850096e+21
3.750000000000e+01,3.874054520935e+21
3.826000000000e+01,3.873789356355e+21
3.902000000000e+01,3.873524191774e+21
3.981000000000e+01,3.873259027194e+21
4.061000000000e+01,3.873524191774e+21
4.143000000000e+01,3.873259027194e+21
4.226000000000e+01,3.872993862613e+21
4.311000000000e+01,3.872993862613e+21
4.398000000000e+01,3.872728698033e+21
4.486000000000e+01,3.872463533452e+21
4.576000000000e+01,3.872198368872e+21
4.668000000000e+01,3.872198368872e+21
4.762000000000e+01,3.871933204291e+21
4.858000000000e+01,3.871933204291e+21
4.955000000000e+01,3.871668039711e+21
5.055000000000e+01,3.871668039711e+21
5.156000000000e+01,3.871402875130e+21
5.259000000000e+01,3.871402875130e+21
5.365000000000e+01,3.871402875130e+21
5.472000000000e+01,3.871137710550e+21
5.582000000000e+01,3.871137710550e+21
5.694000000000e+01,3.870872545969e+21
5.808000000000e+01,3.870607381389e+21
5.924000000000e+01,3.870342216808e+21
6.042000000000e+01,3.870077052228e+21
6.163000000000e+01,3.870077052228e+21
6.286000000000e+01,3.870077052228e+21
6.412000000000e+01,3.869811887647e+21
6.540000000000e+01,3.869281558486e+21
6.670000000000e+01,3.869016393906e+21
6.803000000000e+01,3.868751229325e+21
6.939000000000e+01,3.868220900164e+21
7.077000000000e+01,3.867690571003e+21
7.219000000000e+01,3.867160241842e+21
7.363000000000e+01,3.866629912681e+21
7.509000000000e+01,3.865834418940e+21
7.659000000000e+01,3.865304089779e+21
7.812000000000e+01,3.864508596038e+21
7.968000000000e+01,3.863713102296e+21
8.127000000000e+01,3.862652443974e+21
8.290000000000e+01,3.861856950233e+21
8.456000000000e+01,3.861326621072e+21
8.626000000000e+01,3.859735633589e+21
8.799000000000e+01,3.858940139847e+21
8.977000000000e+01,3.857349152364e+21
9.157000000000e+01,3.856553658623e+21
9.342000000000e+01,3.855493000301e+21
9.531000000000e+01,3.854697506559e+21
9.723000000000e+01,3.853371683657e+21
9.918000000000e+01,3.853902012818e+21
1.011700000000e+02,3.854432341979e+21
1.032200000000e+02,3.854167177399e+21
1.053200000000e+02,3.854432341979e+21
1.074500000000e+02,3.854697506559e+21
