# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7b468fde9c568186c52f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_008_2136_2136/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "4b365fd198f23fd4b60f84db32502f0abe0d5ea3bc44a22a77a9577b65fa0551"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,3.861061456491e+21
1.200000000000e-01,3.861061456491e+21
4.600000000000e-01,3.861061456491e+21
8.100000000000e-01,3.861061456491e+21
1.410000000000e+00,3.861061456491e+21
2.760000000000e+00,3.860796291911e+21
4.580000000000e+00,3.860265962750e+21
5.260000000000e+00,3.860000798169e+21
6.050000000000e+00,3.859735633589e+21
8.420000000000e+00,3.858674975267e+21
8.850000000000e+00,3.858409810686e+21
9.290000000000e+00,3.858144646106e+21
9.750000000000e+00,3.857879481525e+21
1.186000000000e+01,3.856288494042e+21
1.245000000000e+01,3.855758164881e+21
1.373000000000e+01,3.854432341979e+21
1.471000000000e+01,3.853371683657e+21
1.531000000000e+01,3.852576189916e+21
1.593000000000e+01,3.851780696174e+21
1.691000000000e+01,3.850454873272e+21
1.725000000000e+01,3.849924544111e+21
1.760000000000e+01,3.849394214950e+21
1.795000000000e+01,3.848863885789e+21
1.831000000000e+01,3.848333556628e+21
1.868000000000e+01,3.847803227467e+21
1.905000000000e+01,3.847272898306e+21
2.064000000000e+01,3.844621252501e+21
2.105000000000e+01,3.843825758759e+21
2.148000000000e+01,3.843030265018e+21
2.191000000000e+01,3.842234771277e+21
2.235000000000e+01,3.841439277535e+21
2.326000000000e+01,3.839583125472e+21
2.373000000000e+01,3.838522467150e+21
2.421000000000e+01,3.837461808828e+21
2.470000000000e+01,3.836401150506e+21
2.520000000000e+01,3.835340492184e+21
2.623000000000e+01,3.832954010959e+21
2.677000000000e+01,3.831628188057e+21
2.731000000000e+01,3.830302365155e+21
2.786000000000e+01,3.828976542252e+21
2.901000000000e+01,3.826059731867e+21
2.960000000000e+01,3.824468744384e+21
3.020000000000e+01,3.822877756901e+21
3.144000000000e+01,3.819430617355e+21
3.274000000000e+01,3.815453148647e+21
3.341000000000e+01,3.813331832003e+21
3.409000000000e+01,3.811210515359e+21
3.479000000000e+01,3.809089198715e+21
3.551000000000e+01,3.806702717491e+21
