# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8c8adc376f86ec42923f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6baed7b6f9bcf0a73fb5c06afbd56b1b2e493768626d5c2bf85166ef59e7c0f2"
reduced_electric_field_Td,reduced_transport_SI
9.000000000000e-02,2.780780955582e+21
3.600000000000e-01,2.780780955582e+21
1.430000000000e+00,2.780780955582e+21
2.500000000000e+00,2.780780955582e+21
4.380000000000e+00,2.780780955582e+21
6.130000000000e+00,2.780780955582e+21
8.580000000000e+00,2.780515791001e+21
1.029000000000e+01,2.780515791001e+21
1.235000000000e+01,2.780515791001e+21
1.421000000000e+01,2.780250626421e+21
1.634000000000e+01,2.780250626421e+21
1.879000000000e+01,2.779985461840e+21
2.161000000000e+01,2.779985461840e+21
2.377000000000e+01,2.779720297260e+21
2.615000000000e+01,2.779720297260e+21
2.746000000000e+01,2.779455132679e+21
2.883000000000e+01,2.779455132679e+21
3.027000000000e+01,2.779455132679e+21
3.179000000000e+01,2.779189968099e+21
3.338000000000e+01,2.779189968099e+21
3.505000000000e+01,2.779189968099e+21
3.681000000000e+01,2.778924803518e+21
3.865000000000e+01,2.778924803518e+21
4.058000000000e+01,2.778924803518e+21
4.261000000000e+01,2.778659638938e+21
4.474000000000e+01,2.778659638938e+21
4.564000000000e+01,2.778659638938e+21
4.655000000000e+01,2.778659638938e+21
4.749000000000e+01,2.778659638938e+21
4.844000000000e+01,2.778659638938e+21
4.941000000000e+01,2.778659638938e+21
5.039000000000e+01,2.778659638938e+21
5.140000000000e+01,2.778659638938e+21
5.243000000000e+01,2.778659638938e+21
5.348000000000e+01,2.778659638938e+21
5.455000000000e+01,2.778659638938e+21
5.564000000000e+01,2.778659638938e+21
5.676000000000e+01,2.778659638938e+21
5.789000000000e+01,2.778659638938e+21
5.905000000000e+01,2.778659638938e+21
6.023000000000e+01,2.778659638938e+21
6.144000000000e+01,2.778659638938e+21
6.267000000000e+01,2.778659638938e+21
6.392000000000e+01,2.778659638938e+21
6.520000000000e+01,2.778659638938e+21
6.650000000000e+01,2.778659638938e+21
6.783000000000e+01,2.778659638938e+21
6.919000000000e+01,2.778924803518e+21
7.057000000000e+01,2.778924803518e+21
7.198000000000e+01,2.778924803518e+21
7.342000000000e+01,2.778924803518e+21
7.489000000000e+01,2.779189968099e+21
7.638000000000e+01,2.779189968099e+21
7.791000000000e+01,2.779189968099e+21
7.946000000000e+01,2.779455132679e+21
8.105000000000e+01,2.779455132679e+21
8.267000000000e+01,2.779720297260e+21
8.432000000000e+01,2.779720297260e+21
9.684000000000e+01,2.780780955582e+21
1.007300000000e+02,2.781576449323e+21
1.047900000000e+02,2.782371943065e+21
1.068700000000e+02,2.782902272225e+21
1.090000000000e+02,2.783432601386e+21
1.111800000000e+02,2.783962930547e+21
1.133900000000e+02,2.784493259708e+21
1.156500000000e+02,2.785288753450e+21
1.179500000000e+02,2.786084247191e+21
1.203000000000e+02,2.787144905513e+21
1.226900000000e+02,2.788205563835e+21
1.251300000000e+02,2.789531386738e+21
1.276100000000e+02,2.790857209640e+21
1.301500000000e+02,2.792448197123e+21
1.327300000000e+02,2.794039184606e+21
