# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_88e830636b4dc1ca2fd0"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "fc6077eee74b798db46fcf1afb8fb286cc9e3069ad7e322bc5b38605012ffbc3"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,9.650000000000e+19
3.200000000000e-01,9.650000000000e+19
1.290000000000e+00,9.650000000000e+19
2.250000000000e+00,9.660000000000e+19
3.940000000000e+00,9.670000000000e+19
5.520000000000e+00,9.690000000000e+19
7.720000000000e+00,9.730000000000e+19
9.270000000000e+00,9.760000000000e+19
1.112000000000e+01,9.810000000000e+19
1.279000000000e+01,9.870000000000e+19
1.471000000000e+01,9.930000000000e+19
1.692000000000e+01,1.003000000000e+20
1.946000000000e+01,1.015000000000e+20
2.141000000000e+01,1.026000000000e+20
2.355000000000e+01,1.038000000000e+20
2.473000000000e+01,1.046000000000e+20
2.597000000000e+01,1.054000000000e+20
2.727000000000e+01,1.063000000000e+20
2.864000000000e+01,1.074000000000e+20
3.007000000000e+01,1.085000000000e+20
3.158000000000e+01,1.097000000000e+20
3.316000000000e+01,1.111000000000e+20
3.482000000000e+01,1.126000000000e+20
3.657000000000e+01,1.143000000000e+20
3.840000000000e+01,1.161000000000e+20
4.114000000000e+01,1.190000000000e+20
4.280000000000e+01,1.209000000000e+20
4.454000000000e+01,1.229000000000e+20
4.634000000000e+01,1.251000000000e+20
4.822000000000e+01,1.275000000000e+20
5.018000000000e+01,1.302000000000e+20
5.221000000000e+01,1.330000000000e+20
5.326000000000e+01,1.344000000000e+20
5.541000000000e+01,1.376000000000e+20
5.766000000000e+01,1.410000000000e+20
5.882000000000e+01,1.429000000000e+20
6.243000000000e+01,1.489000000000e+20
6.368000000000e+01,1.510000000000e+20
6.496000000000e+01,1.532000000000e+20
6.626000000000e+01,1.556000000000e+20
6.759000000000e+01,1.580000000000e+20
6.894000000000e+01,1.605000000000e+20
7.032000000000e+01,1.631000000000e+20
7.173000000000e+01,1.658000000000e+20
7.317000000000e+01,1.687000000000e+20
