# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f186fab59b4b0aa8c4ed"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
9.000000000000e-02,2.755590320435e+21
3.600000000000e-01,2.755590320435e+21
1.440000000000e+00,2.755590320435e+21
2.520000000000e+00,2.755325155855e+21
4.420000000000e+00,2.755325155855e+21
6.180000000000e+00,2.755325155855e+21
8.660000000000e+00,2.755325155855e+21
1.039000000000e+01,2.755325155855e+21
1.247000000000e+01,2.755059991274e+21
1.434000000000e+01,2.755059991274e+21
1.649000000000e+01,2.755059991274e+21
1.896000000000e+01,2.754794826694e+21
2.181000000000e+01,2.754529662113e+21
2.399000000000e+01,2.754529662113e+21
2.639000000000e+01,2.754264497533e+21
2.771000000000e+01,2.754264497533e+21
3.055000000000e+01,2.753999332952e+21
3.208000000000e+01,2.753999332952e+21
3.369000000000e+01,2.753999332952e+21
3.714000000000e+01,2.753734168372e+21
4.095000000000e+01,2.753469003791e+21
4.698000000000e+01,2.753203839211e+21
4.792000000000e+01,2.753203839211e+21
4.888000000000e+01,2.753203839211e+21
4.986000000000e+01,2.753203839211e+21
5.086000000000e+01,2.753203839211e+21
5.187000000000e+01,2.753203839211e+21
5.291000000000e+01,2.753203839211e+21
5.397000000000e+01,2.753203839211e+21
5.505000000000e+01,2.753203839211e+21
5.615000000000e+01,2.753203839211e+21
5.728000000000e+01,2.753203839211e+21
5.842000000000e+01,2.753203839211e+21
5.959000000000e+01,2.753203839211e+21
6.078000000000e+01,2.753203839211e+21
6.200000000000e+01,2.753203839211e+21
6.324000000000e+01,2.753203839211e+21
6.451000000000e+01,2.753469003791e+21
6.580000000000e+01,2.753469003791e+21
6.711000000000e+01,2.753469003791e+21
6.845000000000e+01,2.753469003791e+21
6.982000000000e+01,2.753469003791e+21
7.122000000000e+01,2.753469003791e+21
7.264000000000e+01,2.753734168372e+21
7.409000000000e+01,2.753999332952e+21
7.557000000000e+01,2.753999332952e+21
7.708000000000e+01,2.753999332952e+21
7.862000000000e+01,2.753999332952e+21
8.019000000000e+01,2.754264497533e+21
8.180000000000e+01,2.754264497533e+21
8.343000000000e+01,2.754264497533e+21
9.582000000000e+01,2.755325155855e+21
9.772000000000e+01,2.755590320435e+21
1.016600000000e+02,2.756120649596e+21
1.036800000000e+02,2.756650978757e+21
1.078600000000e+02,2.757446472499e+21
1.100100000000e+02,2.757976801660e+21
1.122000000000e+02,2.758507130821e+21
1.144300000000e+02,2.759037459982e+21
1.167100000000e+02,2.759832953723e+21
1.190300000000e+02,2.760628447464e+21
1.214000000000e+02,2.761689105786e+21
1.238200000000e+02,2.762749764108e+21
1.287900000000e+02,2.765401409913e+21
1.339500000000e+02,2.768318220299e+21
1.366300000000e+02,2.769909207782e+21
1.393500000000e+02,2.771765359845e+21
1.449600000000e+02,2.775477663972e+21
1.507700000000e+02,2.779985461840e+21
1.597100000000e+02,2.792713361704e+21
1.659300000000e+02,2.801994122021e+21
1.691500000000e+02,2.806767084469e+21
1.724100000000e+02,2.811540046918e+21
1.757200000000e+02,2.816843338528e+21
1.790800000000e+02,2.821881465557e+21
1.824800000000e+02,2.827184757167e+21
1.859400000000e+02,2.832753213357e+21
1.894300000000e+02,2.838586834128e+21
1.929800000000e+02,2.844155290318e+21
1.965700000000e+02,2.849988911089e+21
2.002000000000e+02,2.856352861021e+21
2.075800000000e+02,2.867754937982e+21
2.268400000000e+02,2.892415243967e+21
2.307200000000e+02,2.896923041835e+21
2.511600000000e+02,2.916810385372e+21
2.595500000000e+02,2.923704664465e+21
2.639400000000e+02,2.927416968592e+21
2.772200000000e+02,2.936432564328e+21
2.865200000000e+02,2.943326843421e+21
2.911200000000e+02,2.946773982967e+21
3.106000000000e+02,2.963479351538e+21
3.157200000000e+02,2.967987149406e+21
3.209300000000e+02,2.972760111855e+21
3.316800000000e+02,2.982306036753e+21
3.546600000000e+02,3.003254038611e+21
3.607800000000e+02,3.008557330221e+21
3.670700000000e+02,3.013860621831e+21
3.735300000000e+02,3.019429078021e+21
3.801800000000e+02,3.024467205050e+21
3.870200000000e+02,3.029770496660e+21
3.940700000000e+02,3.034808623689e+21
4.013500000000e+02,3.039581586138e+21
4.088400000000e+02,3.044089384007e+21
4.165700000000e+02,3.048332017294e+21
4.245600000000e+02,3.052309486002e+21
4.328000000000e+02,3.055756625548e+21
4.413100000000e+02,3.058938600514e+21
4.500900000000e+02,3.061325081738e+21
4.591700000000e+02,3.063446398382e+21
4.685500000000e+02,3.065037385865e+21
4.782500000000e+02,3.065567715026e+21
4.882600000000e+02,3.065567715026e+21
4.986200000000e+02,3.065037385865e+21
5.093200000000e+02,3.063181233802e+21
5.203700000000e+02,3.061059917158e+21
5.317900000000e+02,3.057347613031e+21
6.849900000000e+02,2.992382290811e+21
7.189600000000e+02,2.973820770177e+21
7.367300000000e+02,2.962683857797e+21
7.550400000000e+02,2.951281780836e+21
7.739100000000e+02,2.939349374714e+21
7.933500000000e+02,2.926886639431e+21
8.133600000000e+02,2.914423904148e+21
8.552800000000e+02,2.887907446099e+21
8.996700000000e+02,2.860065165148e+21
9.466300000000e+02,2.831427390455e+21
9.963100000000e+02,2.801994122021e+21
1.048820000000e+03,2.772030524425e+21
1.104260000000e+03,2.741006268508e+21
1.162770000000e+03,2.710247177172e+21
1.193160000000e+03,2.695397960664e+21
1.224510000000e+03,2.680018414996e+21
1.256610000000e+03,2.664373704747e+21
1.289600000000e+03,2.649259323659e+21
1.323430000000e+03,2.633879777991e+21
1.358150000000e+03,2.618500232323e+21
1.393790000000e+03,2.603120686654e+21
1.430270000000e+03,2.588271470147e+21
1.467840000000e+03,2.572891924479e+21
1.506210000000e+03,2.558042707971e+21
1.545740000000e+03,2.543193491464e+21
1.586180000000e+03,2.528609439537e+21
1.627630000000e+03,2.514025387610e+21
1.713610000000e+03,2.488039258722e+21
1.758190000000e+03,2.473985535957e+21
1.803890000000e+03,2.459931813191e+21
1.850720000000e+03,2.446143255005e+21
1.898660000000e+03,2.432354696820e+21
1.947710000000e+03,2.419096467795e+21
1.997950000000e+03,2.405838238771e+21
2.049360000000e+03,2.392580009747e+21
2.101970000000e+03,2.379852109883e+21
2.155800000000e+03,2.367124210020e+21
2.210870000000e+03,2.354396310156e+21
2.267170000000e+03,2.342198739454e+21
2.324770000000e+03,2.330001168751e+21
2.383660000000e+03,2.318068762629e+21
2.443870000000e+03,2.306401521088e+21
2.505400000000e+03,2.294734279546e+21
2.568300000000e+03,2.283597367166e+21
2.632570000000e+03,2.272460454785e+21
2.698260000000e+03,2.261323542405e+21
2.765360000000e+03,2.250716959185e+21
2.833910000000e+03,2.240110375966e+21
2.903950000000e+03,2.229768957327e+21
2.975460000000e+03,2.219692703268e+21
3.048490000000e+03,2.209616449210e+21
3.123060000000e+03,2.200070524312e+21
3.199220000000e+03,2.190259434834e+21
3.276960000000e+03,2.180978674517e+21
3.356330000000e+03,2.171697914200e+21
3.437350000000e+03,2.162417153883e+21
3.602850000000e+03,2.145181456151e+21
3.690690000000e+03,2.136165860414e+21
3.778810000000e+03,2.127680593839e+21
3.868700000000e+03,2.119195327263e+21
3.960480000000e+03,2.110710060687e+21
4.054240000000e+03,2.102489958692e+21
4.150020000000e+03,2.094004692117e+21
4.247890000000e+03,2.086049754702e+21
4.348010000000e+03,2.077299323546e+21
4.450430000000e+03,2.069079221551e+21
4.555290000000e+03,2.060859119556e+21
4.662610000000e+03,2.052639017560e+21
4.772550000000e+03,2.044418915565e+21
4.885290000000e+03,2.035933648990e+21
