# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_18ae8bee5aa4d4644d71"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "ae4c3d464369eeefce3369239dfefc1b580b903f8117040d3811563144eb419a"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,9.750000000000e+19
3.200000000000e-01,9.750000000000e+19
1.270000000000e+00,9.750000000000e+19
2.230000000000e+00,9.750000000000e+19
3.900000000000e+00,9.770000000000e+19
5.460000000000e+00,9.790000000000e+19
9.170000000000e+00,9.860000000000e+19
1.101000000000e+01,9.920000000000e+19
1.266000000000e+01,9.970000000000e+19
1.456000000000e+01,1.005000000000e+20
1.674000000000e+01,1.015000000000e+20
1.925000000000e+01,1.028000000000e+20
2.329000000000e+01,1.053000000000e+20
2.567000000000e+01,1.070000000000e+20
2.696000000000e+01,1.080000000000e+20
2.972000000000e+01,1.103000000000e+20
3.439000000000e+01,1.147000000000e+20
3.611000000000e+01,1.165000000000e+20
3.791000000000e+01,1.185000000000e+20
4.393000000000e+01,1.260000000000e+20
4.569000000000e+01,1.284000000000e+20
4.944000000000e+01,1.339000000000e+20
5.042000000000e+01,1.355000000000e+20
5.673000000000e+01,1.463000000000e+20
5.785000000000e+01,1.484000000000e+20
6.017000000000e+01,1.528000000000e+20
6.257000000000e+01,1.575000000000e+20
6.506000000000e+01,1.627000000000e+20
6.634000000000e+01,1.654000000000e+20
6.765000000000e+01,1.683000000000e+20
6.898000000000e+01,1.713000000000e+20
7.172000000000e+01,1.776000000000e+20
7.312000000000e+01,1.809000000000e+20
7.602000000000e+01,1.880000000000e+20
7.751000000000e+01,1.917000000000e+20
7.902000000000e+01,1.956000000000e+20
8.214000000000e+01,2.039000000000e+20
8.375000000000e+01,2.082000000000e+20
8.538000000000e+01,2.128000000000e+20
8.704000000000e+01,2.175000000000e+20
8.873000000000e+01,2.223000000000e+20
9.219000000000e+01,2.326000000000e+20
9.398000000000e+01,2.380000000000e+20
9.579000000000e+01,2.437000000000e+20
9.764000000000e+01,2.496000000000e+20
1.014500000000e+02,2.621000000000e+20
1.053900000000e+02,2.756000000000e+20
1.074200000000e+02,2.829000000000e+20
1.115900000000e+02,2.984000000000e+20
1.137300000000e+02,3.066000000000e+20
1.159200000000e+02,3.153000000000e+20
1.181400000000e+02,3.244000000000e+20
1.227100000000e+02,3.439000000000e+20
1.299600000000e+02,3.778000000000e+20
1.401200000000e+02,4.313000000000e+20
1.428100000000e+02,4.466000000000e+20
1.455400000000e+02,4.628000000000e+20
1.482900000000e+02,4.799000000000e+20
1.511200000000e+02,4.980000000000e+20
1.569200000000e+02,5.370000000000e+20
1.629400000000e+02,5.805000000000e+20
1.660200000000e+02,6.037000000000e+20
1.691600000000e+02,6.279000000000e+20
1.723500000000e+02,6.534000000000e+20
1.822500000000e+02,7.358000000000e+20
1.926200000000e+02,8.252000000000e+20
1.961900000000e+02,8.592000000000e+20
2.109700000000e+02,9.891000000000e+20
2.147900000000e+02,1.023600000000e+21
2.186700000000e+02,1.058400000000e+21
2.226100000000e+02,1.093600000000e+21
2.266100000000e+02,1.129200000000e+21
2.389100000000e+02,1.237900000000e+21
2.699500000000e+02,1.510500000000e+21
2.746900000000e+02,1.550200000000e+21
2.795100000000e+02,1.592200000000e+21
2.844100000000e+02,1.635100000000e+21
2.894200000000e+02,1.679200000000e+21
2.945200000000e+02,1.724300000000e+21
2.997300000000e+02,1.770300000000e+21
3.050500000000e+02,1.817800000000e+21
3.104800000000e+02,1.866400000000e+21
3.160400000000e+02,1.916400000000e+21
3.275300000000e+02,2.021100000000e+21
3.396100000000e+02,2.132400000000e+21
3.458800000000e+02,2.190600000000e+21
3.523300000000e+02,2.250800000000e+21
3.589500000000e+02,2.312900000000e+21
3.657700000000e+02,2.377000000000e+21
3.727700000000e+02,2.443000000000e+21
3.799900000000e+02,2.511200000000e+21
3.874100000000e+02,2.581800000000e+21
3.950600000000e+02,2.654400000000e+21
4.029500000000e+02,2.729400000000e+21
4.110800000000e+02,2.806700000000e+21
4.194600000000e+02,2.886400000000e+21
4.370200000000e+02,3.053500000000e+21
4.462200000000e+02,3.140800000000e+21
4.557200000000e+02,3.230100000000e+21
4.655200000000e+02,3.321500000000e+21
4.756300000000e+02,3.418000000000e+21
5.824900000000e+02,4.483200000000e+21
5.963200000000e+02,4.603700000000e+21
6.105800000000e+02,4.725800000000e+21
6.404200000000e+02,4.990700000000e+21
6.560300000000e+02,5.128200000000e+21
6.721200000000e+02,5.272600000000e+21
6.886800000000e+02,5.412900000000e+21
7.057400000000e+02,5.570600000000e+21
7.233200000000e+02,5.735100000000e+21
7.414400000000e+02,5.905300000000e+21
7.600900000000e+02,6.082300000000e+21
7.792800000000e+02,6.265900000000e+21
7.990100000000e+02,6.456200000000e+21
8.193200000000e+02,6.653800000000e+21
8.401900000000e+02,6.860200000000e+21
8.616700000000e+02,7.072600000000e+21
8.837500000000e+02,7.293300000000e+21
9.064300000000e+02,7.523000000000e+21
9.297300000000e+02,7.761900000000e+21
9.536800000000e+02,8.009400000000e+21
9.782900000000e+02,8.266800000000e+21
1.003560000000e+03,8.534200000000e+21
1.029510000000e+03,8.809800000000e+21
1.056170000000e+03,9.099500000000e+21
1.083520000000e+03,9.400000000000e+21
1.140390000000e+03,1.003540000000e+22
1.263420000000e+03,1.133080000000e+22
1.296250000000e+03,1.171330000000e+22
1.329890000000e+03,1.211610000000e+22
1.364390000000e+03,1.253560000000e+22
1.399780000000e+03,1.297270000000e+22
1.511460000000e+03,1.461660000000e+22
1.550560000000e+03,1.514470000000e+22
1.590620000000e+03,1.569380000000e+22
1.631680000000e+03,1.626970000000e+22
1.760850000000e+03,1.806980000000e+22
1.806030000000e+03,1.876420000000e+22
1.852310000000e+03,1.948130000000e+22
1.899660000000e+03,2.022890000000e+22
1.948130000000e+03,2.100850000000e+22
1.997710000000e+03,2.182180000000e+22
2.048440000000e+03,2.266990000000e+22
2.100340000000e+03,2.355620000000e+22
2.153420000000e+03,2.447970000000e+22
2.262940000000e+03,2.644700000000e+22
2.319920000000e+03,2.749020000000e+22
2.377910000000e+03,2.857920000000e+22
2.437160000000e+03,2.971970000000e+22
2.497710000000e+03,3.090180000000e+22
2.559590000000e+03,3.213270000000e+22
2.622780000000e+03,3.341840000000e+22
2.687360000000e+03,3.475920000000e+22
2.820650000000e+03,3.760860000000e+22
2.959630000000e+03,4.069700000000e+22
3.031320000000e+03,4.233720000000e+22
3.104510000000e+03,4.404780000000e+22
3.179220000000e+03,4.585320000000e+22
3.255460000000e+03,4.807070000000e+22
