# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_54108e4ffa58d38ebd43"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14068_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "6e3fe77e37cf9523d1aab08edaafefe27004ce48f1e4efd482f0f509f09fd0d8"
reduced_electric_field_Td,reduced_transport_SI
9.000000000000e-02,1.164000000000e+20
3.700000000000e-01,1.164000000000e+20
1.490000000000e+00,1.164000000000e+20
2.610000000000e+00,1.165000000000e+20
4.570000000000e+00,1.166000000000e+20
6.390000000000e+00,1.168000000000e+20
8.950000000000e+00,1.173000000000e+20
1.707000000000e+01,1.195000000000e+20
1.963000000000e+01,1.205000000000e+20
2.259000000000e+01,1.219000000000e+20
2.486000000000e+01,1.230000000000e+20
2.736000000000e+01,1.244000000000e+20
2.873000000000e+01,1.252000000000e+20
3.018000000000e+01,1.261000000000e+20
3.329000000000e+01,1.281000000000e+20
3.497000000000e+01,1.293000000000e+20
3.674000000000e+01,1.306000000000e+20
3.859000000000e+01,1.321000000000e+20
4.055000000000e+01,1.337000000000e+20
4.476000000000e+01,1.373000000000e+20
4.798000000000e+01,1.403000000000e+20
4.995000000000e+01,1.422000000000e+20
5.097000000000e+01,1.432000000000e+20
5.201000000000e+01,1.443000000000e+20
5.307000000000e+01,1.454000000000e+20
5.638000000000e+01,1.489000000000e+20
5.753000000000e+01,1.502000000000e+20
5.991000000000e+01,1.529000000000e+20
6.497000000000e+01,1.590000000000e+20
6.767000000000e+01,1.625000000000e+20
6.906000000000e+01,1.643000000000e+20
7.048000000000e+01,1.662000000000e+20
7.193000000000e+01,1.681000000000e+20
7.342000000000e+01,1.702000000000e+20
7.493000000000e+01,1.723000000000e+20
7.648000000000e+01,1.746000000000e+20
7.806000000000e+01,1.769000000000e+20
7.968000000000e+01,1.793000000000e+20
8.133000000000e+01,1.819000000000e+20
8.301000000000e+01,1.845000000000e+20
8.474000000000e+01,1.870000000000e+20
9.589000000000e+01,2.062000000000e+20
