# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7970571b181bb907fcd5"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14068_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "cc139ac52122b34b168e55f903fa3e445ba1b00bc5256da9a3019c9a42123f28"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,2.695663125245e+21
3.300000000000e-01,2.695663125245e+21
1.320000000000e+00,2.695663125245e+21
4.040000000000e+00,2.695397960664e+21
5.660000000000e+00,2.695132796084e+21
7.920000000000e+00,2.694602466923e+21
1.141000000000e+01,2.693541808601e+21
1.312000000000e+01,2.693011479440e+21
1.509000000000e+01,2.692215985698e+21
1.736000000000e+01,2.691155327377e+21
1.998000000000e+01,2.689564339894e+21
2.419000000000e+01,2.686912694089e+21
2.541000000000e+01,2.686117200347e+21
2.668000000000e+01,2.685321706606e+21
2.803000000000e+01,2.684261048284e+21
3.092000000000e+01,2.681874567059e+21
3.248000000000e+01,2.680548744157e+21
3.412000000000e+01,2.678957756674e+21
3.766000000000e+01,2.675775781708e+21
3.956000000000e+01,2.673919629645e+21
4.157000000000e+01,2.671798313001e+21
4.241000000000e+01,2.671002819259e+21
4.415000000000e+01,2.669146667196e+21
4.505000000000e+01,2.668086008874e+21
4.596000000000e+01,2.667025350552e+21
4.785000000000e+01,2.664904033908e+21
4.883000000000e+01,2.663843375586e+21
5.084000000000e+01,2.661456894362e+21
5.294000000000e+01,2.659070413137e+21
5.402000000000e+01,2.657744590235e+21
5.513000000000e+01,2.656418767333e+21
5.625000000000e+01,2.655092944430e+21
5.858000000000e+01,2.652176134045e+21
6.101000000000e+01,2.649259323659e+21
6.227000000000e+01,2.647668336176e+21
6.355000000000e+01,2.646077348693e+21
6.486000000000e+01,2.644486361211e+21
6.756000000000e+01,2.641039221664e+21
6.896000000000e+01,2.639183069601e+21
7.038000000000e+01,2.637326917537e+21
7.184000000000e+01,2.635470765474e+21
7.333000000000e+01,2.633614613411e+21
7.485000000000e+01,2.631758461347e+21
8.469000000000e+01,2.619030561484e+21
8.646000000000e+01,2.616909244840e+21
8.827000000000e+01,2.614522763615e+21
9.201000000000e+01,2.610280130328e+21
9.394000000000e+01,2.607893649103e+21
9.591000000000e+01,2.605507167879e+21
9.793000000000e+01,2.603120686654e+21
9.999000000000e+01,2.600734205430e+21
1.042500000000e+02,2.595961242981e+21
1.064500000000e+02,2.593839926337e+21
1.133500000000e+02,2.586945647245e+21
1.157500000000e+02,2.584824330601e+21
1.182100000000e+02,2.582703013957e+21
1.207100000000e+02,2.580846861893e+21
1.232800000000e+02,2.578990709830e+21
1.369200000000e+02,2.572096430737e+21
1.398300000000e+02,2.571300936996e+21
1.427900000000e+02,2.570770607835e+21
1.458100000000e+02,2.570770607835e+21
1.552300000000e+02,2.572361595318e+21
1.584900000000e+02,2.573687418220e+21
1.618100000000e+02,2.576073899445e+21
1.651900000000e+02,2.578460380669e+21
1.686300000000e+02,2.581642355635e+21
1.756900000000e+02,2.589862457630e+21
1.792900000000e+02,2.594370255498e+21
1.829500000000e+02,2.600203876269e+21
1.866500000000e+02,2.606567826201e+21
1.903900000000e+02,2.612931776132e+21
1.941700000000e+02,2.620091219806e+21
1.979800000000e+02,2.627515828059e+21
2.018100000000e+02,2.635735930054e+21
2.056600000000e+02,2.644486361211e+21
2.134100000000e+02,2.660131071459e+21
2.172600000000e+02,2.668616338035e+21
2.211700000000e+02,2.676306110869e+21
3.529700000000e+02,2.799342476216e+21
3.794600000000e+02,2.861390988050e+21
3.849600000000e+02,2.874118887913e+21
3.906300000000e+02,2.887377116938e+21
3.964600000000e+02,2.900105016801e+21
4.024800000000e+02,2.913893574987e+21
4.086900000000e+02,2.927416968592e+21
4.151100000000e+02,2.940675197616e+21
4.217600000000e+02,2.953933426640e+21
4.286300000000e+02,2.966926491084e+21
4.357400000000e+02,2.979654390948e+21
4.431100000000e+02,2.992117126231e+21
4.507500000000e+02,3.004049532353e+21
4.586700000000e+02,3.015451609314e+21
4.668800000000e+02,3.026323357114e+21
4.753900000000e+02,3.036399611172e+21
4.842300000000e+02,3.045945536070e+21
4.933900000000e+02,3.054695967226e+21
5.029100000000e+02,3.062385740060e+21
5.127700000000e+02,3.069280019153e+21
5.230100000000e+02,3.075113639924e+21
5.336300000000e+02,3.079621437792e+21
5.446300000000e+02,3.083068577338e+21
5.560500000000e+02,3.085189893982e+21
5.678900000000e+02,3.085985387724e+21
5.801500000000e+02,3.085720223143e+21
5.928700000000e+02,3.084659564821e+21
6.060300000000e+02,3.082273083597e+21
8.249800000000e+02,3.000602392806e+21
8.459700000000e+02,2.987874492943e+21
8.676400000000e+02,2.974616263919e+21
8.899700000000e+02,2.960827705733e+21
9.367700000000e+02,2.931924766460e+21
9.611900000000e+02,2.917075549953e+21
1.095220000000e+03,2.836995846645e+21
1.124460000000e+03,2.820290478074e+21
1.154510000000e+03,2.803585109504e+21
1.185440000000e+03,2.786614576352e+21
1.217220000000e+03,2.769644043201e+21
1.249970000000e+03,2.752408345469e+21
1.318150000000e+03,2.717936950006e+21
1.390080000000e+03,2.683730719123e+21
1.427540000000e+03,2.666760185972e+21
