# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_222de8d30f4918d0f1a3"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "59c8584c3ed47e80435a39287ed6396e43baf22fdd897c4d56a29784a4b09f29"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,4.850000000000e+19
2.300000000000e-01,4.850000000000e+19
9.100000000000e-01,4.850000000000e+19
1.580000000000e+00,4.850000000000e+19
2.770000000000e+00,4.860000000000e+19
3.880000000000e+00,4.870000000000e+19
5.430000000000e+00,4.890000000000e+19
6.520000000000e+00,4.910000000000e+19
7.830000000000e+00,4.930000000000e+19
9.000000000000e+00,4.960000000000e+19
1.035000000000e+01,4.990000000000e+19
1.191000000000e+01,5.040000000000e+19
1.369000000000e+01,5.100000000000e+19
1.657000000000e+01,5.220000000000e+19
1.828000000000e+01,5.300000000000e+19
2.016000000000e+01,5.390000000000e+19
2.117000000000e+01,5.450000000000e+19
2.223000000000e+01,5.510000000000e+19
2.452000000000e+01,5.650000000000e+19
2.575000000000e+01,5.730000000000e+19
2.704000000000e+01,5.820000000000e+19
2.898000000000e+01,5.960000000000e+19
3.201000000000e+01,6.200000000000e+19
3.467000000000e+01,6.430000000000e+19
3.537000000000e+01,6.490000000000e+19
3.832000000000e+01,6.770000000000e+19
3.909000000000e+01,6.850000000000e+19
3.988000000000e+01,6.930000000000e+19
4.069000000000e+01,7.020000000000e+19
4.151000000000e+01,7.100000000000e+19
4.408000000000e+01,7.390000000000e+19
4.681000000000e+01,7.700000000000e+19
4.873000000000e+01,7.940000000000e+19
5.175000000000e+01,8.340000000000e+19
5.389000000000e+01,8.640000000000e+19
5.610000000000e+01,8.960000000000e+19
5.959000000000e+01,9.490000000000e+19
6.721000000000e+01,1.078000000000e+20
6.997000000000e+01,1.129000000000e+20
7.284000000000e+01,1.184000000000e+20
7.583000000000e+01,1.244000000000e+20
7.893000000000e+01,1.308000000000e+20
8.216000000000e+01,1.378000000000e+20
9.080000000000e+01,1.577000000000e+20
9.263000000000e+01,1.621000000000e+20
9.450000000000e+01,1.666000000000e+20
1.198900000000e+02,2.381000000000e+20
1.222800000000e+02,2.459000000000e+20
1.247200000000e+02,2.543000000000e+20
1.297400000000e+02,2.735000000000e+20
1.323200000000e+02,2.818000000000e+20
1.349600000000e+02,2.918000000000e+20
1.376400000000e+02,3.027000000000e+20
1.403800000000e+02,3.143000000000e+20
1.431700000000e+02,3.266000000000e+20
1.460200000000e+02,3.398000000000e+20
1.489100000000e+02,3.538000000000e+20
1.518700000000e+02,3.689000000000e+20
1.548800000000e+02,3.853000000000e+20
1.579500000000e+02,4.031000000000e+20
1.610700000000e+02,4.216000000000e+20
1.642500000000e+02,4.414000000000e+20
1.674800000000e+02,4.630000000000e+20
1.707700000000e+02,4.861000000000e+20
1.741200000000e+02,5.121000000000e+20
1.775200000000e+02,5.384000000000e+20
1.809700000000e+02,5.676000000000e+20
1.844800000000e+02,5.984000000000e+20
1.880300000000e+02,6.320000000000e+20
1.916400000000e+02,6.676000000000e+20
1.952900000000e+02,7.048000000000e+20
1.989900000000e+02,7.448000000000e+20
2.027300000000e+02,7.888000000000e+20
2.065200000000e+02,8.316000000000e+20
2.103300000000e+02,8.778000000000e+20
2.141700000000e+02,9.253000000000e+20
2.180400000000e+02,9.742000000000e+20
3.974000000000e+02,2.690800000000e+21
4.046000000000e+02,2.767300000000e+21
4.120200000000e+02,2.846500000000e+21
4.196900000000e+02,2.928300000000e+21
4.276000000000e+02,3.013000000000e+21
4.357800000000e+02,3.100500000000e+21
4.442300000000e+02,3.190900000000e+21
4.529600000000e+02,3.284200000000e+21
4.713200000000e+02,3.480200000000e+21
4.809700000000e+02,3.581500000000e+21
4.909500000000e+02,3.686500000000e+21
5.012600000000e+02,3.793700000000e+21
5.119300000000e+02,3.903200000000e+21
5.229600000000e+02,4.014100000000e+21
5.343600000000e+02,4.127000000000e+21
5.461500000000e+02,4.242100000000e+21
5.583300000000e+02,4.359400000000e+21
7.395600000000e+02,5.810300000000e+21
7.579400000000e+02,6.039500000000e+21
7.768700000000e+02,6.266900000000e+21
7.963700000000e+02,6.496700000000e+21
8.164900000000e+02,6.727200000000e+21
8.372200000000e+02,6.962400000000e+21
8.585600000000e+02,7.203700000000e+21
8.805300000000e+02,7.451100000000e+21
9.031400000000e+02,7.706900000000e+21
9.263900000000e+02,7.971000000000e+21
