# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7bccc0821e7794b443f1"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "3210eceb40eb09278687f12699790ba768ddc570c7b93c4f29b6960330d64c59"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,2.766727232816e+21
3.200000000000e-01,2.766727232816e+21
1.280000000000e+00,2.766727232816e+21
2.250000000000e+00,2.766727232816e+21
3.930000000000e+00,2.766727232816e+21
5.510000000000e+00,2.766727232816e+21
7.710000000000e+00,2.766727232816e+21
9.250000000000e+00,2.766727232816e+21
1.110000000000e+01,2.766727232816e+21
1.277000000000e+01,2.766727232816e+21
1.468000000000e+01,2.766992397396e+21
1.689000000000e+01,2.766992397396e+21
1.942000000000e+01,2.766992397396e+21
2.136000000000e+01,2.767257561977e+21
2.350000000000e+01,2.767522726557e+21
2.467000000000e+01,2.767522726557e+21
2.590000000000e+01,2.767787891138e+21
2.720000000000e+01,2.768053055718e+21
2.856000000000e+01,2.768053055718e+21
2.998000000000e+01,2.768318220299e+21
3.148000000000e+01,2.768848549460e+21
3.305000000000e+01,2.769113714040e+21
3.470000000000e+01,2.769378878621e+21
3.643000000000e+01,2.769909207782e+21
3.825000000000e+01,2.770439536943e+21
4.015000000000e+01,2.771235030684e+21
4.095000000000e+01,2.771500195264e+21
4.177000000000e+01,2.771765359845e+21
4.260000000000e+01,2.772030524425e+21
4.345000000000e+01,2.772295689006e+21
4.432000000000e+01,2.772826018167e+21
4.520000000000e+01,2.773091182747e+21
4.610000000000e+01,2.773621511908e+21
4.702000000000e+01,2.773886676489e+21
4.795000000000e+01,2.774417005650e+21
4.891000000000e+01,2.774947334811e+21
4.988000000000e+01,2.775477663972e+21
5.087000000000e+01,2.776007993133e+21
5.188000000000e+01,2.776803486874e+21
5.291000000000e+01,2.777333816035e+21
5.396000000000e+01,2.777864145196e+21
5.503000000000e+01,2.778659638938e+21
5.612000000000e+01,2.779455132679e+21
5.723000000000e+01,2.779985461840e+21
5.837000000000e+01,2.780780955582e+21
5.952000000000e+01,2.781576449323e+21
6.070000000000e+01,2.782371943065e+21
6.190000000000e+01,2.783167436806e+21
6.312000000000e+01,2.783962930547e+21
6.437000000000e+01,2.785023588869e+21
6.564000000000e+01,2.786084247191e+21
6.693000000000e+01,2.787144905513e+21
6.825000000000e+01,2.788205563835e+21
6.959000000000e+01,2.789266222157e+21
7.096000000000e+01,2.790326880479e+21
7.235000000000e+01,2.791387538801e+21
7.377000000000e+01,2.792448197123e+21
7.522000000000e+01,2.793774020026e+21
7.669000000000e+01,2.794834678347e+21
7.819000000000e+01,2.796160501250e+21
7.972000000000e+01,2.797486324152e+21
8.128000000000e+01,2.798812147055e+21
8.287000000000e+01,2.799872805377e+21
8.449000000000e+01,2.801198628279e+21
8.614000000000e+01,2.802259286601e+21
8.781000000000e+01,2.803850274084e+21
8.951000000000e+01,2.805441261567e+21
9.124000000000e+01,2.807032249050e+21
9.301000000000e+01,2.808623236533e+21
9.481000000000e+01,2.810214224016e+21
9.665000000000e+01,2.811540046918e+21
9.851000000000e+01,2.813131034401e+21
1.004200000000e+02,2.814722021884e+21
1.023500000000e+02,2.816313009367e+21
1.043200000000e+02,2.817373667689e+21
1.063300000000e+02,2.819494984333e+21
1.083800000000e+02,2.821351136396e+21
1.104600000000e+02,2.822942123879e+21
1.125800000000e+02,2.824798275943e+21
1.147500000000e+02,2.826654428006e+21
1.169500000000e+02,2.828510580069e+21
1.285900000000e+02,2.839117163289e+21
1.361200000000e+02,2.846276606962e+21
1.440600000000e+02,2.855822531860e+21
1.468100000000e+02,2.859269671406e+21
1.496100000000e+02,2.862981975533e+21
1.524700000000e+02,2.866429115079e+21
1.553700000000e+02,2.870406583787e+21
1.583200000000e+02,2.874649217074e+21
1.643900000000e+02,2.883399648231e+21
1.706700000000e+02,2.892680408548e+21
1.738900000000e+02,2.897983700157e+21
1.805000000000e+02,2.908590283377e+21
1.873100000000e+02,2.920522689499e+21
1.943400000000e+02,2.930864108138e+21
1.979400000000e+02,2.935106741426e+21
2.015900000000e+02,2.940144868455e+21
2.052900000000e+02,2.945182995484e+21
2.090500000000e+02,2.950221122514e+21
2.128600000000e+02,2.954994084962e+21
2.167200000000e+02,2.959501882831e+21
2.368600000000e+02,2.978858897206e+21
2.410800000000e+02,2.982306036753e+21
2.453400000000e+02,2.985222847138e+21
2.496800000000e+02,2.988404822104e+21
2.586100000000e+02,2.994503607455e+21
2.630800000000e+02,2.996624924099e+21
2.676900000000e+02,2.999276569904e+21
2.723800000000e+02,3.001663051128e+21
2.771600000000e+02,3.004049532353e+21
2.820200000000e+02,3.006701178158e+21
2.869700000000e+02,3.009087659382e+21
2.920200000000e+02,3.011474140606e+21
3.024200000000e+02,3.016247103055e+21
3.077900000000e+02,3.018898748860e+21
3.132700000000e+02,3.021285230085e+21
3.188800000000e+02,3.023671711309e+21
3.246100000000e+02,3.026323357114e+21
3.304700000000e+02,3.028709838338e+21
3.364900000000e+02,3.031096319563e+21
3.426500000000e+02,3.033482800787e+21
3.489800000000e+02,3.035869282011e+21
3.554800000000e+02,3.038255763236e+21
3.621600000000e+02,3.040377079880e+21
3.690300000000e+02,3.042233231943e+21
3.761000000000e+02,3.044089384007e+21
3.833700000000e+02,3.045680371489e+21
3.908600000000e+02,3.047006194392e+21
3.985800000000e+02,3.048066852714e+21
4.065300000000e+02,3.048862346455e+21
4.147200000000e+02,3.049392675616e+21
4.231700000000e+02,3.049127511036e+21
4.318900000000e+02,3.048597181875e+21
4.408800000000e+02,3.047536523553e+21
4.501600000000e+02,3.045945536070e+21
4.597300000000e+02,3.043824219426e+21
4.696100000000e+02,3.040907409041e+21
4.798000000000e+02,3.037725434075e+21
4.903200000000e+02,3.033747965367e+21
5.011900000000e+02,3.028975002919e+21
5.123900000000e+02,3.025527863372e+21
5.740300000000e+02,3.000337228226e+21
5.875500000000e+02,2.992647455392e+21
6.014900000000e+02,2.984427353397e+21
6.459500000000e+02,2.958706389089e+21
6.616900000000e+02,2.948630135031e+21
6.779100000000e+02,2.938288716392e+21
6.946100000000e+02,2.927151804011e+21
7.118100000000e+02,2.915749727050e+21
7.295500000000e+02,2.904082485509e+21
7.478200000000e+02,2.892150079387e+21
7.666300000000e+02,2.879687344104e+21
7.859700000000e+02,2.867224608821e+21
8.058700000000e+02,2.854231544377e+21
8.263500000000e+02,2.841238479933e+21
8.474000000000e+02,2.827715086328e+21
8.690700000000e+02,2.813926528143e+21
8.913300000000e+02,2.800137969957e+21
9.142100000000e+02,2.786349411772e+21
9.377100000000e+02,2.772295689006e+21
9.618600000000e+02,2.757976801660e+21
9.866700000000e+02,2.743657914313e+21
1.012160000000e+03,2.729073862386e+21
1.038330000000e+03,2.714489810459e+21
1.065210000000e+03,2.699905758533e+21
1.092800000000e+03,2.685321706606e+21
1.121130000000e+03,2.670472490098e+21
1.150220000000e+03,2.655888438172e+21
1.180050000000e+03,2.641039221664e+21
1.210660000000e+03,2.626455169737e+21
1.242090000000e+03,2.611605953230e+21
1.274360000000e+03,2.597287065884e+21
1.341280000000e+03,2.568118962030e+21
1.448430000000e+03,2.525162299991e+21
1.485880000000e+03,2.511108577225e+21
1.524330000000e+03,2.497054854459e+21
1.563750000000e+03,2.483266296274e+21
1.604160000000e+03,2.469742902669e+21
1.645560000000e+03,2.456219509064e+21
1.687930000000e+03,2.442696115459e+21
1.964860000000e+03,2.368184868342e+21
2.014860000000e+03,2.355987297639e+21
2.066030000000e+03,2.343789726937e+21
2.118380000000e+03,2.331857320815e+21
2.171920000000e+03,2.320190079273e+21
2.226680000000e+03,2.308522837732e+21
2.282660000000e+03,2.297120760771e+21
2.339870000000e+03,2.285983848390e+21
2.398370000000e+03,2.275112100590e+21
2.458150000000e+03,2.264240352790e+21
2.519230000000e+03,2.253633769571e+21
2.581650000000e+03,2.243027186351e+21
2.645400000000e+03,2.232950932293e+21
2.710530000000e+03,2.222874678234e+21
2.777060000000e+03,2.212798424175e+21
2.845000000000e+03,2.203252499278e+21
2.914380000000e+03,2.193706574380e+21
2.985200000000e+03,2.184425814063e+21
3.057540000000e+03,2.175145053746e+21
3.131370000000e+03,2.166129458010e+21
3.206750000000e+03,2.157113862273e+21
3.283700000000e+03,2.148628595697e+21
3.362230000000e+03,2.139878164541e+21
3.442400000000e+03,2.131658062546e+21
3.524210000000e+03,2.122907631390e+21
3.780170000000e+03,2.099573148307e+21
