# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dfeb9095b5b6c66ead82"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "3d49dc4ca1574b37f49c5cf42678a41d6013afed39067ff6f5cb5470dc029e70"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.765666574494e+21
1.600000000000e-01,2.765666574494e+21
6.400000000000e-01,2.765666574494e+21
1.120000000000e+00,2.765666574494e+21
1.970000000000e+00,2.765666574494e+21
2.750000000000e+00,2.765666574494e+21
3.860000000000e+00,2.765666574494e+21
5.550000000000e+00,2.765401409913e+21
7.350000000000e+00,2.765136245333e+21
8.450000000000e+00,2.764871080752e+21
1.176000000000e+01,2.763810422430e+21
1.235000000000e+01,2.763545257850e+21
1.297000000000e+01,2.763280093269e+21
1.362000000000e+01,2.763014928689e+21
1.501000000000e+01,2.762484599528e+21
1.739000000000e+01,2.761423941206e+21
1.826000000000e+01,2.760893612045e+21
2.054000000000e+01,2.759302624562e+21
2.095000000000e+01,2.759037459982e+21
2.137000000000e+01,2.758772295401e+21
2.361000000000e+01,2.757181307918e+21
2.457000000000e+01,2.756385814177e+21
2.557000000000e+01,2.755590320435e+21
2.714000000000e+01,2.754264497533e+21
2.769000000000e+01,2.753734168372e+21
2.825000000000e+01,2.753203839211e+21
2.882000000000e+01,2.752673510050e+21
2.999000000000e+01,2.751347687147e+21
3.184000000000e+01,2.749491535084e+21
3.249000000000e+01,2.748696041342e+21
3.314000000000e+01,2.747900547601e+21
3.381000000000e+01,2.747105053860e+21
3.591000000000e+01,2.744718572635e+21
3.738000000000e+01,2.742862420572e+21
4.051000000000e+01,2.738619787284e+21
4.218000000000e+01,2.736233306060e+21
4.304000000000e+01,2.734907483157e+21
4.392000000000e+01,2.733581660255e+21
4.481000000000e+01,2.732255837352e+21
4.573000000000e+01,2.730930014450e+21
4.667000000000e+01,2.729604191547e+21
4.762000000000e+01,2.728013204064e+21
4.959000000000e+01,2.724831229099e+21
5.061000000000e+01,2.722975077035e+21
5.165000000000e+01,2.721384089552e+21
5.272000000000e+01,2.719527937489e+21
5.491000000000e+01,2.715815633362e+21
5.605000000000e+01,2.713959481299e+21
5.721000000000e+01,2.711838164655e+21
5.839000000000e+01,2.709716848011e+21
5.961000000000e+01,2.707330366786e+21
6.472000000000e+01,2.698579935630e+21
6.607000000000e+01,2.695928289825e+21
6.745000000000e+01,2.693541808601e+21
6.887000000000e+01,2.690890162796e+21
7.031000000000e+01,2.688238516991e+21
7.179000000000e+01,2.685586871186e+21
7.485000000000e+01,2.679753250416e+21
7.643000000000e+01,2.676836440030e+21
7.805000000000e+01,2.673919629645e+21
8.312000000000e+01,2.664638869328e+21
8.489000000000e+01,2.661191729781e+21
8.671000000000e+01,2.658009754815e+21
8.856000000000e+01,2.654562615269e+21
9.046000000000e+01,2.651115475723e+21
9.438000000000e+01,2.643956032050e+21
9.641000000000e+01,2.640243727923e+21
9.849000000000e+01,2.636531423796e+21
1.006200000000e+02,2.632819119669e+21
1.027900000000e+02,2.629106815542e+21
1.050200000000e+02,2.625394511415e+21
1.072900000000e+02,2.621417042708e+21
1.096200000000e+02,2.617704738581e+21
1.120100000000e+02,2.613727269874e+21
1.221100000000e+02,2.598082559625e+21
1.247800000000e+02,2.594370255498e+21
1.275100000000e+02,2.590657951371e+21
1.303100000000e+02,2.586945647245e+21
1.331700000000e+02,2.583233343118e+21
1.390800000000e+02,2.577134557767e+21
1.517100000000e+02,2.566527974547e+21
1.550400000000e+02,2.565202151645e+21
1.619200000000e+02,2.562815670420e+21
1.654600000000e+02,2.562815670420e+21
1.690500000000e+02,2.563611164162e+21
1.727200000000e+02,2.564936987064e+21
1.764600000000e+02,2.566527974547e+21
1.802700000000e+02,2.569444784932e+21
1.841600000000e+02,2.573687418220e+21
1.881100000000e+02,2.578195216088e+21
1.962400000000e+02,2.590657951371e+21
2.003100000000e+02,2.597552230464e+21
2.128100000000e+02,2.619826055225e+21
2.169600000000e+02,2.629902309284e+21
2.211500000000e+02,2.639713398762e+21
2.295200000000e+02,2.658274919396e+21
2.376700000000e+02,2.677101604611e+21
4.655500000000e+02,2.957645730767e+21
4.737300000000e+02,2.969312972309e+21
4.822200000000e+02,2.979654390948e+21
4.910500000000e+02,2.992117126231e+21
5.097100000000e+02,3.010148317704e+21
5.195900000000e+02,3.018103255119e+21
5.298400000000e+02,3.024732369631e+21
5.404700000000e+02,3.030300825821e+21
5.515300000000e+02,3.034013129948e+21
5.629800000000e+02,3.036399611172e+21
5.748800000000e+02,3.037725434075e+21
5.872100000000e+02,3.037990598655e+21
5.999900000000e+02,3.038255763236e+21
6.132500000000e+02,3.037460269494e+21
7.937300000000e+02,2.989465480426e+21
8.136500000000e+02,2.978328568045e+21
8.342100000000e+02,2.966661326504e+21
8.554500000000e+02,2.954198591221e+21
8.773400000000e+02,2.941205526777e+21
8.999300000000e+02,2.927682133172e+21
9.232300000000e+02,2.913893574987e+21
9.472400000000e+02,2.899574687640e+21
9.719800000000e+02,2.884725471133e+21
9.975300000000e+02,2.869345925465e+21
1.023810000000e+03,2.853966379796e+21
1.051080000000e+03,2.837791340387e+21
1.078880000000e+03,2.822146630138e+21
1.107630000000e+03,2.805706426147e+21
1.137230000000e+03,2.789266222157e+21
1.167690000000e+03,2.772826018167e+21
1.198990000000e+03,2.755855485016e+21
1.231190000000e+03,2.739150116445e+21
1.264290000000e+03,2.722179583294e+21
1.298340000000e+03,2.705209050142e+21
1.333350000000e+03,2.687973352411e+21
1.369290000000e+03,2.671002819259e+21
1.406220000000e+03,2.654032286108e+21
1.444130000000e+03,2.637061752957e+21
1.483070000000e+03,2.620091219806e+21
1.523060000000e+03,2.603385851235e+21
