# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_39be7b9ed6128e198dfa"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14081_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "0f709e9fae556572f8ed3aca2e099e23a640fb86a08b77b9f12ce7189848569c"
reduced_electric_field_Td,reduced_transport_SI
9.000000000000e-02,2.748696041342e+21
3.600000000000e-01,2.748696041342e+21
1.450000000000e+00,2.748696041342e+21
2.530000000000e+00,2.748696041342e+21
4.430000000000e+00,2.748696041342e+21
8.680000000000e+00,2.748961205923e+21
1.041000000000e+01,2.749226370503e+21
1.249000000000e+01,2.749491535084e+21
1.652000000000e+01,2.750021864245e+21
2.184000000000e+01,2.750817357986e+21
2.402000000000e+01,2.751347687147e+21
2.642000000000e+01,2.751878016308e+21
2.912000000000e+01,2.752673510050e+21
3.058000000000e+01,2.753203839211e+21
3.714000000000e+01,2.755590320435e+21
3.899000000000e+01,2.756385814177e+21
4.296000000000e+01,2.758241966240e+21
4.599000000000e+01,2.759832953723e+21
4.691000000000e+01,2.760363282884e+21
4.784000000000e+01,2.760893612045e+21
4.879000000000e+01,2.761423941206e+21
4.976000000000e+01,2.761954270367e+21
5.074000000000e+01,2.762484599528e+21
5.277000000000e+01,2.763810422430e+21
5.488000000000e+01,2.765136245333e+21
5.597000000000e+01,2.765931739074e+21
5.708000000000e+01,2.766727232816e+21
6.053000000000e+01,2.769113714040e+21
6.172000000000e+01,2.769909207782e+21
6.294000000000e+01,2.770704701523e+21
6.544000000000e+01,2.772560853586e+21
6.804000000000e+01,2.774417005650e+21
6.938000000000e+01,2.775477663972e+21
7.499000000000e+01,2.779985461840e+21
7.795000000000e+01,2.782371943065e+21
7.948000000000e+01,2.783697765967e+21
9.276000000000e+01,2.793774020026e+21
9.639000000000e+01,2.796690830411e+21
9.826000000000e+01,2.798281817894e+21
1.001600000000e+02,2.799872805377e+21
1.040700000000e+02,2.803054780343e+21
1.060900000000e+02,2.804645767826e+21
1.081400000000e+02,2.806236755308e+21
