# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f85bd0278a8da09a8e1d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P3/2)^+"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:03:35"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e7473f19a6578c21f5c669ca816314d5d1063feecbbceb4deccf9e2f31a582c9"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,9.879767104416e+21
1.400000000000e-01,9.879767104416e+21
5.600000000000e-01,9.879767104416e+21
9.900000000000e-01,9.879767104416e+21
1.730000000000e+00,9.880297433577e+21
2.420000000000e+00,9.880827762738e+21
3.390000000000e+00,9.881888421060e+21
4.070000000000e+00,9.882683914802e+21
4.880000000000e+00,9.884009737704e+21
5.610000000000e+00,9.885600725187e+21
6.450000000000e+00,9.887456877250e+21
7.420000000000e+00,9.890108523055e+21
8.530000000000e+00,9.893820827182e+21
9.380000000000e+00,9.897002802148e+21
1.032000000000e+01,9.900715106275e+21
1.083000000000e+01,9.903101587499e+21
1.137000000000e+01,9.905488068724e+21
1.194000000000e+01,9.908404879109e+21
1.253000000000e+01,9.911586854075e+21
1.315000000000e+01,9.915299158202e+21
1.381000000000e+01,9.919276626909e+21
1.449000000000e+01,9.923784424777e+21
1.521000000000e+01,9.929087716387e+21
1.597000000000e+01,9.934656172577e+21
1.676000000000e+01,9.941020122509e+21
1.759000000000e+01,9.948179566182e+21
1.793000000000e+01,9.951096376568e+21
1.829000000000e+01,9.954278351534e+21
1.865000000000e+01,9.957725491080e+21
1.902000000000e+01,9.961172630626e+21
1.939000000000e+01,9.964884934753e+21
1.977000000000e+01,9.968862403460e+21
2.016000000000e+01,9.972839872168e+21
2.056000000000e+01,9.976817340875e+21
2.097000000000e+01,9.981325138743e+21
2.138000000000e+01,9.985832936612e+21
2.180000000000e+01,9.990605899060e+21
2.223000000000e+01,9.995378861509e+21
2.266000000000e+01,1.000041698854e+22
2.311000000000e+01,1.000572028015e+22
2.356000000000e+01,1.001128873634e+22
2.402000000000e+01,1.001712235711e+22
2.449000000000e+01,1.002295597788e+22
2.496000000000e+01,1.002905476323e+22
2.545000000000e+01,1.003541871316e+22
2.595000000000e+01,1.004204782768e+22
2.645000000000e+01,1.004867694219e+22
2.696000000000e+01,1.005557122128e+22
2.749000000000e+01,1.006273066495e+22
2.802000000000e+01,1.007015527321e+22
2.856000000000e+01,1.007784504604e+22
2.911000000000e+01,1.008288317307e+22
2.967000000000e+01,1.009083811049e+22
3.025000000000e+01,1.009932337706e+22
3.083000000000e+01,1.010780864364e+22
3.142000000000e+01,1.011655907479e+22
3.202000000000e+01,1.012557467053e+22
3.263000000000e+01,1.013512059543e+22
3.326000000000e+01,1.014440135574e+22
3.389000000000e+01,1.015421244522e+22
3.453000000000e+01,1.016402353470e+22
3.519000000000e+01,1.017409978876e+22
3.584000000000e+01,1.018364571366e+22
3.654000000000e+01,1.019319163855e+22
3.723000000000e+01,1.020326789261e+22
3.793000000000e+01,1.021360931125e+22
3.864000000000e+01,1.022315523615e+22
3.937000000000e+01,1.023296632563e+22
4.011000000000e+01,1.024357290885e+22
4.086000000000e+01,1.025285366916e+22
4.163000000000e+01,1.026266475864e+22
4.240000000000e+01,1.027247584812e+22
4.319000000000e+01,1.028228693760e+22
4.400000000000e+01,1.029183286250e+22
4.482000000000e+01,1.030164395197e+22
4.565000000000e+01,1.031145504145e+22
4.650000000000e+01,1.032126613093e+22
4.737000000000e+01,1.032922106834e+22
4.825000000000e+01,1.033797149950e+22
4.914000000000e+01,1.034725225982e+22
5.005000000000e+01,1.035626785555e+22
5.098000000000e+01,1.036501828671e+22
5.193000000000e+01,1.037403388245e+22
5.288000000000e+01,1.038437530109e+22
5.386000000000e+01,1.039392122598e+22
5.486000000000e+01,1.040267165714e+22
5.587000000000e+01,1.041168725288e+22
5.691000000000e+01,1.042043768403e+22
5.797000000000e+01,1.043157459641e+22
5.904000000000e+01,1.044085535673e+22
6.014000000000e+01,1.044774963582e+22
6.358000000000e+01,1.047903905632e+22
6.477000000000e+01,1.049044113328e+22
6.599000000000e+01,1.050263870398e+22
6.723000000000e+01,1.051483627469e+22
6.850000000000e+01,1.052544285791e+22
7.388000000000e+01,1.057502863446e+22
7.529000000000e+01,1.058934752180e+22
7.674000000000e+01,1.060552256121e+22
7.822000000000e+01,1.062010661314e+22
8.289000000000e+01,1.066810140221e+22
8.448000000000e+01,1.068957973323e+22
8.612000000000e+01,1.071185355799e+22
8.777000000000e+01,1.073890034520e+22
8.949000000000e+01,1.075878768874e+22
9.470000000000e+01,1.085079979816e+22
9.652000000000e+01,1.087917240828e+22
9.835000000000e+01,1.091178765168e+22
1.002200000000e+02,1.094201641385e+22
1.021200000000e+02,1.097118451771e+22
1.060000000000e+02,1.103455885244e+22
1.079800000000e+02,1.105895399385e+22
1.099500000000e+02,1.109209956641e+22
1.119700000000e+02,1.112073734110e+22
1.140000000000e+02,1.114831445747e+22
1.160500000000e+02,1.117085344681e+22
1.181300000000e+02,1.119763506944e+22
1.202200000000e+02,1.122282570459e+22
1.223300000000e+02,1.124642535225e+22
1.309900000000e+02,1.132464890350e+22
1.332100000000e+02,1.133631614504e+22
1.354200000000e+02,1.135593832400e+22
1.376800000000e+02,1.136813589470e+22
1.399400000000e+02,1.138802323823e+22
1.422900000000e+02,1.140260729016e+22
1.445600000000e+02,1.141507002544e+22
1.469000000000e+02,1.143283605234e+22
1.492700000000e+02,1.144874592717e+22
1.516900000000e+02,1.146386030825e+22
1.566100000000e+02,1.149753620998e+22
1.591200000000e+02,1.151583256603e+22
1.616700000000e+02,1.153412892208e+22
1.642600000000e+02,1.155481175936e+22
1.669100000000e+02,1.157443393832e+22
1.695900000000e+02,1.159591226934e+22
1.723300000000e+02,1.161871642326e+22
1.751100000000e+02,1.164178574176e+22
1.779900000000e+02,1.167334032684e+22
1.808500000000e+02,1.169402316412e+22
1.837800000000e+02,1.172292610339e+22
1.868200000000e+02,1.174705608022e+22
1.898900000000e+02,1.178126231110e+22
1.930900000000e+02,1.180645294624e+22
1.963400000000e+02,1.183774236674e+22
1.996700000000e+02,1.186664530602e+22
2.101600000000e+02,1.196608202370e+22
2.138500000000e+02,1.199790177336e+22
2.177400000000e+02,1.202441823141e+22
2.298200000000e+02,1.210953606174e+22
2.340800000000e+02,1.213287054483e+22
2.384400000000e+02,1.216124315494e+22
2.571600000000e+02,1.225352042895e+22
2.621600000000e+02,1.227314260790e+22
2.672900000000e+02,1.228931764731e+22
2.725300000000e+02,1.230575785130e+22
2.779600000000e+02,1.231928124491e+22
2.835400000000e+02,1.233360013226e+22
2.951800000000e+02,1.235216165289e+22
3.136800000000e+02,1.237019284436e+22
3.201500000000e+02,1.237257932559e+22
3.268200000000e+02,1.237125350269e+22
3.336300000000e+02,1.236913218604e+22
3.406600000000e+02,1.236170757779e+22
3.478100000000e+02,1.235799527366e+22
3.551400000000e+02,1.234951000709e+22
3.626500000000e+02,1.234314605715e+22
3.703100000000e+02,1.233519111974e+22
3.781700000000e+02,1.232352387820e+22
3.862000000000e+02,1.231344762414e+22
3.944200000000e+02,1.230125005344e+22
4.028400000000e+02,1.228799182441e+22
4.114400000000e+02,1.227446843081e+22
4.202600000000e+02,1.225908888514e+22
4.292700000000e+02,1.224344417489e+22
4.384900000000e+02,1.222647364174e+22
4.674100000000e+02,1.216309930700e+22
4.775200000000e+02,1.214162097598e+22
4.984000000000e+02,1.210078563059e+22
