# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_61de918b77ab73f81317"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P)^+"
# neutral: "Ar"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 20:58:16"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e6f86dd7eef2a8bfc05468b2ad75618a8a07327dc66e42420793f39d37efddc5"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,9.827264517480e+21
1.800000000000e-01,9.827264517480e+21
7.300000000000e-01,9.827264517480e+21
1.280000000000e+00,9.827529682060e+21
2.250000000000e+00,9.827794846641e+21
3.140000000000e+00,9.828060011221e+21
4.400000000000e+00,9.828590340382e+21
5.280000000000e+00,9.829120669543e+21
6.340000000000e+00,9.830181327865e+21
7.290000000000e+00,9.830976821606e+21
8.380000000000e+00,9.832037479928e+21
9.630000000000e+00,9.833628467411e+21
1.108000000000e+01,9.835484619475e+21
1.218000000000e+01,9.837075606958e+21
1.340000000000e+01,9.838931759021e+21
1.407000000000e+01,9.840257581924e+21
1.477000000000e+01,9.841318240245e+21
1.550000000000e+01,9.842644063148e+21
1.628000000000e+01,9.844235050631e+21
1.709000000000e+01,9.845826038114e+21
1.794000000000e+01,9.847682190177e+21
1.883000000000e+01,9.849273177660e+21
1.977000000000e+01,9.851394494304e+21
2.076000000000e+01,9.853515810948e+21
2.179000000000e+01,9.855637127592e+21
2.287000000000e+01,9.858023608816e+21
2.333000000000e+01,9.859084267138e+21
2.379000000000e+01,9.860144925460e+21
2.427000000000e+01,9.861205583782e+21
2.475000000000e+01,9.862266242104e+21
2.524000000000e+01,9.863326900426e+21
2.574000000000e+01,9.864387558748e+21
2.626000000000e+01,9.865448217070e+21
