# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3fdc81436926a847eaec"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P1/2)^+"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:19:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13996_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "8822b436306a8445d9a7d3807a269a8ddbad7ac4b2489db6b1fded13d59ef00d"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.429000000000e+20
1.500000000000e-01,2.429000000000e+20
6.000000000000e-01,2.429000000000e+20
1.050000000000e+00,2.430000000000e+20
1.840000000000e+00,2.433000000000e+20
2.580000000000e+00,2.438000000000e+20
3.610000000000e+00,2.446000000000e+20
4.340000000000e+00,2.454000000000e+20
5.210000000000e+00,2.465000000000e+20
7.920000000000e+00,2.512000000000e+20
9.120000000000e+00,2.538000000000e+20
1.003000000000e+01,2.561000000000e+20
1.104000000000e+01,2.588000000000e+20
1.159000000000e+01,2.604000000000e+20
1.218000000000e+01,2.622000000000e+20
1.279000000000e+01,2.641000000000e+20
1.343000000000e+01,2.662000000000e+20
1.411000000000e+01,2.686000000000e+20
1.482000000000e+01,2.711000000000e+20
1.557000000000e+01,2.739000000000e+20
1.636000000000e+01,2.770000000000e+20
1.718000000000e+01,2.804000000000e+20
1.805000000000e+01,2.841000000000e+20
1.897000000000e+01,2.882000000000e+20
1.935000000000e+01,2.900000000000e+20
1.974000000000e+01,2.918000000000e+20
2.015000000000e+01,2.937000000000e+20
2.055000000000e+01,2.957000000000e+20
2.097000000000e+01,2.977000000000e+20
2.140000000000e+01,2.998000000000e+20
2.183000000000e+01,3.020000000000e+20
2.228000000000e+01,3.043000000000e+20
2.273000000000e+01,3.067000000000e+20
2.320000000000e+01,3.091000000000e+20
2.367000000000e+01,3.117000000000e+20
2.415000000000e+01,3.143000000000e+20
2.465000000000e+01,3.171000000000e+20
2.515000000000e+01,3.199000000000e+20
2.567000000000e+01,3.228000000000e+20
2.620000000000e+01,3.259000000000e+20
2.673000000000e+01,3.290000000000e+20
2.728000000000e+01,3.323000000000e+20
2.784000000000e+01,3.357000000000e+20
2.842000000000e+01,3.392000000000e+20
2.900000000000e+01,3.429000000000e+20
2.960000000000e+01,3.467000000000e+20
3.021000000000e+01,3.506000000000e+20
3.084000000000e+01,3.546000000000e+20
3.147000000000e+01,3.589000000000e+20
3.213000000000e+01,3.632000000000e+20
3.279000000000e+01,3.677000000000e+20
3.348000000000e+01,3.724000000000e+20
3.417000000000e+01,3.773000000000e+20
3.488000000000e+01,3.823000000000e+20
3.561000000000e+01,3.875000000000e+20
3.636000000000e+01,3.929000000000e+20
3.712000000000e+01,3.985000000000e+20
3.790000000000e+01,4.044000000000e+20
3.869000000000e+01,4.110000000000e+20
3.951000000000e+01,4.173000000000e+20
4.034000000000e+01,4.238000000000e+20
4.119000000000e+01,4.306000000000e+20
4.206000000000e+01,4.376000000000e+20
4.295000000000e+01,4.449000000000e+20
4.386000000000e+01,4.524000000000e+20
4.479000000000e+01,4.603000000000e+20
4.877000000000e+01,4.944000000000e+20
4.981000000000e+01,5.037000000000e+20
5.088000000000e+01,5.134000000000e+20
5.198000000000e+01,5.232000000000e+20
5.310000000000e+01,5.341000000000e+20
5.425000000000e+01,5.450000000000e+20
5.909000000000e+01,5.918000000000e+20
6.038000000000e+01,6.053000000000e+20
6.170000000000e+01,6.199000000000e+20
6.306000000000e+01,6.341000000000e+20
6.586000000000e+01,6.655000000000e+20
6.731000000000e+01,6.826000000000e+20
6.880000000000e+01,7.006000000000e+20
7.032000000000e+01,7.197000000000e+20
7.188000000000e+01,7.399000000000e+20
7.347000000000e+01,7.616000000000e+20
7.510000000000e+01,7.849000000000e+20
7.677000000000e+01,8.096000000000e+20
7.848000000000e+01,8.363000000000e+20
8.023000000000e+01,8.652000000000e+20
8.203000000000e+01,8.974000000000e+20
8.386000000000e+01,9.323000000000e+20
8.573000000000e+01,9.701000000000e+20
8.960000000000e+01,1.056000000000e+21
9.160000000000e+01,1.106200000000e+21
9.363000000000e+01,1.162700000000e+21
1.068300000000e+02,1.728300000000e+21
1.090600000000e+02,1.879300000000e+21
1.114500000000e+02,2.067700000000e+21
1.138700000000e+02,2.295300000000e+21
1.163100000000e+02,2.569500000000e+21
1.187800000000e+02,2.890000000000e+21
1.212300000000e+02,3.289700000000e+21
1.236400000000e+02,3.750500000000e+21
2.438700000000e+02,2.146460000000e+22
2.499200000000e+02,2.308350000000e+22
2.530200000000e+02,2.385490000000e+22
2.563700000000e+02,2.481290000000e+22
2.598100000000e+02,2.573380000000e+22
2.634700000000e+02,2.678180000000e+22
2.672000000000e+02,2.771240000000e+22
2.711600000000e+02,2.870890000000e+22
2.752500000000e+02,2.970280000000e+22
2.798800000000e+02,3.075220000000e+22
2.841600000000e+02,3.191310000000e+22
2.888100000000e+02,3.296850000000e+22
2.936000000000e+02,3.402000000000e+22
2.986800000000e+02,3.511530000000e+22
3.038700000000e+02,3.625970000000e+22
3.092800000000e+02,3.732340000000e+22
3.149200000000e+02,3.842870000000e+22
3.207900000000e+02,3.958160000000e+22
3.268000000000e+02,4.069740000000e+22
3.331300000000e+02,4.191750000000e+22
3.397200000000e+02,4.315280000000e+22
3.464300000000e+02,4.431000000000e+22
3.534800000000e+02,4.565010000000e+22
3.607100000000e+02,4.695400000000e+22
3.682700000000e+02,4.831670000000e+22
3.761400000000e+02,4.970160000000e+22
3.841500000000e+02,5.106180000000e+22
4.098400000000e+02,5.557230000000e+22
4.191200000000e+02,5.714490000000e+22
4.285700000000e+02,5.872740000000e+22
4.382500000000e+02,6.029960000000e+22
4.483400000000e+02,6.195230000000e+22
4.588600000000e+02,6.368750000000e+22
4.694300000000e+02,6.531970000000e+22
