# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_25d1cbcb23a0faf6f0ba"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P3/2)^+"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 39.948, &alpha; = 1.6425."
# updated: "2021-12-19 21:22:40"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13997_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "73ac943f981349caba052dd07dbd7b3fa491756f9de310732b4b9f369c2ec329"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,9.581987280528e+21
1.500000000000e-01,9.581987280528e+21
5.800000000000e-01,9.581987280528e+21
1.020000000000e+00,9.582252445108e+21
1.780000000000e+00,9.582517609689e+21
2.500000000000e+00,9.583047938850e+21
3.500000000000e+00,9.584108597172e+21
4.190000000000e+00,9.584904090913e+21
5.030000000000e+00,9.586229913816e+21
5.790000000000e+00,9.587820901299e+21
6.650000000000e+00,9.589677053362e+21
7.650000000000e+00,9.592063534586e+21
8.800000000000e+00,9.595775838713e+21
9.670000000000e+00,9.598427484518e+21
1.064000000000e+01,9.602404953225e+21
1.117000000000e+01,9.604526269869e+21
1.172000000000e+01,9.607177915674e+21
1.231000000000e+01,9.609829561479e+21
1.292000000000e+01,9.613011536445e+21
1.356000000000e+01,9.616458675991e+21
1.424000000000e+01,9.620436144699e+21
1.494000000000e+01,9.624943942567e+21
1.569000000000e+01,9.629716905016e+21
1.646000000000e+01,9.635285361206e+21
1.728000000000e+01,9.641384146557e+21
1.813000000000e+01,9.648278425650e+21
1.849000000000e+01,9.651195236035e+21
1.886000000000e+01,9.654377211001e+21
1.923000000000e+01,9.657824350548e+21
1.961000000000e+01,9.661006325513e+21
2.000000000000e+01,9.664718629640e+21
2.039000000000e+01,9.668430933767e+21
2.079000000000e+01,9.672143237894e+21
2.120000000000e+01,9.676385871182e+21
2.162000000000e+01,9.680628504470e+21
2.204000000000e+01,9.684871137757e+21
2.248000000000e+01,9.689378935626e+21
2.292000000000e+01,9.694151898074e+21
2.337000000000e+01,9.699190025104e+21
2.382000000000e+01,9.704228152133e+21
2.429000000000e+01,9.709796608323e+21
2.476000000000e+01,9.715099899933e+21
2.525000000000e+01,9.720933520704e+21
2.574000000000e+01,9.726767141475e+21
2.624000000000e+01,9.733131091406e+21
2.675000000000e+01,9.739495041338e+21
2.727000000000e+01,9.745858991270e+21
2.780000000000e+01,9.752753270362e+21
2.834000000000e+01,9.759647549455e+21
2.889000000000e+01,9.766806993128e+21
2.945000000000e+01,9.774231601382e+21
3.060000000000e+01,9.786694336665e+21
3.119000000000e+01,9.794914438660e+21
3.179000000000e+01,9.803399705236e+21
3.240000000000e+01,9.811884971811e+21
3.302000000000e+01,9.820635402967e+21
3.365000000000e+01,9.829650998704e+21
3.429000000000e+01,9.838666594441e+21
3.495000000000e+01,9.848212519338e+21
3.561000000000e+01,9.857758444236e+21
3.627000000000e+01,9.867304369133e+21
3.697000000000e+01,9.876585129450e+21
3.768000000000e+01,9.886131054348e+21
3.839000000000e+01,9.895411814665e+21
3.911000000000e+01,9.904957739563e+21
3.985000000000e+01,9.914503664460e+21
4.060000000000e+01,9.924049589358e+21
4.136000000000e+01,9.933595514255e+21
4.213000000000e+01,9.943936932894e+21
4.292000000000e+01,9.952422199470e+21
4.373000000000e+01,9.961968124368e+21
4.454000000000e+01,9.970983720104e+21
4.537000000000e+01,9.980529645002e+21
4.622000000000e+01,9.989545240738e+21
4.708000000000e+01,9.997500178153e+21
4.796000000000e+01,1.000651577389e+22
4.885000000000e+01,1.001500104047e+22
5.068000000000e+01,1.003250190278e+22
5.162000000000e+01,1.004151749851e+22
5.257000000000e+01,1.005106342341e+22
5.453000000000e+01,1.006935977947e+22
5.554000000000e+01,1.007837537520e+22
5.657000000000e+01,1.008792130010e+22
5.761000000000e+01,1.009693689584e+22
5.868000000000e+01,1.010568732699e+22
5.977000000000e+01,1.011496808731e+22
6.088000000000e+01,1.012451401221e+22
6.201000000000e+01,1.013405993710e+22
