# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5a4b608e421ccd667ea0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "23Na^+(1S0)"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2011-12-12 12:37:03"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_015_7961_7961/003_mobility.txt"
# source_file_sha256: "3c101bc5df543bbdf6303b78dee37c5ea405b3a938ed72dfbb8c368f3bdf5f5d"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e+00,8.167069079042e+21
8.000000000000e+00,8.167069079042e+21
1.000000000000e+01,8.167069079042e+21
1.200000000000e+01,8.167069079042e+21
1.500000000000e+01,8.167069079042e+21
2.500000000000e+01,8.193585537091e+21
3.000000000000e+01,8.273134911237e+21
4.000000000000e+01,8.564815949774e+21
5.000000000000e+01,8.909529904409e+21
6.000000000000e+01,9.280760317093e+21
8.000000000000e+01,1.004973760051e+22
1.000000000000e+02,1.071264905173e+22
1.200000000000e+02,1.097781363222e+22
1.500000000000e+02,1.097781363222e+22
2.000000000000e+02,1.063309967758e+22
2.500000000000e+02,1.023535280685e+22
3.000000000000e+02,9.811089478070e+21
4.000000000000e+02,9.068628652702e+21
5.000000000000e+02,8.352684285384e+21
